author,location,lat,lon
@LeslieDyste,"San Francisco,California,United States of America",37.7562,-122.4430
@KYGirlBrooke,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@KirkKelly,"Trenton,New Jersey,United States of America",40.2237,-74.7640
@darylsturgis,"New York,New York,United States of America",40.6943,-73.9249
@InfoOPjrd,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@ABC30,"Fresno,California,United States of America",36.7834,-119.7941
@garymoore1985,"Las Vegas,Nevada,United States of America",36.2291,-115.2607
@janewells,"Los Angeles,California,United States of America",34.1139,-118.4068
@patte151,"Lansing,Michigan,United States of America",42.7142,-84.5600
@MariaJMin,"Seattle,Washington,United States of America",47.6211,-122.3244
@alexlath,"Honolulu,Hawaii,United States of America",21.3294,-157.8460
@florentific,"San Francisco,California,United States of America",37.7562,-122.4430
@RascalRett,"Lancaster,California,United States of America",34.6934,-118.1753
@pumascloset,"San Diego,California,United States of America",32.8312,-117.1226
@tryamen,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@MarinaMommie,"San Francisco,California,United States of America",37.7562,-122.4430
@c_mars_,"Los Angeles,California,United States of America",34.1139,-118.4068
@notmeagain,"Los Angeles,California,United States of America",34.1139,-118.4068
@ijdrothman,"Portland,Oregon,United States of America",45.5372,-122.6500
@DavidShaneMcD,"Philadelphia,Pennsylvania,United States of America",40.0076,-75.1340
@Cece7771,"Los Angeles,California,United States of America",34.1139,-118.4068
@docmosho,"New Orleans,Louisiana,United States of America",30.0687,-89.9288
@mjprieve,"Chicago,Illinois,United States of America",41.8373,-87.6861
@MarieSiobsbhndy,"New Haven,Connecticut,United States of America",41.3112,-72.9245
@BlackNewsNow,"Raleigh,North Carolina,United States of America",35.8323,-78.6439
@DukevVan,"Seattle,Washington,United States of America",47.6211,-122.3244
@evyqueen_1,"Fresno,California,United States of America",36.7834,-119.7941
@Alex_Gantt,"Charlotte,North Carolina,United States of America",35.2079,-80.8303
@FloraStoneWomen,"Cleveland,Ohio,United States of America",41.4767,-81.6805
@GibbsKnotts,"Charleston,South Carolina,United States of America",32.8137,-79.9643
@elizsanchezTV,"San Diego,California,United States of America",32.8312,-117.1226
@misfittoyqueen,"Columbus,Ohio,United States of America",39.9860,-82.9852
@irenemonicas,"Los Angeles,California,United States of America",34.1139,-118.4068
@ZachZinsli,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@eeyanmiller,"Portland,Oregon,United States of America",45.5372,-122.6500
@ryanthewriter,"Los Angeles,California,United States of America",34.1139,-118.4068
@chastityashley,"Los Angeles,California,United States of America",34.1139,-118.4068
@Randyonthenews,"Wilmington,North Carolina,United States of America",34.2100,-77.8860
@OHaraNews,"Charlotte,North Carolina,United States of America",35.2079,-80.8303
@JoeyMikkael,"Los Angeles,California,United States of America",34.1139,-118.4068
@DonGarabedian,"San Francisco,California,United States of America",37.7562,-122.4430
@AnArtfulPenguin,"Reno,Nevada,United States of America",39.5497,-119.8483
@DishCentral,"Minneapolis,Minnesota,United States of America",44.9635,-93.2678
@casynchromama,"Oceanside,California,United States of America",33.2247,-117.3083
@btcecc,"Portland,Oregon,United States of America",45.5372,-122.6500
@ChescaCoelho,"San Francisco,California,United States of America",37.7562,-122.4430
@NRS_show,"New York,New York,United States of America",40.6943,-73.9249
@redvetttes,"Niagara Falls,New York,United States of America",43.0921,-79.0147
@sm_kaylor,"Santa Barbara,California,United States of America",34.4285,-119.7202
@ImHeatherHansen,"New York,New York,United States of America",40.6943,-73.9249
@AZMorningNews,"Phoenix,Arizona,United States of America",33.5722,-112.0891
@gilligan_jeff,"Denver,Colorado,United States of America",39.7621,-104.8759
@mmhill3788,"Kansas City,Kansas,United States of America",39.1234,-94.7443
@jocolatedo,"New York,New York,United States of America",40.6943,-73.9249
@PrincessKgs,"Austin,Texas,United States of America",30.3006,-97.7517
@wsbtv,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@LindaMi64500835,"New Haven,Connecticut,United States of America",41.3112,-72.9245
@bassman_michael,"Columbus,Ohio,United States of America",39.9860,-82.9852
@clc0304,"Houston,Texas,United States of America",29.7868,-95.3905
@danielpianko,"New York,New York,United States of America",40.6943,-73.9249
@kickitoldschool,"New York,New York,United States of America",40.6943,-73.9249
@sulkyracer,"New York,New York,United States of America",40.6943,-73.9249
@ama_ro_jo,"Knoxville,Tennessee,United States of America",35.9692,-83.9495
@arealpastiche,"Syracuse,New York,United States of America",43.0409,-76.1438
@brianhecht,"New York,New York,United States of America",40.6943,-73.9249
@Welding2KAG,"Kingsport,Tennessee,United States of America",36.5220,-82.5453
@commonsenzze,"New York,New York,United States of America",40.6943,-73.9249
@ronic214,"Evansville,Indiana,United States of America",37.9882,-87.5339
@Mojo70351087,"Minneapolis,Minnesota,United States of America",44.9635,-93.2678
@LeiCasans,"New York,New York,United States of America",40.6943,-73.9249
@paytonpark18,"Fort Lauderdale,Florida,United States of America",26.1412,-80.1464
@KelseyA85684858,"Tampa,Florida,United States of America",27.9937,-82.4454
@fullerhousewiki,"San Francisco,California,United States of America",37.7562,-122.4430
@jackie75176,"Houston,Texas,United States of America",29.7868,-95.3905
@KellySpringer3,"Indianapolis,Indiana,United States of America",39.7771,-86.1458
@JamesPMackieJr1,"Charleston,South Carolina,United States of America",32.8137,-79.9643
@_Breaking_Brad,"South Bend,Indiana,United States of America",41.6771,-86.2692
@HenYay,"San Diego,California,United States of America",32.8312,-117.1226
@landolakesgirl,"Fort Lauderdale,Florida,United States of America",26.1412,-80.1464
@MoreSky420,"Louisville,Kentucky,United States of America",38.1662,-85.6488
@jkbloom1,"Albuquerque,New Mexico,United States of America",35.1053,-106.6464
@Rocky4959,"San Bernardino,California,United States of America",34.1412,-117.2936
@JohnNewsomNR,"Greensboro,North Carolina,United States of America",36.0956,-79.8269
@somi_yaaa,"Orlando,Florida,United States of America",28.4788,-81.3420
@ramsesleroi,"San Francisco,California,United States of America",37.7562,-122.4430
@KoodoosLearning,"Seattle,Washington,United States of America",47.6211,-122.3244
@joemandrums,"San Francisco,California,United States of America",37.7562,-122.4430
@KarimahAsha,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@Chickasee,"Augusta,Maine,United States of America",44.3341,-69.7319
@JKuilan07,"Miami,Florida,United States of America",25.7840,-80.2102
@SeanInTheCity,"Dallas,Texas,United States of America",32.7937,-96.7662
@98PXYRochester,"Rochester,New York,United States of America",43.1680,-77.6162
@davidadams_56,"Seattle,Washington,United States of America",47.6211,-122.3244
@IlliniBizDean,"Urbana,Illinois,United States of America",40.1106,-88.1972
@BrianThole1,"San Diego,California,United States of America",32.8312,-117.1226
@jrosietighe,"Cleveland,Ohio,United States of America",41.4767,-81.6805
@twelvebooks,"New York,New York,United States of America",40.6943,-73.9249
@LarryCampos1950,"Houston,Texas,United States of America",29.7868,-95.3905
@LovToRideMyTrek,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@madmac9,"Phoenix,Arizona,United States of America",33.5722,-112.0891
@KayBrooks,"Nashville,Tennessee,United States of America",36.1714,-86.7844
@MareBiddle,"Portland,Oregon,United States of America",45.5372,-122.6500
@CassieDiLaura,"Los Angeles,California,United States of America",34.1139,-118.4068
@TimBryantRadio,"Athens,Georgia,United States of America",33.9508,-83.3689
@nm61718,"Columbia,South Carolina,United States of America",34.0370,-80.9042
@arbtim,"Chicago,Illinois,United States of America",41.8373,-87.6861
@WildcatLizzieRN,"Phoenix,Arizona,United States of America",33.5722,-112.0891
@calbeach95,"Denver,Colorado,United States of America",39.7621,-104.8759
@mkaurz,"San Jose,California,United States of America",37.3018,-121.8485
@Samanthics1,"Austin,Texas,United States of America",30.3006,-97.7517
@Reloaded_Kore,"New York,New York,United States of America",40.6943,-73.9249
@MrsRobe21241883,"Toledo,Ohio,United States of America",41.6639,-83.5822
@andie910,"Pittsburgh,Pennsylvania,United States of America",40.4396,-79.9763
@talli_approved,"Los Angeles,California,United States of America",34.1139,-118.4068
@FredaWarlick,"Greenville,South Carolina,United States of America",34.8363,-82.3650
@NVorobyov,"New York,New York,United States of America",40.6943,-73.9249
@AblesArt,"New Braunfels,Texas,United States of America",29.6995,-98.1153
@lambchop4evr,"Los Angeles,California,United States of America",34.1139,-118.4068
@thatwasgross,"Tampa,Florida,United States of America",27.9937,-82.4454
@magicaalpayne,"Los Angeles,California,United States of America",34.1139,-118.4068
@Doc_JJK,"Erie,Pennsylvania,United States of America",42.1168,-80.0733
@EOrdiniza,"San Francisco,California,United States of America",37.7562,-122.4430
@EmmaTello12,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@RobCorsaro,"Omaha,Nebraska,United States of America",41.2628,-96.0495
@Bookgirl96,"New York,New York,United States of America",40.6943,-73.9249
@OTMLAW,"New York,New York,United States of America",40.6943,-73.9249
@bst19551,"Baltimore,Maryland,United States of America",39.3051,-76.6144
@tellygonzalez,"Hartford,Connecticut,United States of America",41.7661,-72.6834
