GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1108914080021123078	2019-03-22 02:11:33	http://twitter.com/leah_pence/status/1108914080021123078	RT @UTAustin Growing up in Austin, Zeyi Lin often experienced the frustration of sitting on I-35 after a long day. Now he’s researching ways to shorten your daily commute: https://t.co/6ArLJKuqux #ChangingYourWorld https://t.co/AxmFkkG8zQ	@leah_pence	Leah	United States of America	Texas		Neutral	Joy	Twitter	F	247	123	88	RT @UTAustin Growing up in Austin, Zeyi Lin often experienced the frustration of sitting on I-35 after a long day. Now he’s researching ways to shorten your daily commute: https://t.co/6ArLJKuqux #ChangingYourWorld https://t.co/AxmFkkG8zQ	Retweet		
1109098174659084290	2019-03-22 14:23:05	http://twitter.com/UTBiomedical/status/1109098174659084290	RT @UTAustin This is what happens when an engineer, a future surgeon, and a social entrepreneur come together: https://t.co/Ua5tHmOb3J #ChangingYourWorld https://t.co/Ov5lQzFOur	@UTBiomedical	Texas BME				Neutral	Neutral	Twitter		1871	3116	392	RT @UTAustin This is what happens when an engineer, a future surgeon, and a social entrepreneur come together: https://t.co/Ua5tHmOb3J #ChangingYourWorld https://t.co/Ov5lQzFOur	Retweet		
1109208218604048384	2019-03-22 21:40:22	http://twitter.com/UT_Utilities/status/1109208218604048384	RT @UTAustin A team of students at UT have created a journal committed to exploring the impact that technology has on the policies and practice of law: https://t.co/neYUe6PBV4 #whatstartshere	@UT_Utilities	UT Austin Utilities	United States of America	Texas	Austin	Neutral	Neutral	Twitter	M	622	285	115	RT @UTAustin A team of students at UT have created a journal committed to exploring the impact that technology has on the policies and practice of law: https://t.co/neYUe6PBV4 #whatstartshere	Retweet		
1109160322944905217	2019-03-22 18:30:02	http://twitter.com/txstxl/status/1109160322944905217	RT @UTAustin A team of students at UT have created a journal committed to exploring the impact that technology has on the policies and practice of law: https://t.co/neYUe6PBV4 #whatstartshere	@txstxl	TXST Accelerator	United States of America	Texas	San Marcos	Neutral	Neutral	Twitter		151	67	270	RT @UTAustin A team of students at UT have created a journal committed to exploring the impact that technology has on the policies and practice of law: https://t.co/neYUe6PBV4 #whatstartshere	Retweet		
1109161253530791936	2019-03-22 18:33:44	http://twitter.com/KOZZAZ/status/1109161253530791936	RT @UTAustin A team of students at UT have created a journal committed to exploring the impact that technology has on the policies and practice of law: https://t.co/neYUe6PBV4 #whatstartshere	@KOZZAZ	DIANA SANCHEZ	United States of America	Texas	Houston	Neutral	Neutral	Twitter	F	619	18	87	RT @UTAustin A team of students at UT have created a journal committed to exploring the impact that technology has on the policies and practice of law: https://t.co/neYUe6PBV4 #whatstartshere	Retweet		
1109212262307385344	2019-03-22 21:56:26	http://twitter.com/UTiSchool/status/1109212262307385344	RT @UTAustin A team of students at UT have created a journal committed to exploring the impact that technology has on the policies and practice of law: https://t.co/neYUe6PBV4 #whatstartshere	@UTiSchool	Texas iSchool	United States of America	Texas	Austin	Neutral	Neutral	Twitter		2053	2976	1077	RT @UTAustin A team of students at UT have created a journal committed to exploring the impact that technology has on the policies and practice of law: https://t.co/neYUe6PBV4 #whatstartshere	Retweet		
1109097768935743489	2019-03-22 14:21:28	http://twitter.com/CockrellSchool/status/1109097768935743489	RT @UTAustin This is what happens when an engineer, a future surgeon, and a social entrepreneur come together: https://t.co/Ua5tHmOb3J #ChangingYourWorld https://t.co/Ov5lQzFOur	@CockrellSchool	Texas Engineering	United States of America	Texas	Austin	Neutral	Neutral	Twitter		3941	12541	822	RT @UTAustin This is what happens when an engineer, a future surgeon, and a social entrepreneur come together: https://t.co/Ua5tHmOb3J #ChangingYourWorld https://t.co/Ov5lQzFOur	Retweet		
1109109919645601794	2019-03-22 15:09:45	http://twitter.com/isaac_del_rey/status/1109109919645601794	@UTAustin Much needed 👌🏽	@isaac_del_rey	girl what	United States of America	Texas	Austin	Positive	Joy	Twitter	F	13940	404	385	@UTAustin Much needed 👌🏽	Reply		
1109084097480220672	2019-03-22 13:27:09	http://twitter.com/raekbryant/status/1109084097480220672	@UTAustin ♥️a’changin’ the world♥️	@raekbryant	Rachel Bryant				Positive	Joy	Twitter	F	13	4	18	@UTAustin ♥️a’changin’ the world♥️	Reply		
1109164622874099715	2019-03-22 18:47:08	http://twitter.com/TxSwaff/status/1109164622874099715	RT @UTAustin A team of students at UT have created a journal committed to exploring the impact that technology has on the policies and practice of law: https://t.co/neYUe6PBV4 #whatstartshere	@TxSwaff	Thomas Swafford	United States of America	Texas	Austin	Neutral	Neutral	Twitter	M	3806	300	412	RT @UTAustin A team of students at UT have created a journal committed to exploring the impact that technology has on the policies and practice of law: https://t.co/neYUe6PBV4 #whatstartshere	Retweet		
1108941094509637633	2019-03-22 03:58:54	http://twitter.com/fudgecakes1721/status/1108941094509637633	RT @UTAustin This is what happens when an engineer, a future surgeon, and a social entrepreneur come together: https://t.co/Ua5tHmOb3J #ChangingYourWorld https://t.co/Ov5lQzFOur	@fudgecakes1721	∞Lili∞				Neutral	Neutral	Twitter	F	35969	697	826	RT @UTAustin This is what happens when an engineer, a future surgeon, and a social entrepreneur come together: https://t.co/Ua5tHmOb3J #ChangingYourWorld https://t.co/Ov5lQzFOur	Retweet		
1108946559561928709	2019-03-22 04:20:37	http://twitter.com/garysusswein/status/1108946559561928709	RT @UTAustin This is what happens when an engineer, a future surgeon, and a social entrepreneur come together: https://t.co/Ua5tHmOb3J #ChangingYourWorld https://t.co/Ov5lQzFOur	@garysusswein	Gary Susswein	United States of America	Texas		Neutral	Neutral	Twitter	M	2230	1289	1090	RT @UTAustin This is what happens when an engineer, a future surgeon, and a social entrepreneur come together: https://t.co/Ua5tHmOb3J #ChangingYourWorld https://t.co/Ov5lQzFOur	Retweet		
1109131028231262208	2019-03-22 16:33:38	http://twitter.com/UTexJim/status/1109131028231262208	RT @UTAustin A team of students at UT have created a journal committed to exploring the impact that technology has on the policies and practice of law: https://t.co/neYUe6PBV4 #whatstartshere	@UTexJim	JimCook🇺🇸🤘	United States of America	Texas	Austin	Neutral	Neutral	Twitter		142238	763	104	RT @UTAustin A team of students at UT have created a journal committed to exploring the impact that technology has on the policies and practice of law: https://t.co/neYUe6PBV4 #whatstartshere	Retweet		
1109160071337046017	2019-03-22 18:29:02	http://twitter.com/UTexasBBA/status/1109160071337046017	RT @UTAustin A team of students at UT have created a journal committed to exploring the impact that technology has on the policies and practice of law: https://t.co/neYUe6PBV4 #whatstartshere	@UTexasBBA	McCombs School BBA				Neutral	Neutral	Twitter		5499	3923	829	RT @UTAustin A team of students at UT have created a journal committed to exploring the impact that technology has on the policies and practice of law: https://t.co/neYUe6PBV4 #whatstartshere	Retweet		
