GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1116365324771786753	2019-04-11 15:40:09	http://twitter.com/Martinacuna1965/status/1116365324771786753	RT @UCBerkeley UC Berkeley begins process to envision its future, seeks community input. Key campus priorities include housing, energy efficiency, accessibility, mobility, seismic remediation, and deferred maintenance. #Berkeley #MasterPlan #TownHall https://t.co/Fmq6UBjCrQ	@Martinacuna1965	Martín Acuña				Neutral	Neutral	Twitter	M	85734	722	470	"RT @UCBerkeley UC Berkeley begins process to envision its future, seeks community input.  
Key campus priorities include housing, energy efficiency, accessibility, mobility, seismic remediation, and deferred maintenance. #Berkeley #MasterPlan #TownHall
https://t.co/Fmq6UBjCrQ"	Retweet		
1116401234540474368	2019-04-11 18:02:50	http://twitter.com/profxicomacaiba/status/1116401234540474368	RT @UCBerkeley An iconic image of #solidarity— the Afro-American Students Union, the Mexican-American Student Confederation, the Native American Student Union, & the Asian American Political Alliance — marching together down Bancroft Way. 💫 ✊🏽✊🏾✊🏿✊#TWLF #EthnicStudies https://t.co/bUbSp3UZFt https://t.co/vGQcqXYXrB	@profxicomacaiba	FranciscoAlexandre	Brazil	Rio Grande do Norte	Natal	Neutral	Neutral	Twitter		49349	1069	1740	RT @UCBerkeley An iconic image of #solidarity— the Afro-American Students Union, the Mexican-American Student Confederation, the Native American Student Union, & the Asian American Political Alliance — marching together down Bancroft Way. 💫 ✊🏽✊🏾✊🏿✊#TWLF #EthnicStudies https://t.co/bUbSp3UZFt https://t.co/vGQcqXYXrB	Retweet		
1116400486263992321	2019-04-11 17:59:52	http://twitter.com/rafa_the3rd/status/1116400486263992321	RT @UCBerkeley An iconic image of #solidarity— the Afro-American Students Union, the Mexican-American Student Confederation, the Native American Student Union, & the Asian American Political Alliance — marching together down Bancroft Way. 💫 ✊🏽✊🏾✊🏿✊#TWLF #EthnicStudies https://t.co/bUbSp3UZFt https://t.co/vGQcqXYXrB	@rafa_the3rd	Rafa	Belgium			Neutral	Neutral	Twitter		7389	358	489	RT @UCBerkeley An iconic image of #solidarity— the Afro-American Students Union, the Mexican-American Student Confederation, the Native American Student Union, & the Asian American Political Alliance — marching together down Bancroft Way. 💫 ✊🏽✊🏾✊🏿✊#TWLF #EthnicStudies https://t.co/bUbSp3UZFt https://t.co/vGQcqXYXrB	Retweet		
1116403162762465280	2019-04-11 18:10:30	http://twitter.com/bethanymckenzie/status/1116403162762465280	RT @UCBerkeley An iconic image of #solidarity— the Afro-American Students Union, the Mexican-American Student Confederation, the Native American Student Union, & the Asian American Political Alliance — marching together down Bancroft Way. 💫 ✊🏽✊🏾✊🏿✊#TWLF #EthnicStudies https://t.co/bUbSp3UZFt https://t.co/vGQcqXYXrB	@bethanymckenzie	Bethany	Canada	Ontario		Neutral	Neutral	Twitter	F	14347	194	196	RT @UCBerkeley An iconic image of #solidarity— the Afro-American Students Union, the Mexican-American Student Confederation, the Native American Student Union, & the Asian American Political Alliance — marching together down Bancroft Way. 💫 ✊🏽✊🏾✊🏿✊#TWLF #EthnicStudies https://t.co/bUbSp3UZFt https://t.co/vGQcqXYXrB	Retweet		
1116144079862206470	2019-04-11 01:01:00	http://twitter.com/FelixSarconaIT/status/1116144079862206470	RT @UCBerkeley Look who’s dreaming of #CalDay... and a trip to the top of the #Campanile! FREE tickets all day long (line closes at 3 pm). 💙🐻💛💫 Photo by Raul Montellano @cal_oski https://t.co/dmhhqH90Gy	@FelixSarconaIT	Felix Sarcona				Positive	Neutral	Twitter	M	53166	1	7	"RT @UCBerkeley Look who’s dreaming of #CalDay... and a trip to the top of the #Campanile! FREE tickets all day long (line closes at 3 pm). 💙🐻💛💫 
Photo by Raul Montellano @cal_oski https://t.co/dmhhqH90Gy"	Retweet		
1116144068508176384	2019-04-11 01:00:57	http://twitter.com/FelixSarconaIT/status/1116144068508176384	RT @UCBerkeley “We are delighted to partner with Cambridge in helping to move the publishing industry into the 21st century, delivering scientific scholarship to everyone, anywhere, without a paywall.” 🌟 #FiatLux #OpenAccess @CambridgeUP https://t.co/q1eLfhBTDc	@FelixSarconaIT	Felix Sarcona				Neutral	Joy	Twitter	M	53165	1	7	RT @UCBerkeley “We are delighted to partner with Cambridge in helping to move the publishing industry into the 21st century, delivering scientific scholarship to everyone, anywhere, without a paywall.” 🌟 #FiatLux #OpenAccess @CambridgeUP https://t.co/q1eLfhBTDc	Retweet		
1116404845412519941	2019-04-11 18:17:11	http://twitter.com/TenshiAkari12/status/1116404845412519941	RT @UCBerkeley The #NewYork metropolitan area has seen tremendous economic growth, but many residents in rapidly #gentrifying neighborhoods are struggling to afford living in the 31-county, tri-state region 🏙️ 📉 #BerkeleyResearch #Housing #Displacement https://t.co/UsR50kdXNZ	@TenshiAkari12	Light~Angel				Neutral	Neutral	Twitter		159111	365	190	RT @UCBerkeley The #NewYork metropolitan area has seen tremendous economic growth, but many residents in rapidly #gentrifying neighborhoods are struggling to afford living in the 31-county, tri-state region 🏙️ 📉 #BerkeleyResearch #Housing #Displacement https://t.co/UsR50kdXNZ	Retweet		
1116134441183662080	2019-04-11 00:22:42	http://twitter.com/burtonlee/status/1116134441183662080	RT @UCBerkeley The #NewYork metropolitan area has seen tremendous economic growth, but many residents in rapidly #gentrifying neighborhoods are struggling to afford living in the 31-county, tri-state region 🏙️ 📉 #BerkeleyResearch #Housing #Displacement https://t.co/UsR50kdXNZ	@burtonlee	Burton Lee	United States of America	California		Neutral	Neutral	Twitter	M	62512	3689	5000	RT @UCBerkeley The #NewYork metropolitan area has seen tremendous economic growth, but many residents in rapidly #gentrifying neighborhoods are struggling to afford living in the 31-county, tri-state region 🏙️ 📉 #BerkeleyResearch #Housing #Displacement https://t.co/UsR50kdXNZ	Retweet		
1116159070350790658	2019-04-11 02:00:34	http://twitter.com/dbran104/status/1116159070350790658	RT @UCBerkeley The #NewYork metropolitan area has seen tremendous economic growth, but many residents in rapidly #gentrifying neighborhoods are struggling to afford living in the 31-county, tri-state region 🏙️ 📉 #BerkeleyResearch #Housing #Displacement https://t.co/UsR50kdXNZ	@dbran104	dbranbridge				Neutral	Neutral	Twitter		232830	177	121	RT @UCBerkeley The #NewYork metropolitan area has seen tremendous economic growth, but many residents in rapidly #gentrifying neighborhoods are struggling to afford living in the 31-county, tri-state region 🏙️ 📉 #BerkeleyResearch #Housing #Displacement https://t.co/UsR50kdXNZ	Retweet		
1116133181164404736	2019-04-11 00:17:41	http://twitter.com/cksgouge/status/1116133181164404736	RT @UCBerkeley The #NewYork metropolitan area has seen tremendous economic growth, but many residents in rapidly #gentrifying neighborhoods are struggling to afford living in the 31-county, tri-state region 🏙️ 📉 #BerkeleyResearch #Housing #Displacement https://t.co/UsR50kdXNZ	@cksgouge	Catherine Gouge	United States of America	California	San Francisco	Neutral	Neutral	Twitter	F	3946	38	633	RT @UCBerkeley The #NewYork metropolitan area has seen tremendous economic growth, but many residents in rapidly #gentrifying neighborhoods are struggling to afford living in the 31-county, tri-state region 🏙️ 📉 #BerkeleyResearch #Housing #Displacement https://t.co/UsR50kdXNZ	Retweet		
