GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1116304951641288706	2019-04-11 11:40:15	http://twitter.com/BayleeLCentral/status/1116304951641288706	"RT @ABradford10 JAY DONOVAN: ACADEMIC FIXER | Teaser Clip | The ""Consultation"" • Featuring: Anthony Bradford & Baylee Littrell • #collegeadmissions #collegeadmissionsscandal #collegecheatingscandal #operationvarsityblues #varsityblues #sat #act #academics https://t.co/8YOBxbwCCx"	@BayleeLCentral	Baylee Littrell Central	United States of America	Georgia	Atlanta	Neutral	Neutral	Twitter	F	560	1534	29	"RT @ABradford10 JAY DONOVAN: ACADEMIC FIXER | Teaser Clip | The ""Consultation""
•
Featuring: Anthony Bradford & Baylee Littrell
•
#collegeadmissions #collegeadmissionsscandal #collegecheatingscandal #operationvarsityblues #varsityblues #sat #act #academics https://t.co/8YOBxbwCCx"	Retweet		
1116458413016350721	2019-04-11 21:50:03	http://twitter.com/OfficialHudsonU/status/1116458413016350721	After #OperationVarsityBlues it was revealed that heirs to the SavingsSmart fortune may have bought their way into Hudson University. We can verify that *of course* they bought their way into Hudson with a huge donation. That’s how we roll.	@OfficialHudsonU	Hudson University	United States of America	New York	New York	Neutral	Unclassified	Twitter	M	5119	221	35	After #OperationVarsityBlues it was revealed that heirs to the SavingsSmart fortune may have bought their way into Hudson University. We can verify that *of course* they bought their way into Hudson with a huge donation. That’s how we roll.	Tweet		
1116380706652008457	2019-04-11 16:41:16	http://twitter.com/CPaine10/status/1116380706652008457	Dead serious. The #OperationVarsityblues and #Avenatti are road maps for the #TrumpCrimeFamily. Am I rite?? @realDonaldTrump @DonaldJTrumpJr @IvankaTrump	@CPaine10	C Paine				Neutral	Unclassified	Twitter		22092	258	561	Dead serious. The #OperationVarsityblues and #Avenatti are road maps for the #TrumpCrimeFamily. Am I rite?? @realDonaldTrump @DonaldJTrumpJr @IvankaTrump	Tweet		
1116417783674359819	2019-04-11 19:08:36	http://twitter.com/TLK712/status/1116417783674359819	RT @Laurel_Sweet Of the 33 parents arrested last month in the FBI's nationwide #operationvarsityblues sweep, 19 are now under indictment and 13 have agreed to plead guilty, including film star Felicity Huffman.#CollegeAdmissionsScandal	@TLK712	TERRY KAUFFMAN				Neutral	Neutral	Twitter	M	3867	148	392	RT @Laurel_Sweet Of the 33 parents arrested last month in the FBI's nationwide #operationvarsityblues sweep, 19 are now under indictment and 13 have agreed to plead guilty, including film star Felicity Huffman.#CollegeAdmissionsScandal	Retweet		
1116193799351488513	2019-04-11 04:18:34	http://twitter.com/wise_diva/status/1116193799351488513	I wonder who Oprah will interview first Lori or Felicity (when they get out?) #OperationVarsityBlues	@wise_diva	Wise_Diva				Neutral	Fear	Twitter		418939	5323	4395	I wonder who Oprah will interview first Lori or Felicity (when they get out?) #OperationVarsityBlues	Tweet		
1116130237287239680	2019-04-11 00:05:59	http://twitter.com/misha_bsb/status/1116130237287239680	"RT @ABradford10 JAY DONOVAN: ACADEMIC FIXER | Teaser Clip | The ""Consultation"" • Featuring: Anthony Bradford & Baylee Littrell • #collegeadmissions #collegeadmissionsscandal #collegecheatingscandal #operationvarsityblues #varsityblues #sat #act #academics https://t.co/8YOBxbwCCx"	@misha_bsb	Mike				Neutral	Neutral	Twitter	M	28920	1241	501	"RT @ABradford10 JAY DONOVAN: ACADEMIC FIXER | Teaser Clip | The ""Consultation""
•
Featuring: Anthony Bradford & Baylee Littrell
•
#collegeadmissions #collegeadmissionsscandal #collegecheatingscandal #operationvarsityblues #varsityblues #sat #act #academics https://t.co/8YOBxbwCCx"	Retweet		
1116430930170793985	2019-04-11 20:00:50	http://twitter.com/FreshvibesX/status/1116430930170793985	RT @Laurel_Sweet Of the 33 parents arrested last month in the FBI's nationwide #operationvarsityblues sweep, 19 are now under indictment and 13 have agreed to plead guilty, including film star Felicity Huffman.#CollegeAdmissionsScandal	@FreshvibesX	FreshvibesXclusive	United States of America	Tennessee	Nashville	Neutral	Neutral	Twitter		12216	261	705	RT @Laurel_Sweet Of the 33 parents arrested last month in the FBI's nationwide #operationvarsityblues sweep, 19 are now under indictment and 13 have agreed to plead guilty, including film star Felicity Huffman.#CollegeAdmissionsScandal	Retweet		
1116473314480779265	2019-04-11 22:49:15	http://twitter.com/theBreakerNews/status/1116473314480779265	Mark Riddell is expected to plead guilty tomorrow in #OperationVarsityBlues college admissions scandal. He agreed to on Feb. 22. Vancouver's David Sidoo is accused of paying Riddell $200,000 to write tests for his sons Dylan and Jordan. #bced #bcpoli https://t.co/JKBQGoiVC8	@theBreakerNews	theBreaker.news	Canada	British Columbia	Vancouver	Neutral	Neutral	Twitter		18076	3615	432	Mark Riddell is expected to plead guilty tomorrow in #OperationVarsityBlues college admissions scandal. He agreed to on Feb. 22. Vancouver's David Sidoo is accused of paying Riddell $200,000 to write tests for his sons Dylan and Jordan. #bced #bcpoli https://t.co/JKBQGoiVC8	Tweet		
1116383371838418944	2019-04-11 16:51:51	http://twitter.com/teakinrj/status/1116383371838418944	RT @CPaine10 Dead serious. The #OperationVarsityblues and #Avenatti are road maps for the #TrumpCrimeFamily. Am I rite?? @realDonaldTrump @DonaldJTrumpJr @IvankaTrump https://t.co/IdwBD2XUz8	@teakinrj	ellen				Neutral	Neutral	Twitter	F	397077	2979	5002	RT @CPaine10 Dead serious. The #OperationVarsityblues and #Avenatti are road maps for the #TrumpCrimeFamily. Am I rite?? @realDonaldTrump @DonaldJTrumpJr @IvankaTrump https://t.co/IdwBD2XUz8	Retweet		
1116137939732287488	2019-04-11 00:36:36	http://twitter.com/LAcrimes/status/1116137939732287488	RT @IssuesOn1 Golfer @PhilMickelson once used Rick Singer's services. Teens' faces were photo-shopped onto stock pics of athletes. @latimes reporter @LAcrimes covers the #CollegeAdmissionsScandal and he's here with the latest @SpecNews1SoCal #operationvarsityblues https://t.co/aFziTnsI8E	@LAcrimes	Richard Winton	United States of America			Neutral	Neutral	Twitter	M	52723	14762	4156	RT @IssuesOn1 Golfer @PhilMickelson once used Rick Singer's services. Teens' faces were photo-shopped onto stock pics of athletes.  @latimes reporter @LAcrimes covers the #CollegeAdmissionsScandal and he's here with the latest @SpecNews1SoCal #operationvarsityblues https://t.co/aFziTnsI8E	Retweet		
1116326633022078978	2019-04-11 13:06:24	http://twitter.com/How2MarryRich/status/1116326633022078978	The latest The Rich Life Daily! https://t.co/L1OHWxCa0A #paid #operationvarsityblues	@How2MarryRich	IMarriedAMillionaire				Neutral	Joy	Twitter		4140	130	329	The latest The Rich Life Daily! https://t.co/L1OHWxCa0A #paid #operationvarsityblues	Tweet		
1116473592936452096	2019-04-11 22:50:22	http://twitter.com/JackDorseyisNPC/status/1116473592936452096	RT @theBreakerNews Mark Riddell is expected to plead guilty tomorrow in #OperationVarsityBlues college admissions scandal. He agreed to on Feb. 22. Vancouver's David Sidoo is accused of paying Riddell $200,000 to write tests for his sons Dylan and Jordan. #bced #bcpoli https://t.co/JKBQGoiVC8	@JackDorseyisNPC	Jack Dorsey Manipulating Elections	United States of America			Neutral	Neutral	Twitter	M	5620	19	168	RT @theBreakerNews Mark Riddell is expected to plead guilty tomorrow in #OperationVarsityBlues college admissions scandal. He agreed to on Feb. 22. Vancouver's David Sidoo is accused of paying Riddell $200,000 to write tests for his sons Dylan and Jordan. #bced #bcpoli https://t.co/JKBQGoiVC8	Retweet		
1116354884520022016	2019-04-11 14:58:39	http://twitter.com/TrillestPhil/status/1116354884520022016	RT @Laurel_Sweet Of the 33 parents arrested last month in the FBI's nationwide #operationvarsityblues sweep, 19 are now under indictment and 13 have agreed to plead guilty, including film star Felicity Huffman.#CollegeAdmissionsScandal	@TrillestPhil	phillip 🇯🇲				Neutral	Neutral	Twitter	M	4885	649	547	RT @Laurel_Sweet Of the 33 parents arrested last month in the FBI's nationwide #operationvarsityblues sweep, 19 are now under indictment and 13 have agreed to plead guilty, including film star Felicity Huffman.#CollegeAdmissionsScandal	Retweet		
1116161445044072449	2019-04-11 02:10:00	http://twitter.com/ms_rechell/status/1116161445044072449	RT @Laurel_Sweet Of the 33 parents arrested last month in the FBI's nationwide #operationvarsityblues sweep, 19 are now under indictment and 13 have agreed to plead guilty, including film star Felicity Huffman.#CollegeAdmissionsScandal	@ms_rechell	Rachele	United States of America	Texas		Neutral	Neutral	Twitter	F	20322	3448	4947	RT @Laurel_Sweet Of the 33 parents arrested last month in the FBI's nationwide #operationvarsityblues sweep, 19 are now under indictment and 13 have agreed to plead guilty, including film star Felicity Huffman.#CollegeAdmissionsScandal	Retweet		
