GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1107387503198248961	2019-03-17 21:05:29	http://twitter.com/Jordan9ja/status/1107387503198248961	RT @Jordan9ja #Jib: Felicity Huffman and Lori Loughlin Charged in #collegeadmissionsscandal : https://t.co/SBNVJzDjWj	@Jordan9ja	Jordan  Isoa				Neutral	Neutral	Twitter	M	41157	551	530	RT @Jordan9ja #Jib: Felicity Huffman and Lori Loughlin Charged in #collegeadmissionsscandal : https://t.co/SBNVJzDjWj	Retweet		
1107129690597281792	2019-03-17 04:01:02	http://twitter.com/L2RFreeSpeech/status/1107129690597281792	The real #collegeadmissionsscandal is all the prima facie retards playing college ball who clearly have no business being in college stealing opportunities from kids of merit. At least this time it was relatively smart people pretending to be athletes to get into school.	@L2RFreeSpeech	Left 2 Right Free Speech 🇺🇸				Negative	Sadness	Twitter		491	26	115	The real #collegeadmissionsscandal is all the prima facie retards playing college ball who clearly have no business being in college stealing opportunities from kids of merit. At least this time it was relatively smart people pretending to be athletes to get into school.	Tweet		
1107097990802694145	2019-03-17 01:55:04	http://twitter.com/KennedyAna22/status/1107097990802694145	RT @MYDaysAndNights Fascinating! Will this be made into a movie? A most interesting government/legal document: #CollegeAdmissionsScandal https://t.co/9iHXh6PbVG	@KennedyAna22	AllHailQueenSnake🐍				Positive	Neutral	Twitter		141	7	88	"RT @MYDaysAndNights Fascinating! Will this be made into a movie? 
A most interesting government/legal document: 
#CollegeAdmissionsScandal 
https://t.co/9iHXh6PbVG"	Retweet		
1107137644042043393	2019-03-17 04:32:38	http://twitter.com/ZhouHongling/status/1107137644042043393	RT @deloitteshen @kennymxu Time to abolish legacy - the privilege of socioeconomic status and affirmative action - the privilege of skin color! #CollegeAdmissions #CollegeAdmissionsScandal #Legacies #AffirmativeAction	@ZhouHongling	Hongling Zhou				Neutral	Joy	Twitter		91	12	56	RT @deloitteshen @kennymxu Time to abolish legacy - the privilege of socioeconomic status and affirmative action - the privilege of skin color! #CollegeAdmissions #CollegeAdmissionsScandal #Legacies #AffirmativeAction	Retweet		
1107095490787713025	2019-03-17 01:45:08	http://twitter.com/Mealscott/status/1107095490787713025	RT @ClintEastwoodLA Hopefully, you will be sharing a jail cell with Crooked @HillaryClinton real soon, Felicity. How's it hanging, Bill? @WilliamHMacy Birds of a feather. #CollegeCheatingScandal #OperationVarsityBlues #collegeadmissionsscandal https://t.co/JSW6F5bBNe	@Mealscott	Melanie Scott	United States of America	Texas	Houston	Neutral	Neutral	Twitter	F	14536	122	94	"RT @ClintEastwoodLA Hopefully, you will be sharing a jail cell with Crooked @HillaryClinton real soon, Felicity. 

How's it hanging, Bill? @WilliamHMacy

Birds of a feather. 

#CollegeCheatingScandal #OperationVarsityBlues #collegeadmissionsscandal https://t.co/JSW6F5bBNe"	Retweet		
1107410192839245824	2019-03-17 22:35:39	http://twitter.com/PrimaGirl808/status/1107410192839245824	#thedropout #collegeadmissionsscandal greed, corruption. Come on, America. We’re better than that. Throw them in jail.	@PrimaGirl808	Prima Studio Designs	United States of America	California		Negative	Disgust	Twitter	F	95	20	179	#thedropout #collegeadmissionsscandal greed, corruption. Come on, America. We’re better than that. Throw them in jail.	Tweet		
1107233282050150400	2019-03-17 10:52:40	http://twitter.com/sacca18/status/1107233282050150400	"RT @JNelsonLDF The most important work that the #collegeadmissionsscandal can do is unravel the myth of merit in America. Who ""belongs"" at elite universities? The raging hypocrisy of higher ed gatekeeping https://t.co/hKNxUMZNxz"	@sacca18	Sacca				Negative	Neutral	Twitter		1206	56	589	"RT @JNelsonLDF The most important work that the #collegeadmissionsscandal can do is unravel the myth of merit in America.  Who ""belongs"" at elite universities? The raging hypocrisy of higher ed gatekeeping https://t.co/hKNxUMZNxz"	Retweet		
1107357724629704706	2019-03-17 19:07:09	http://twitter.com/DTWriters/status/1107357724629704706	@nytimes Good for them #college #admissions #collegeadmissionsscandal	@DTWriters	Denise Turney				Positive	Unclassified	Twitter	F	21510	11001	867	@nytimes Good for them #college #admissions #collegeadmissionsscandal	Reply		
1107289878088372224	2019-03-17 14:37:34	http://twitter.com/Emorysgir/status/1107289878088372224	RT @KennedyNation Here is last night's memo on the #collegeadmissionsscandal and there is PLENTY of shade & blame to go around. #Kennedy https://t.co/VpJeCI58Uh	@Emorysgir	VegasGirl	United States of America			Neutral	Neutral	Twitter		28638	1978	2445	RT @KennedyNation Here is last night's memo on the #collegeadmissionsscandal and there is PLENTY of shade & blame to go around.  #Kennedy https://t.co/VpJeCI58Uh	Retweet		
1107399002243457024	2019-03-17 21:51:11	http://twitter.com/CMG4goodgov/status/1107399002243457024	"What do we call a person in medical school who graduates at the bottom of the class? We call that person ""Doctor."" #CollegeCheatingScandal #CollegeAdmissionsScandal #OperationVarsityBlues #CollegeAdmissionScam"	@CMG4goodgov	CMG				Neutral	Anger	Twitter		48	1	27	"What do we call a person in medical school who graduates at the bottom of the class? We call that person ""Doctor."" #CollegeCheatingScandal #CollegeAdmissionsScandal #OperationVarsityBlues #CollegeAdmissionScam"	Tweet		
