GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1106552736756232192	2019-03-15 13:48:25	http://twitter.com/U_Ought_2_Know/status/1106552736756232192	RT @chromeholobitch Yasss, you summed it up PERFECTLY! 👏🏼👏🏼👏🏼 #OperationVarsityBlues #CollegeCheatingScandal https://t.co/yfYTgNKDsf	@U_Ought_2_Know	💋💨Lisa the name♈️	United States of America	Florida		Positive	Joy	Twitter	F	5368	256	509	RT @chromeholobitch Yasss, you summed it up PERFECTLY! 👏🏼👏🏼👏🏼 #OperationVarsityBlues #CollegeCheatingScandal https://t.co/yfYTgNKDsf	Retweet		
1106551905361248256	2019-03-15 13:45:07	http://twitter.com/U_Ought_2_Know/status/1106551905361248256	RT @98PXYRochester UPDATE: Lori Loughlin is being kicked off #FullerHouse https://t.co/1zARmLDqoM #CollegeAdmissionsScam #OperationVarsityBlues	@U_Ought_2_Know	💋💨Lisa the name♈️	United States of America	Florida		Neutral	Neutral	Twitter	F	5366	256	509	RT @98PXYRochester UPDATE: Lori Loughlin is being kicked off #FullerHouse https://t.co/1zARmLDqoM #CollegeAdmissionsScam #OperationVarsityBlues	Retweet		
1106463251980800000	2019-03-15 07:52:51	http://twitter.com/BCharlote/status/1106463251980800000	RT @Autrice #Hollywood lectures us on what’s morally right while they live in a cesspool of debauchery, lies & elitism. #OperationVarsityBlues Hallmark Channel Fires Actress Lori Loughlin Over College Cheating Scandal https://t.co/fjdzSJhlq1	@BCharlote	Charlote	United States of America	Texas		Negative	Neutral	Twitter		99138	21137	21932	"RT @Autrice #Hollywood lectures us on what’s morally right while they live in a cesspool of debauchery, lies & elitism.
#OperationVarsityBlues
Hallmark Channel Fires Actress Lori Loughlin Over College Cheating Scandal https://t.co/fjdzSJhlq1"	Retweet		
1106702965786771456	2019-03-15 23:45:23	http://twitter.com/magatrqn/status/1106702965786771456	RT @ClintEastwoodLA Hopefully, you will be sharing a jail cell with Crooked @HillaryClinton real soon, Felicity. How's it hanging, Bill? @WilliamHMacy Birds of a feather. #CollegeCheatingScandal #OperationVarsityBlues #collegeadmissionsscandal https://t.co/JSW6F5bBNe	@magatrqn	MAGATRQN				Neutral	Neutral	Twitter		5572	2144	2029	"RT @ClintEastwoodLA Hopefully, you will be sharing a jail cell with Crooked @HillaryClinton real soon, Felicity. 

How's it hanging, Bill? @WilliamHMacy

Birds of a feather. 

#CollegeCheatingScandal #OperationVarsityBlues #collegeadmissionsscandal https://t.co/JSW6F5bBNe"	Retweet		
1106546121843703809	2019-03-15 13:22:08	http://twitter.com/NoniCafe_/status/1106546121843703809	RT @trypanblue Florida teen Kamilah Campbell was told her test scores were invalid after she improved her original score of 900 to 1230. https://t.co/cDTfNuRj9p #KamilahCampbell #OperationVarsityBlues	@NoniCafe_	👑NoniCafe ☕☕	United States of America			Neutral	Neutral	Twitter		23281	7295	7521	RT @trypanblue Florida teen Kamilah Campbell was told her test scores were invalid after she improved her original score of 900 to 1230.   https://t.co/cDTfNuRj9p    #KamilahCampbell #OperationVarsityBlues	Retweet		
1106508557464322048	2019-03-15 10:52:52	http://twitter.com/LeeStickle1/status/1106508557464322048	RT @ClintEastwoodLA Hopefully, you will be sharing a jail cell with Crooked @HillaryClinton real soon, Felicity. How's it hanging, Bill? @WilliamHMacy Birds of a feather. #CollegeCheatingScandal #OperationVarsityBlues #collegeadmissionsscandal https://t.co/JSW6F5bBNe	@LeeStickle1	Drpzone				Neutral	Neutral	Twitter		58500	449	22	"RT @ClintEastwoodLA Hopefully, you will be sharing a jail cell with Crooked @HillaryClinton real soon, Felicity. 

How's it hanging, Bill? @WilliamHMacy

Birds of a feather. 

#CollegeCheatingScandal #OperationVarsityBlues #collegeadmissionsscandal https://t.co/JSW6F5bBNe"	Retweet		
1106355060278247424	2019-03-15 00:42:56	http://twitter.com/Smokers1Wipes/status/1106355060278247424	RT @Autrice #Hollywood lectures us on what’s morally right while they live in a cesspool of debauchery, lies & elitism. #OperationVarsityBlues Hallmark Channel Fires Actress Lori Loughlin Over College Cheating Scandal https://t.co/fjdzSJhlq1	@Smokers1Wipes	❌Anthony❌	United States of America	Florida		Negative	Neutral	Twitter	M	10712	22852	23582	"RT @Autrice #Hollywood lectures us on what’s morally right while they live in a cesspool of debauchery, lies & elitism.
#OperationVarsityBlues
Hallmark Channel Fires Actress Lori Loughlin Over College Cheating Scandal https://t.co/fjdzSJhlq1"	Retweet		
1106655969591943169	2019-03-15 20:38:38	http://twitter.com/jjj5819/status/1106655969591943169	RT @Brigida__Santos People think #OperationVarsityBlues was a victimless crime but a new $500 B class action lawsuit against those indicted alleges 1M people were affected. Many hard-working applicants were denied entrance so others could illegally take their places. https://t.co/D053oGBGXW	@jjj5819	Jessica Josephson	United States of America	Massachusetts	Worcester	Negative	Sadness	Twitter	F	349819	1752	4093	RT @Brigida__Santos People think #OperationVarsityBlues was a victimless crime but a new $500 B class action lawsuit against those indicted alleges 1M people were affected. Many hard-working applicants were denied entrance so others could illegally take their places. https://t.co/D053oGBGXW	Retweet		
1106384402215505921	2019-03-15 02:39:31	http://twitter.com/Truly_U_/status/1106384402215505921	Welp, it looks like my university employed one of the members of club #OperationVarsityBlues... Go Rams!!! 😂 https://t.co/DdDaiPWn4F	@Truly_U_	Truly U 🐦 Email trulyuu@gmail.com to submit work!	United States of America			Neutral	Neutral	Twitter		3481	1315	1923	"Welp, it looks like my university employed one of the members of club #OperationVarsityBlues... Go Rams!!!  😂

https://t.co/DdDaiPWn4F"	Tweet		
1106500854000041984	2019-03-15 10:22:16	http://twitter.com/LoriHandrahan2/status/1106500854000041984	RT @boreskes .@TheBrianPark and I made a LISTICLE. Check out the 11 wildest, most eye-popping revelations buried in the hundreds of pages of court documents related to #OperationVarsityBlues. https://t.co/jiTxszo3Tj	@LoriHandrahan2	Dr. Lori Handrahan	United States of America	District of Columbia	Washington, D.C.	Neutral	Neutral	Twitter	F	208901	5634	6307	"RT @boreskes .@TheBrianPark and I made a LISTICLE. 

Check out the 11 wildest, most eye-popping revelations buried in the hundreds of pages of court documents related to #OperationVarsityBlues. 

https://t.co/jiTxszo3Tj"	Retweet		
