GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1115683486357164032	2019-04-09 18:30:46	http://twitter.com/uttad/status/1115683486357164032	b'rt @utaustin how you can celebrate #earthmonth on the forty acres with @keeptexasgreen :'	@uttad	UT Theatre and Dance	United States of America	Texas	Austin	Neutral	Neutral	Twitter		8490	3142	2090	RT @UTAustin How you can celebrate #EarthMonth on the Forty Acres with @KeepTexasGreen : https://t.co/h9IMurZUSY https://t.co/l3t7r3vwLd	Retweet		
1115708278628073473	2019-04-09 20:09:17	http://twitter.com/PenielJoseph/status/1115708278628073473	b'rt @utaustin watch #lbjsummitonrace live:   morning: @mspackyetti, @htprescpb, @tzintzuncris, @penieljoseph, @courageousdove afternoon: @valeriejarrett, @georgelopez, @aparnapkin, @wyclef, @thesheertruth, @flytetymejam, @dulcesloan evening: @madeleine, @eji_org'	@PenielJoseph	Dr. Peniel E. Joseph	United States of America	Texas	Austin	Neutral	Joy	Twitter	M	9527	10167	1979	RT @UTAustin Watch #LBJSummitonRace live: https://t.co/BGRsGjjpSr ▪️Morning: @MsPackyetti, @htprescpb, @TzintzunCris, @PenielJoseph, @courageousdove ▪️Afternoon: @ValerieJarrett, @georgelopez, @aparnapkin, @wyclef, @Thesheertruth, @flytetymejam, @dulcesloan ▪️Evening: @madeleine, @eji_org https://t.co/F5FwFBp4Fo	Retweet		
1115653724846866434	2019-04-09 16:32:30	http://twitter.com/UT_DDCE/status/1115653724846866434	b'rt @utaustin watch #lbjsummitonrace live:   morning: @mspackyetti, @htprescpb, @tzintzuncris, @penieljoseph, @courageousdove afternoon: @valeriejarrett, @georgelopez, @aparnapkin, @wyclef, @thesheertruth, @flytetymejam, @dulcesloan evening: @madeleine, @eji_org'	@UT_DDCE	UT DDCE	United States of America	Texas	Austin	Neutral	Joy	Twitter		8649	3081	1238	RT @UTAustin Watch #LBJSummitonRace live: https://t.co/BGRsGjjpSr ▪️Morning: @MsPackyetti, @htprescpb, @TzintzunCris, @PenielJoseph, @courageousdove ▪️Afternoon: @ValerieJarrett, @georgelopez, @aparnapkin, @wyclef, @Thesheertruth, @flytetymejam, @dulcesloan ▪️Evening: @madeleine, @eji_org https://t.co/F5FwFBp4Fo	Retweet		
1115680835556876288	2019-04-09 18:20:14	http://twitter.com/HigleyCollegeGo/status/1115680835556876288	b'rt @utaustin the average adult american spends almost half of every day interacting with media. see why one @dellmedschool expert says we need to be savvier digital consumers:'	@HigleyCollegeGo	HUSD	United States of America	Arizona		Neutral	Neutral	Twitter		3797	150	139	RT @UTAustin The average adult American spends almost half of every day interacting with media.  See why one @DellMedSchool expert says we need to be savvier digital consumers: https://t.co/phu85l3bKq	Retweet		
1115565914215329793	2019-04-09 10:43:34	http://twitter.com/Illuminata1111/status/1115565914215329793	b'rt @utaustin the #lbjsummitonrace starts today.  an evening with @doloreshuerta and @ambandrewyoung  black, brown & blue: healing the divide between minority communities and law enforcement with @artacevedo and @deray watch it live:'	@Illuminata1111	Illuminata				Neutral	Neutral	Twitter		2296	54	531	RT @UTAustin The #LBJSummitonRace starts today.  ▪️ An Evening with @doloreshuerta and @ambandrewyoung ▪️ Black, Brown & Blue: Healing the Divide Between Minority Communities and Law Enforcement with @ArtAcevedo and @deray  Watch it live: https://t.co/Lr1WvakwUr https://t.co/EZwLbVzhp0	Retweet		
1115749348934131712	2019-04-09 22:52:29	http://twitter.com/FionaMazurenko/status/1115749348934131712	b'rt @utaustin the average adult american spends almost half of every day interacting with media. see why one @dellmedschool expert says we need to be savvier digital consumers:'	@FionaMazurenko	Fiona Mazurenko				Neutral	Neutral	Twitter	F	23	20	173	RT @UTAustin The average adult American spends almost half of every day interacting with media.  See why one @DellMedSchool expert says we need to be savvier digital consumers: https://t.co/phu85l3bKq	Retweet		
1115694774302932993	2019-04-09 19:15:37	http://twitter.com/thesheertruth/status/1115694774302932993	b'rt @utaustin watch #lbjsummitonrace live:   morning: @mspackyetti, @htprescpb, @tzintzuncris, @penieljoseph, @courageousdove afternoon: @valeriejarrett, @georgelopez, @aparnapkin, @wyclef, @thesheertruth, @flytetymejam, @dulcesloan evening: @madeleine, @eji_org'	@thesheertruth	Sasheer Zamata				Neutral	Joy	Twitter		1384	60043	0	RT @UTAustin Watch #LBJSummitonRace live: https://t.co/BGRsGjjpSr ▪️Morning: @MsPackyetti, @htprescpb, @TzintzunCris, @PenielJoseph, @courageousdove ▪️Afternoon: @ValerieJarrett, @georgelopez, @aparnapkin, @wyclef, @Thesheertruth, @flytetymejam, @dulcesloan ▪️Evening: @madeleine, @eji_org https://t.co/F5FwFBp4Fo	Retweet		
1115676618691874817	2019-04-09 18:03:28	http://twitter.com/KeepTexasGreen/status/1115676618691874817	b'rt @utaustin the #lbjsummitonrace starts today.  an evening with @doloreshuerta and @ambandrewyoung  black, brown & blue: healing the divide between minority communities and law enforcement with @artacevedo and @deray watch it live:'	@KeepTexasGreen	Texas Sustainability	United States of America	Texas	Austin	Neutral	Neutral	Twitter		4587	2536	740	RT @UTAustin The #LBJSummitonRace starts today.  ▪️ An Evening with @doloreshuerta and @ambandrewyoung ▪️ Black, Brown & Blue: Healing the Divide Between Minority Communities and Law Enforcement with @ArtAcevedo and @deray  Watch it live: https://t.co/Lr1WvakwUr https://t.co/EZwLbVzhp0	Retweet		
1115712067401592832	2019-04-09 20:24:20	http://twitter.com/DesereCrossUT/status/1115712067401592832	b'rt @utaustin how you can celebrate #earthmonth on the forty acres with @keeptexasgreen :'	@DesereCrossUT	Deseré Cross Ward	United States of America	Texas	Austin	Neutral	Neutral	Twitter		1565	540	753	RT @UTAustin How you can celebrate #EarthMonth on the Forty Acres with @KeepTexasGreen : https://t.co/h9IMurZUSY https://t.co/l3t7r3vwLd	Retweet		
1115674031846494208	2019-04-09 17:53:12	http://twitter.com/UTFacilities/status/1115674031846494208	b'rt @utaustin the average adult american spends almost half of every day interacting with media. see why one @dellmedschool expert says we need to be savvier digital consumers:'	@UTFacilities	UT Austin Facilities	United States of America	Texas	Austin	Neutral	Neutral	Twitter	M	1957	235	74	RT @UTAustin The average adult American spends almost half of every day interacting with media.  See why one @DellMedSchool expert says we need to be savvier digital consumers: https://t.co/phu85l3bKq	Retweet		
