GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1108660557413076992	2019-03-21 09:24:09	http://twitter.com/DisruptArtist/status/1108660557413076992	b'rt @harvard first-year students were sorted into 12 harvard houses this morning. happy housing day!'	@DisruptArtist	LiberalArtist	Germany	Berlin	Berlin	Positive	Joy	Twitter		27908	2169	2179	RT @Harvard First-year students were sorted into 12 Harvard Houses this morning. Happy Housing Day! https://t.co/QRFcUSgenR	Retweet		
1108650081761132544	2019-03-21 08:42:31	http://twitter.com/gilangrizkink6/status/1108650081761132544	b'rt @harvard happy #firstdayofspring!'	@gilangrizkink6	cd.adele	Indonesia			Positive	Neutral	Twitter		478	23	108	RT @Harvard Happy #FirstDayofSpring! 🌼🌸🌺 https://t.co/I223VsfWNG	Retweet		
1108582599625240576	2019-03-21 04:14:22	http://twitter.com/GlobalWritersTM/status/1108582599625240576	b'rt @harvard researchers are developing technologies to not just delay the diseases of aging, but to actually reverse aspects of them'	@GlobalWritersTM	Global Writers	United States of America	Louisiana	New Orleans	Neutral	Joy	Twitter		3278	1464	821	RT @Harvard Researchers are developing technologies to not just delay the diseases of aging, but to actually reverse aspects of them https://t.co/kWhGZH8wAm	Retweet		
1108800573506232320	2019-03-21 18:40:31	http://twitter.com/connectikpeople/status/1108800573506232320	"b""rt @harvard inaugural you.s. youth poet laureate @amandascgorman '20 read her original poem at the inauguration of president larry bacow. #worldpoetryday"""	@connectikpeople	DailyDigital Economy				Neutral	Neutral	Twitter		135638	1061	2063	RT @Harvard Inaugural U.S. youth poet laureate @AmandaSCGorman '20 read her original poem at the inauguration of President Larry Bacow. #WorldPoetryDay https://t.co/mfkThBTZtf	Retweet		
1108582641593434112	2019-03-21 04:14:32	http://twitter.com/GlobalWritersTM/status/1108582641593434112	b'rt @harvard is it best for landlords to tell potential tenants about past bedbug infestations?'	@GlobalWritersTM	Global Writers	United States of America	Louisiana	New Orleans	Neutral	Neutral	Twitter		3288	1464	821	RT @Harvard Is it best for landlords to tell potential tenants about past bedbug infestations? https://t.co/fdpKqZCvTp	Retweet		
1108858217373810689	2019-03-21 22:29:35	http://twitter.com/VicoM8/status/1108858217373810689	b'rt @harvard a treatment previously shown to clear the precancerous skin lesions called actinic keratosis now appears to reduce the chance that the treated skin will develop squamous cell carcinomas, the second-most-common form of skin cancer'	@VicoM8	Pau J.A.				Neutral	Neutral	Twitter	M	5920	184	94	RT @Harvard A treatment previously shown to clear the precancerous skin lesions called actinic keratosis now appears to reduce the chance that the treated skin will develop squamous cell carcinomas, the second-most-common form of skin cancer https://t.co/aBoukTXVAE	Retweet		
1108690279685648385	2019-03-21 11:22:15	http://twitter.com/vievararosel/status/1108690279685648385	b'rt @harvard art historian melissa mccormick brings a japanese masterpiece to life at @metmuseum'	@vievararosel	Vievara Rosel				Neutral	Joy	Twitter		194690	1365	4493	RT @Harvard Art historian Melissa McCormick brings a Japanese masterpiece to life at @metmuseum https://t.co/u2n0U5aTN6	Retweet		
1108548937420435456	2019-03-21 02:00:37	http://twitter.com/socialpathologi/status/1108548937420435456	b'rt @harvard researchers found a particularly strong link between sugary beverages and heart disease'	@socialpathologi	Sandeep Kumar	India			Neutral	Joy	Twitter	M	3346	284	2341	RT @Harvard Researchers found a particularly strong link between sugary beverages and heart disease https://t.co/FGbuNj4vVO	Retweet		
1108615423032000512	2019-03-21 06:24:48	http://twitter.com/Vaishna30427231/status/1108615423032000512	b'rt @harvard happy #firstdayofspring!'	@Vaishna30427231	Vaishnavi Krishna				Positive	Neutral	Twitter		30	4	18	RT @Harvard Happy #FirstDayofSpring! 🌼🌸🌺 https://t.co/I223VsfWNG	Retweet		
1108561142501330944	2019-03-21 02:49:07	http://twitter.com/Equanimous_1/status/1108561142501330944	b'rt @harvard researchers found a particularly strong link between sugary beverages and heart disease'	@Equanimous_1	#NoDAPL P(A|B)  🙇🏾‍♂️	United States of America			Neutral	Joy	Twitter		83151	945	3902	RT @Harvard Researchers found a particularly strong link between sugary beverages and heart disease https://t.co/FGbuNj4vVO	Retweet		
1108813556869414917	2019-03-21 19:32:07	http://twitter.com/HubPublish/status/1108813556869414917	b'rt @harvard on #matchday2019, @harvardmed students learned where they will spend their residencies'	@HubPublish	HubPublish | HubBucket Historical Digital Archive	United States of America	New York	New York	Neutral	Neutral	Twitter		3601	237	949	RT @Harvard On #MatchDay2019, @harvardmed students learned where they’ll spend their residencies https://t.co/vS7SuceINM https://t.co/kePxIAKdWB	Retweet		
1108799473063481344	2019-03-21 18:36:09	http://twitter.com/connectikpeople/status/1108799473063481344	b'rt @harvard on #matchday2019, @harvardmed students learned where they will spend their residencies'	@connectikpeople	DailyDigital Economy				Neutral	Neutral	Twitter		135624	1061	2063	RT @Harvard On #MatchDay2019, @harvardmed students learned where they’ll spend their residencies https://t.co/vS7SuceINM https://t.co/kePxIAKdWB	Retweet		
1108788842839052289	2019-03-21 17:53:55	http://twitter.com/miguel_lezana/status/1108788842839052289	b'rt @harvard researchers have known for some time that poor sleep raises heart disease risk, but they have now found a chemical chain reaction that helps explain that risk'	@miguel_lezana	Miguel Lezana	Mexico	Distrito Federal	Mexico City	Negative	Neutral	Twitter	M	4181	121	228	RT @Harvard Researchers have known for some time that poor sleep raises heart disease risk, but they've now found a chemical chain reaction that helps explain that risk https://t.co/F2iEXgCFn1	Retweet		
1108799983577255937	2019-03-21 18:38:11	http://twitter.com/NADENDRA101/status/1108799983577255937	b'rt @harvard julian spearchief-morris is the first indigenous student to lead the harvard legal aid bureau, which was founded in 1913'	@NADENDRA101	Nadendra Nigrocincta	Indonesia	Jakarta Raya	Jakarta	Neutral	Neutral	Twitter		19011	658	783	RT @Harvard Julian SpearChief-Morris is the first indigenous student to lead the Harvard Legal Aid Bureau, which was founded in 1913 https://t.co/ejlv667hWB	Retweet		
1108776550634270720	2019-03-21 17:05:04	http://twitter.com/DrShedlo/status/1108776550634270720	b'rt @harvard researchers have known for some time that poor sleep raises heart disease risk, but they have now found a chemical chain reaction that helps explain that risk'	@DrShedlo	Eyecare Center of Maryland	United States of America			Negative	Neutral	Twitter		1035	72	490	RT @Harvard Researchers have known for some time that poor sleep raises heart disease risk, but they've now found a chemical chain reaction that helps explain that risk https://t.co/F2iEXgCFn1	Retweet		
1108782931839979520	2019-03-21 17:30:25	http://twitter.com/WoodwarddianneJ/status/1108782931839979520	b'rt @harvard researchers have known for some time that poor sleep raises heart disease risk, but they have now found a chemical chain reaction that helps explain that risk'	@WoodwarddianneJ	Dianne Woodward				Negative	Neutral	Twitter	F	62264	1544	894	RT @Harvard Researchers have known for some time that poor sleep raises heart disease risk, but they've now found a chemical chain reaction that helps explain that risk https://t.co/F2iEXgCFn1	Retweet		
1108791448860807168	2019-03-21 18:04:16	http://twitter.com/meredithpharmd/status/1108791448860807168	b'rt @harvard researchers have known for some time that poor sleep raises heart disease risk, but they have now found a chemical chain reaction that helps explain that risk'	@meredithpharmd	Meredith				Negative	Neutral	Twitter	F	2021	74	209	RT @Harvard Researchers have known for some time that poor sleep raises heart disease risk, but they've now found a chemical chain reaction that helps explain that risk https://t.co/F2iEXgCFn1	Retweet		
