GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1111851566099648514	2019-03-30 04:44:05	http://twitter.com/RSmith1935/status/1111851566099648514	b'rt @stanford the low-carbon economy promises jobs, national security, human health and money, rob jackson writes.'	@RSmith1935	R Smith	United States of America			Neutral	Neutral	Twitter		51791	817	4066	RT @Stanford The low-carbon economy promises jobs, national security, human health and money, Rob Jackson writes. https://t.co/Uqat0OF9nT	Retweet		
1111851293033680896	2019-03-30 04:43:00	http://twitter.com/RSmith1935/status/1111851293033680896	"b'rt @stanford ""we hoped that we had turned the corner,"" said @stanfordearth\'s rob jackson. ""we have not.""'"	@RSmith1935	R Smith	United States of America			Neutral	Neutral	Twitter		51787	817	4066	"RT @Stanford ""We hoped that we had turned the corner,"" said @stanfordearth's Rob Jackson. ""We haven't."" https://t.co/RHrgOHWsw2"	Retweet		
1111964129638666240	2019-03-30 12:11:22	http://twitter.com/Utkarshshah6/status/1111964129638666240	b'@stanford i have recently completed my class 12th and i am so excited to get admission and study in the stanford university after 2 years. first i will complete my first 2 years in manipal university, india, and then get a free admission in stanford university!'	@Utkarshshah6	Utkarsh Shah #TeamShreya	India	Maharashtra	Mumbai	Positive	Fear	Twitter		41585	277	400	@Stanford I have recently completed my Class 12th and I'm so excited to get admission and study in The Stanford University after 2 years. First I'll complete my first 2 years in Manipal University, India, and then get a free admission in Stanford University!	Reply		
1111809013484650496	2019-03-30 01:54:59	http://twitter.com/Imam_Tabroni85/status/1111809013484650496	b'rt @stanford thursday evening at @stanfordeng. : prof. russ altman'	@Imam_Tabroni85	Dr. Imam Tabroni	Indonesia	Jawa Barat	Bandung	Neutral	Neutral	Twitter	F	5369	199	572	RT @Stanford Thursday evening at @StanfordEng. 📸: Prof. Russ Altman https://t.co/7kONHGBfRR	Retweet		
1111851065316507648	2019-03-30 04:42:05	http://twitter.com/RSmith1935/status/1111851065316507648	"b'rt @stanford ""we are not there yet but we are moving pretty quickly towards a world where you might be able to verify emissions at a large city scale,"" @stanfordearth\'s rob jackson says.'"	@RSmith1935	R Smith	United States of America			Neutral	Neutral	Twitter		51783	817	4066	"RT @Stanford ""We're not there yet but we're moving pretty quickly towards a world where you might be able to verify emissions at a large city scale,"" @StanfordEarth's Rob Jackson says. https://t.co/yO0qqzIqCM"	Retweet		
1111852159128133632	2019-03-30 04:46:26	http://twitter.com/RSmith1935/status/1111852159128133632	"b'rt @stanford ""we are at a fragile stasis in emissions,"" @stanfordearth\'s rob jackson says.'"	@RSmith1935	R Smith	United States of America			Negative	Neutral	Twitter		51798	817	4066	"RT @Stanford ""We're at a fragile stasis in emissions,"" @StanfordEarth's Rob Jackson says. https://t.co/bZf3bzbH9s"	Retweet		
1111795200957927427	2019-03-30 01:00:06	http://twitter.com/KimbaraNoriyuki/status/1111795200957927427	b'@stanford @stanfordeng it is a beautiful rainbow! i think it is a rare scene. thank you for the nice photo!'	@KimbaraNoriyuki	Kimbara  Noriyuki（死ぬこと以外かすり傷）	Japan			Positive	Joy	Twitter		940	81	515	@Stanford @StanfordEng It's a beautiful rainbow!  I think it is a rare scene.  Thank you for the nice photo!	Reply		
1111962135058415616	2019-03-30 12:03:26	http://twitter.com/Utkarshshah6/status/1111962135058415616	b'rt @stanford on wednesday, @stanfordmed welcomed 140 local high school students to campus for med school 101:'	@Utkarshshah6	Utkarsh Shah #TeamShreya	India	Maharashtra	Mumbai	Neutral	Neutral	Twitter		41583	277	400	RT @Stanford On Wednesday, @StanfordMed welcomed 140 local high school students to campus for Med School 101: https://t.co/qgNOJD7kaS https://t.co/jOx6VTVHHD	Retweet		
1111852586066296832	2019-03-30 04:48:08	http://twitter.com/RSmith1935/status/1111852586066296832	b'rt @stanford new research by prof. rob jackson shows shallow fracking sites are threatening drinking water:'	@RSmith1935	R Smith	United States of America			Negative	Neutral	Twitter		51804	817	4066	RT @Stanford New research by Prof. Rob Jackson shows shallow fracking sites are threatening drinking water: http://t.co/wZlZZDHvcB http://t.co/D86ivzaaLP	Retweet		
1112075461075656704	2019-03-30 19:33:45	http://twitter.com/Neoequanime/status/1112075461075656704	b'rt @stanford a team of stanford chemists has developed a way to convert seawater, which makes up about 97 percent of water on earth, into hydrogen, which could one day be used to power everything from cars to buildings.'	@Neoequanime	Neoequanime	United Kingdom	Greater London	London	Neutral	Neutral	Twitter		20577	470	2165	RT @Stanford A team of Stanford chemists has developed a way to convert seawater, which makes up about 97 percent of water on Earth, into hydrogen, which could one day be used to power everything from cars to buildings. https://t.co/cMwBG6BOoA	Retweet		
