GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1099789260452966400	2019-02-24 21:52:47	http://twitter.com/ADroiteGirl/status/1099789260452966400	b'@ucberkeley given the unacceptable tweet by one of your employees, @yovipanda condoning this violent attack by that thug, i expect you will be firing him since his views are not compatible with your values, right?'	@ADroiteGirl	Tania Barnes-Watson				Negative	Disgust	Twitter	F	96	1	11	@UCBerkeley Given the unacceptable tweet by one of your employees, @YoviPanda condoning this violent attack by that thug, I expect you will be firing him since his views are not compatible with your values, right?	Reply		
1099557943794638848	2019-02-24 06:33:37	http://twitter.com/kataisa/status/1099557943794638848	b'rt @ucberkeley update: uc berkeley police identify potential suspect in sproul plaza assault, based on current information available to the department, the suspect is not a student at, or affiliate of, the university.'	@kataisa	smirking kataisa 😏 #SmilingWhileWhite ⭐ 🇺🇸	United States of America	Illinois	Chicago	Neutral	Neutral	Twitter		53253	1630	2436	RT @UCBerkeley Update: UC Berkeley police identify potential suspect in Sproul Plaza assault, based on current information available to the department, the suspect is not a student at, or affiliate of, the University. https://t.co/lJbeIHAMyg	Retweet		
1099473929691897856	2019-02-24 00:59:46	http://twitter.com/HarleyLover2017/status/1099473929691897856	b'@ucberkeley nothing like forcing people to do the right thing i guess. maybe it is time @ucberkeley was forced to do the right thing when people are being assaulted on their campus.'	@HarleyLover2017	Harley Lover 2017	United States of America			Negative	Anger	Twitter	M	15285	1599	2550	@UCBerkeley Nothing like forcing people to do the right thing I guess. Maybe it's time @UCBerkeley was forced to do the right thing when people are being assaulted on their campus.	Reply		
1099550209535688705	2019-02-24 06:02:53	http://twitter.com/AmericanKati/status/1099550209535688705	b'@ucberkeley i hope people stop sending their children to your school to get an education. you indoctrinate, not educate. who was the man that sucker punched the kid from turning point?'	@AmericanKati	🌟🌟🌟AmericanMomma	United States of America	California		Negative	Anger	Twitter		13860	5130	5592	@UCBerkeley I hope people stop sending their children to your school to get an education.  You indoctrinate, not educate.  Who was the man that sucker punched the kid from Turning Point?	Reply		
1099561304069718016	2019-02-24 06:46:58	http://twitter.com/Ryskandreward/status/1099561304069718016	b'@ucberkeley you guys hire people that cheer on assaults? yuvi panda has no business teaching students. violence should never be tolerated!'	@Ryskandreward	Ry	United States of America	California	Los Angeles	Negative	Sadness	Twitter		50	11	98	@UCBerkeley You guys hire people that cheer on assaults? Yuvi Panda has no business teaching students. Violence should never be tolerated!	Reply		
1099773808242761729	2019-02-24 20:51:23	http://twitter.com/Susie__AT/status/1099773808242761729	b'@ucberkeley any updates?'	@Susie__AT	Susie AT				Neutral	Anger	Twitter	F	871	25	236	@UCBerkeley Any updates?	Reply		
1099566553568227329	2019-02-24 07:07:49	http://twitter.com/AmandaHirko/status/1099566553568227329	b'rt @ucberkeley three years into soda tax, sugary drink consumption down more than 50% in berkeley  #berkeleyresearch'	@AmandaHirko	Amanda Hirko	United States of America	California	San Diego	Neutral	Neutral	Twitter	F	213	62	110	RT @UCBerkeley Three years into soda tax, sugary drink consumption down more than 50% in Berkeley 📉 #BerkeleyResearch https://t.co/lk9AITpN4q	Retweet		
1099818165943451648	2019-02-24 23:47:39	http://twitter.com/Real_Name_Gone/status/1099818165943451648	b'@ucberkeley now, let us see why you do about this.'	@Real_Name_Gone	James 🇦🇺	Australia			Neutral	Unclassified	Twitter	M	4177	484	396	@UCBerkeley Now, lets see why you do about this. https://t.co/JihYuacfBJ	Reply		
1099707977949421569	2019-02-24 16:29:48	http://twitter.com/mattraymond3/status/1099707977949421569	b'@ucberkeley fire yuvi panda. if a ucb employee cheered the assault of a lgbt activist they would be fired. failure to fire him is the same as supporting his tweet. do the right thing.'	@mattraymond3	matt raymond	United States of America	Missouri		Negative	Disgust	Twitter	M	275	26	68	@UCBerkeley Fire Yuvi Panda. If a UCB employee cheered the assault of a LGBT activist they would be fired. Failure to fire him is the same as supporting his tweet. Do the right thing.	Reply		
1099774903920791552	2019-02-24 20:55:44	http://twitter.com/osandster/status/1099774903920791552	b'@ucberkeley any updates?'	@osandster	OS	United States of America	Texas		Neutral	Anger	Twitter		277	125	184	@UCBerkeley Any updates?	Reply		
