GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1105462974037147649	2019-03-12 13:38:06	http://twitter.com/USCViterbi/status/1105462974037147649	b'rt @usc reduce, reuse and recycle. usc steps up its efforts to meet sustainability goals'	@USCViterbi	USC Viterbi School	United States of America	California	Los Angeles	Neutral	Neutral	Twitter		5319	10599	1300	RT @USC Reduce, reuse and recycle. USC steps up its efforts to meet sustainability goals https://t.co/4kgAwkMiv5 https://t.co/F0sZSMkQz4	Retweet		
1105604233733144577	2019-03-12 22:59:25	http://twitter.com/monaluve/status/1105604233733144577	"b""rt @usc do you make decisions based on logic or emotion? research from @uscdornsife's @damasiousc shows that emotions make the decision, and we use logic to explain the decision."""	@monaluve	monalisa				Neutral	Neutral	Twitter	F	1194	30	106	RT @USC Do you make decisions based on logic or emotion? Research from @USCDornsife's @damasiousc shows that emotions make the decision, and we use logic to explain the decision. https://t.co/RULk7avzVq	Retweet		
1105580481637175296	2019-03-12 21:25:02	http://twitter.com/JasonWalkerTN/status/1105580481637175296	"b'@usc @uscdornsife @damasiousc @usc apparently makes decisions based on which of its prospective student parents had an uncle jessie and are super rich. even the notion that ""usc is a victim"" is complete horse shit. if loughlin\'s kid is allowed back on campus, your university should simply close.'"	@JasonWalkerTN	Jason Walker				Negative	Disgust	Twitter	M	686	295	434	"@USC @USCDornsife @damasiousc @USC apparently makes decisions based on which of its prospective student parents had an Uncle Jessie and are super rich.  Even the notion that ""USC is a victim"" is complete horse shit.  If Loughlin's kid is allowed back on campus, your university should simply close."	Reply		
1105589468466036736	2019-03-12 22:00:44	http://twitter.com/jmkuhn99/status/1105589468466036736	"b""rt @usc do you make decisions based on logic or emotion? research from @uscdornsife's @damasiousc shows that emotions make the decision, and we use logic to explain the decision."""	@jmkuhn99	Jeff Kuhn, MBA	United States of America	California	Los Angeles	Neutral	Neutral	Twitter	M	112899	23947	22834	RT @USC Do you make decisions based on logic or emotion? Research from @USCDornsife's @damasiousc shows that emotions make the decision, and we use logic to explain the decision. https://t.co/RULk7avzVq	Retweet		
1105595552513683456	2019-03-12 22:24:55	http://twitter.com/candyforkeeps/status/1105595552513683456	"b""rt @usc do you make decisions based on logic or emotion? research from @uscdornsife's @damasiousc shows that emotions make the decision, and we use logic to explain the decision."""	@candyforkeeps	Natalie Dunn	United States of America	California	Los Angeles	Neutral	Neutral	Twitter	F	49525	134	401	RT @USC Do you make decisions based on logic or emotion? Research from @USCDornsife's @damasiousc shows that emotions make the decision, and we use logic to explain the decision. https://t.co/RULk7avzVq	Retweet		
1105524817518747649	2019-03-12 17:43:50	http://twitter.com/PsychoCreators/status/1105524817518747649	b'@usc @uscdornsife @damasiousc nice job or recruiting the best students!'	@PsychoCreators	Kari	United States of America	California		Positive	Joy	Twitter	F	862	173	132	@USC @USCDornsife @damasiousc Nice job or recruiting the best students! https://t.co/iIfnQLQ4CU	Reply		
1105613967357939713	2019-03-12 23:38:05	http://twitter.com/MattySandz/status/1105613967357939713	b'@usc @uscdornsife @damasiousc how many scandals do you guys want? seems like you do not have enough.'	@MattySandz	Matt Sanderson	United States of America	Rhode Island	Providence	Negative	Sadness	Twitter	M	10069	670	2612	@USC @USCDornsife @damasiousc How many scandals do you guys want? Seems like you don't have enough.	Reply		
1105516059153522688	2019-03-12 17:09:02	http://twitter.com/RosariaMarin0/status/1105516059153522688	b'@usc @uscdornsife @damasiousc do you make decisions based on how much they pay you? just asking for a friend'	@RosariaMarin0	Rosaria				Neutral	Unclassified	Twitter	F	16204	443	692	@USC @USCDornsife @damasiousc Do you make decisions based on how much they pay you? Just asking for a friend	Reply		
1105511901516054528	2019-03-12 16:52:31	http://twitter.com/amnesia_m1/status/1105511901516054528	"b""rt @usc do you make decisions based on logic or emotion? research from @uscdornsife's @damasiousc shows that emotions make the decision, and we use logic to explain the decision."""	@amnesia_m1	Marilu Esteban				Neutral	Neutral	Twitter		1605	46	190	RT @USC Do you make decisions based on logic or emotion? Research from @USCDornsife's @damasiousc shows that emotions make the decision, and we use logic to explain the decision. https://t.co/RULk7avzVq	Retweet		
1105519146786205696	2019-03-12 17:21:18	http://twitter.com/alramirezUSA/status/1105519146786205696	"b""rt @usc do you make decisions based on logic or emotion? research from @uscdornsife's @damasiousc shows that emotions make the decision, and we use logic to explain the decision."""	@alramirezUSA	Al Ramirez	United States of America	California	Los Angeles	Neutral	Neutral	Twitter	M	104780	146777	23501	RT @USC Do you make decisions based on logic or emotion? Research from @USCDornsife's @damasiousc shows that emotions make the decision, and we use logic to explain the decision. https://t.co/RULk7avzVq	Retweet		
