GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1104056807973183488	2019-03-08 16:30:30	http://twitter.com/UTAustin2019/status/1104056807973183488	b'rt @utaustin seniors: leave your legacy on the forty acres by contributing to the 2019 senior class gift  make a gift at    gifts of $20.19 or more receive a graduation pin  the presidents office will match up to $50,000 @utaustin2019 #ut19'	@UTAustin2019	Texas '19	United States of America	Texas	Austin	Neutral	Joy	Twitter		1600	1785	231	"RT @UTAustin Seniors: leave your legacy on the Forty Acres by contributing to the 2019 Senior Class Gift

🤘 Make a gift at https://t.co/ruCyqHJNgl 
🤘 Gifts of $20.19 or more receive a graduation pin 
🤘 The President’s Office will match up to $50,000

@UTAustin2019 #UT19 https://t.co/gFjACmZMHu"	Retweet		
1103841383956336641	2019-03-08 02:14:28	http://twitter.com/biogirl09/status/1103841383956336641	b'rt @utaustin each year, the presidents associates teaching excellence awards recognize great teaching of undergraduates in the core curriculum. see why @liberalartsut professor daina berry is one of texas best:'	@biogirl09	Mallory Tompsett	United States of America	Texas	San Antonio	Positive	Neutral	Twitter	F	117498	1314	3931	RT @UTAustin Each year, the President’s Associates Teaching Excellence Awards recognize great teaching of undergraduates in the core curriculum. See why @LiberalArtsUT professor Daina Berry is one of Texas’ best: https://t.co/wEhm2h0vib https://t.co/dsgOzM3G1s	Retweet		
1104164333234388992	2019-03-08 23:37:46	http://twitter.com/JWilllard/status/1104164333234388992	b'rt @utaustin these shirts are  looking forward to seeing all the #sxsw2019 volunteers representing  #utatsxsw'	@JWilllard	Joanna Willlard				Neutral	Joy	Twitter	F	391	5	39	RT @UTAustin These shirts are 🔥 Looking forward to seeing all the #SXSW2019 volunteers representing 🤘 #UTatSXSW https://t.co/i7tDC5WV7B	Retweet		
1104110838179352576	2019-03-08 20:05:11	http://twitter.com/UTFacilities/status/1104110838179352576	b'rt @utaustin these shirts are  looking forward to seeing all the #sxsw2019 volunteers representing  #utatsxsw'	@UTFacilities	UT Austin Facilities	United States of America	Texas	Austin	Neutral	Joy	Twitter	M	1769	224	73	RT @UTAustin These shirts are 🔥 Looking forward to seeing all the #SXSW2019 volunteers representing 🤘 #UTatSXSW https://t.co/i7tDC5WV7B	Retweet		
1104084654091579392	2019-03-08 18:21:09	http://twitter.com/chrisgb00/status/1104084654091579392	b'rt @utaustin these shirts are  looking forward to seeing all the #sxsw2019 volunteers representing  #utatsxsw'	@chrisgb00	Chris Bennett	Germany			Neutral	Joy	Twitter	M	599771	7265	5133	RT @UTAustin These shirts are 🔥 Looking forward to seeing all the #SXSW2019 volunteers representing 🤘 #UTatSXSW https://t.co/i7tDC5WV7B	Retweet		
1103814960642174983	2019-03-08 00:29:29	http://twitter.com/UTexJim/status/1103814960642174983	b'rt @utaustin how longhorns are tackling maternal mortality in texas:   via @thealcalde, @texasexes'	@UTexJim	JimCook™🤘	United States of America	Texas	Austin	Neutral	Neutral	Twitter		141104	761	106	RT @UTAustin How Longhorns are tackling maternal mortality in Texas: https://t.co/RpUx4zeIoz via @TheAlcalde, @TexasExes https://t.co/O9XbgiZgCZ	Retweet		
1103864497440120833	2019-03-08 03:46:19	http://twitter.com/kimdf89/status/1103864497440120833	b'rt @utaustin each spring, @sxsw brings thinkers and doers from around the world to austin. explore our #sxsw sessions and learn why we say, what starts here changes the world'	@kimdf89	Kim Fulton	United States of America	Texas		Neutral	Joy	Twitter	F	18436	2539	4986	RT @UTAustin Each spring, @SXSW brings thinkers and doers from around the world to Austin. Explore our #SXSW sessions and learn why we say, “What starts here changes the world” https://t.co/l03lnrNFNa https://t.co/b7bRH8vA02	Retweet		
1104128994780332033	2019-03-08 21:17:20	http://twitter.com/ReviewPush/status/1104128994780332033	b'rt @utaustin these shirts are  looking forward to seeing all the #sxsw2019 volunteers representing  #utatsxsw'	@ReviewPush	ReviewPush	United States of America	Texas	Austin	Neutral	Joy	Twitter		1633	768	1983	RT @UTAustin These shirts are 🔥 Looking forward to seeing all the #SXSW2019 volunteers representing 🤘 #UTatSXSW https://t.co/i7tDC5WV7B	Retweet		
1104089432817389570	2019-03-08 18:40:08	http://twitter.com/TxSwaff/status/1104089432817389570	b'rt @utaustin these shirts are  looking forward to seeing all the #sxsw2019 volunteers representing  #utatsxsw'	@TxSwaff	Thomas Swafford	United States of America	Texas	Austin	Neutral	Joy	Twitter	M	3764	298	394	RT @UTAustin These shirts are 🔥 Looking forward to seeing all the #SXSW2019 volunteers representing 🤘 #UTatSXSW https://t.co/i7tDC5WV7B	Retweet		
1104107840279642112	2019-03-08 19:53:17	http://twitter.com/utexascoe/status/1104107840279642112	b'rt @utaustin everything we teach should be meaningful to students. see what else @utexascoe professor james patton says about the art of teaching:'	@utexascoe	College of Education	United States of America	Texas	Austin	Neutral	Joy	Twitter		12789	10614	559	"RT @UTAustin “Everything we teach should be meaningful to students.” 

See what else @utexascoe professor James Patton says about the art of teaching: https://t.co/wEhm2h0vib https://t.co/pVznxoQjpH"	Retweet		
