GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1111373859985346560	2019-03-28 21:05:51	http://twitter.com/home_made_man/status/1111373859985346560	"b""rt @home_made_man #hmbradio #tampabay #podcast this week: #operationvarsityblues is not the real story, college itself is a scam & science says you are not a grown up until you are in your 30's. tune in:   brought to you by: @nttfitness @truvysalonspa #tampa #orlando #stpete"""	@home_made_man	Will Kuncz	Russia	Northwestern	St. Petersburg	Negative	Neutral	Twitter	M	36776	916	213	RT @home_made_man #HMBradio #TampaBay #Podcast this week: #OperationVarsityBlues isn't the real story, College itself is a scam & science says you're not a grown up until you're in your 30's. Tune in: https://t.co/zmntAC12If Brought to you by: @nttfitness @truvysalonspa #tampa #orlando #stpete	Retweet		
1111407037420703745	2019-03-28 23:17:41	http://twitter.com/SHSCounsDept/status/1111407037420703745	b'rt @scholarships360 need to earn #money for #college the old fashioned way? apply for all the #scholarships you even minimally qualify for! #collegeadmissionsscandal #operationvarsityblues check out   and get started!'	@SHSCounsDept	Counseling@SocorroHS_SHS				Neutral	Neutral	Twitter		3876	479	244	RT @scholarships360 Need to earn #money for #college the old fashioned way? Apply for all the #scholarships you even minimally qualify for! #collegeadmissionsscandal #operationvarsityblues 💰Check out https://t.co/JtbQcJtGGp  and get started! https://t.co/9VEZ8TB5c1	Retweet		
1111065761282433025	2019-03-28 00:41:34	http://twitter.com/orcish_dreams/status/1111065761282433025	b'rt @tonyakappes11 hot new #amazon release! how does the act scandal have to do with #maewest ? a camper & criminals cozy mystery canyons, caravans, & cadavers book 6 #cozymystery  buy or read for free with #kindleunlimited   #operationvarsityblues'	@orcish_dreams	Bradley Simpson	United States of America	Michigan		Neutral	Neutral	Twitter	M	60707	3218	3227	RT @tonyakappes11 Hot New #Amazon Release! How does the ACT scandal have to do with #maewest ? A CAMPER & CRIMINALS COZY MYSTERY Canyons, Caravans, & Cadavers Book 6 #cozymystery 🚙🚙🚙🚙🚙🚙🚙🚙🚙🚙🚙 BUY OR READ FOR FREE WITH #KindleUnlimited  https://t.co/ELvaWK6Dxe   #OperationVarsityBlues https://t.co/Xab7wMIHie	Retweet		
1111297690313412610	2019-03-28 16:03:10	http://twitter.com/newsbell/status/1111297690313412610	"b""breaking/live: .@fox61news' @mattcarontv is live at federal court in boston where former @yale soccer coach rudolph meredith of madison is expected to enter a guilty plea in connection with the college admission scandal called #operationvarsityblues"""	@newsbell	newsbell	United States of America	Connecticut		Neutral	Neutral	Twitter		40678	3186	514	BREAKING/LIVE: .@FOX61News' @MattCaronTV is LIVE at federal court in Boston where former @Yale soccer coach Rudolph Meredith of Madison is expected to enter a guilty plea in connection with the college admission scandal called #operationvarsityblues https://t.co/BJt1VKjaKG	Tweet		
1111158296419790848	2019-03-28 06:49:16	http://twitter.com/DisneyDream717/status/1111158296419790848	b'rt @tonyakappes11 hot new #amazon release! how does the act scandal have to do with #maewest ? a camper & criminals cozy mystery canyons, caravans, & cadavers book 6 #cozymystery  buy or read for free with #kindleunlimited   #operationvarsityblues'	@DisneyDream717	Disney Dream	United States of America	California		Neutral	Neutral	Twitter		171042	17185	8889	RT @tonyakappes11 Hot New #Amazon Release! How does the ACT scandal have to do with #maewest ? A CAMPER & CRIMINALS COZY MYSTERY Canyons, Caravans, & Cadavers Book 6 #cozymystery 🚙🚙🚙🚙🚙🚙🚙🚙🚙🚙🚙 BUY OR READ FOR FREE WITH #KindleUnlimited  https://t.co/ELvaWK6Dxe   #OperationVarsityBlues https://t.co/Xab7wMIHie	Retweet		
1111388561721315329	2019-03-28 22:04:16	http://twitter.com/athletics_pchs/status/1111388561721315329	b'rt @scholarships360 need to earn #money for #college the old fashioned way? apply for all the #scholarships you even minimally qualify for! #collegeadmissionsscandal #operationvarsityblues check out   and get started!'	@athletics_pchs	PCHS Athletics	United States of America	Florida	Tampa	Neutral	Neutral	Twitter		4582	493	197	RT @scholarships360 Need to earn #money for #college the old fashioned way? Apply for all the #scholarships you even minimally qualify for! #collegeadmissionsscandal #operationvarsityblues 💰Check out https://t.co/JtbQcJtGGp  and get started! https://t.co/9VEZ8TB5c1	Retweet		
1111379526842355715	2019-03-28 21:28:22	http://twitter.com/amycheapho/status/1111379526842355715	b'@bkerb953 did any of them give money to #operationvarsityblues'	@amycheapho	Amy Cheapho	United States of America	California	Los Angeles	Neutral	Unclassified	Twitter	F	17734	12057	768	@bkerb953 did any of them give money to #operationvarsityblues  https://t.co/sSIM1Cwung	Reply		
1111089755423309825	2019-03-28 02:16:55	http://twitter.com/rd2135/status/1111089755423309825	b'rt @tony_jack had the opportunity to speak with @aartipole and @cbcnews about #operationvarsityblues and #theprivilegedpoor @harvard_press @hgse @amherstcollege @asanews @aera_edresearch #highereducation #scandal @harvardgsas @natlheadstart'	@rd2135	Richard De La Garza	United States of America	California	San Francisco	Neutral	Joy	Twitter	M	35396	433	5001	RT @tony_jack Had the opportunity to speak with @aartipole and @CBCNews about #operationvarsityblues and #ThePrivilegedPoor @Harvard_Press @hgse @AmherstCollege @ASAnews @AERA_EdResearch #HigherEducation #SCANDAL @HarvardGSAS @NatlHeadStart https://t.co/zjs7F6pRuJ	Retweet		
1111298892006477824	2019-03-28 16:07:57	http://twitter.com/VokalNow/status/1111298892006477824	b'rt @noahcoslov in the wake of the college admissions scandal, #operationvarsityblues, the follow up podcast (10 min.) today is with my friend casey, an sat proctor who often deals with students who need extra time. @vokalnow:   @applepodcasts:'	@VokalNow	VOKAL	United States of America	Texas	Dallas	Neutral	Joy	Twitter		727	412	1908	RT @NoahCoslov In the wake of the college admissions scandal, #OperationVarsityBlues, THE FOLLOW UP podcast (10 min.) today is with my friend Casey, an SAT proctor who often deals with students who need extra time. @VokalNow: https://t.co/Tqe6cUrQ4W @ApplePodcasts: https://t.co/tl3QOVqArq	Retweet		
1111296672150122496	2019-03-28 15:59:08	http://twitter.com/rekev/status/1111296672150122496	b'rt @billmaher on this college admissions scandal, everyone is talking about. i have shocking news for everyone: rich people cheat, and their kids are fucking stupid. #operationvarsityblues'	@rekev	Becca Pickens				Negative	Disgust	Twitter	F	78	5	37	RT @billmaher On this college admissions scandal, everyone is talking about. I have shocking news for everyone: rich people cheat, and their kids are fucking stupid. #OperationVarsityBlues https://t.co/nbVjRYhM3x	Retweet		
1111404705165434880	2019-03-28 23:08:25	http://twitter.com/KathyCarter6/status/1111404705165434880	b'rt @scholarships360 need to earn #money for #college the old fashioned way? apply for all the #scholarships you even minimally qualify for! #collegeadmissionsscandal #operationvarsityblues check out   and get started!'	@KathyCarter6	Kathy Carter				Neutral	Neutral	Twitter	F	137	11	65	RT @scholarships360 Need to earn #money for #college the old fashioned way? Apply for all the #scholarships you even minimally qualify for! #collegeadmissionsscandal #operationvarsityblues 💰Check out https://t.co/JtbQcJtGGp  and get started! https://t.co/9VEZ8TB5c1	Retweet		
1111055969079963654	2019-03-28 00:02:40	http://twitter.com/EWGENG/status/1111055969079963654	b'@ewgeng @lindsbell17 wait a minute. did your parents pay $$$$$$ to get you into byu? #operationvarsityblues'	@EWGENG	Erick Griffiths	United States of America			Neutral	Unclassified	Twitter	M	508	26	456	@EWGENG @lindsbell17 Wait a minute. Did your parents pay $$$$$$ to get you into BYU? #operationvarsityblues	Reply		
1111282130338885632	2019-03-28 15:01:21	http://twitter.com/lauraalbertphd/status/1111282130338885632	"b'""there are many things that make me proud to be at @uwmadison. one of them is our long tradition of open doors to all students in the state."" - @beckyblank on @uwmadison\'s admissions process & #operationvarsityblues'"	@lauraalbertphd	Laura ⚙️ Albert ✨	United States of America	Wisconsin	Madison	Neutral	Joy	Twitter	F	14460	4559	1308	"""There are many things that make me proud to be at @UWMadison. One of them is our long tradition of open doors to all students in the state.""  - @BeckyBlank on @UWMadison's admissions process & #OperationVarsityBlues https://t.co/HNasRwfqYs"	Tweet		
1111262715211907073	2019-03-28 13:44:12	http://twitter.com/tedprice/status/1111262715211907073	b'rt @noahcoslov in the wake of the college admissions scandal, #operationvarsityblues, the follow up podcast (10 min.) today is with my friend casey, an sat proctor who often deals with students who need extra time. @vokalnow:   @applepodcasts:'	@tedprice	Ted Price	United States of America	Texas	Dallas	Neutral	Joy	Twitter	M	21289	1718	411	RT @NoahCoslov In the wake of the college admissions scandal, #OperationVarsityBlues, THE FOLLOW UP podcast (10 min.) today is with my friend Casey, an SAT proctor who often deals with students who need extra time. @VokalNow: https://t.co/Tqe6cUrQ4W @ApplePodcasts: https://t.co/tl3QOVqArq	Retweet		
1111379742484127747	2019-03-28 21:29:13	http://twitter.com/bkerb953/status/1111379742484127747	b'rt @amycheapho @bkerb953 did any of them give money to #operationvarsityblues'	@bkerb953	Bkerb953	United States of America	Missouri	Jefferson City	Neutral	Neutral	Twitter		9806	3811	2063	RT @amycheapho @bkerb953 did any of them give money to #operationvarsityblues  https://t.co/sSIM1Cwung	Retweet		
1111279777728495616	2019-03-28 14:52:00	http://twitter.com/Alphipps64/status/1111279777728495616	b'ok @xfinity @comcast @hallmarkchannel #hearties ever since the #operationvarsityblues season 6 vanished from #ondemand/ did #loriloughlin own rights to replay or something? this is ridiculous. her crime has screwed up my ability to watch this show. #nocatchup #whatshappening'	@Alphipps64	Disney Evil Stepmom in Training	United States of America			Negative	Anger	Twitter		9067	227	176	OK @Xfinity @Comcast @hallmarkchannel #Hearties ever since the #OperationVarsityBlues Season 6 vanished from #OnDemand/ Did #LoriLoughlin own Rights to Replay or something? This is ridiculous. Her crime has screwed up MY ability to watch this show. #NoCatchUp #WhatsHappening	Tweet		
1111277458593067009	2019-03-28 14:42:47	http://twitter.com/ARodEsq11/status/1111277458593067009	b'trademark rejection (because of bad punctuation) for a persons application who allegedly had to be bribed into a college scholarship. of course the article blames the attorney. lol. i object. #trademarks #karma #operationvarsityblues #smallbusiness'	@ARodEsq11	Adam Rodriguez				Neutral	Unclassified	Twitter	M	136	41	144	Trademark rejection (because of bad punctuation) for a person’s application who allegedly had to be bribed into a college scholarship. Of course the article blames the attorney. Lol. I object.  #trademarks #karma #operationvarsityblues #SmallBusiness  https://t.co/LywZy9qL4R https://t.co/i21pbywsMx	Tweet		
1111386407510007814	2019-03-28 21:55:42	http://twitter.com/mskristinawong/status/1111386407510007814	b'this feels like a proper time to shame someone who cannot use a semicolon. #oliviajade #operationvarsityblues #loriloughlin #auntbecky'	@mskristinawong	Kristina Womp-Wong ❄️	United States of America			Neutral	Sadness	Twitter	F	28035	30732	1068	This feels like a proper time to shame someone who can’t use a semicolon. #oliviajade #operationvarsityblues #LoriLoughlin #AuntBecky https://t.co/ahOWyuu7DJ	Tweet		
1111236598979538944	2019-03-28 12:00:25	http://twitter.com/Real_RobRossi/status/1111236598979538944	b'rt @noahcoslov in the wake of the college admissions scandal, #operationvarsityblues, the follow up podcast (10 min.) today is with my friend casey, an sat proctor who often deals with students who need extra time. @vokalnow:   @applepodcasts:'	@Real_RobRossi	Rob Rossi	United States of America			Neutral	Joy	Twitter	M	45385	55609	3168	RT @NoahCoslov In the wake of the college admissions scandal, #OperationVarsityBlues, THE FOLLOW UP podcast (10 min.) today is with my friend Casey, an SAT proctor who often deals with students who need extra time. @VokalNow: https://t.co/Tqe6cUrQ4W @ApplePodcasts: https://t.co/tl3QOVqArq	Retweet		
1111338205066870784	2019-03-28 18:44:10	http://twitter.com/jonwhite86/status/1111338205066870784	b'rt @98pxyrochester if only she took a class in college on how to properly submit a trademark    @oliviajadee #operationvarsityblues #collegeadmissionsscam #collegeadmissionsscandal #loriloughlin'	@jonwhite86	Jonathan White				Neutral	Unclassified	Twitter	M	47083	1717	5001	RT @98PXYRochester If only she took a class in college on how to properly submit a trademark 😬 https://t.co/B9BzHikEhV @oliviajadee #OperationVarsityBlues #CollegeAdmissionsScam #CollegeAdmissionsScandal #LoriLoughlin	Retweet		
1111393098922373120	2019-03-28 22:22:18	http://twitter.com/soniaperez128/status/1111393098922373120	b'rt @scholarships360 need to earn #money for #college the old fashioned way? apply for all the #scholarships you even minimally qualify for! #collegeadmissionsscandal #operationvarsityblues check out   and get started!'	@soniaperez128	Sonia Jean Perez	United States of America	Texas	Austin	Neutral	Neutral	Twitter	F	537	77	602	RT @scholarships360 Need to earn #money for #college the old fashioned way? Apply for all the #scholarships you even minimally qualify for! #collegeadmissionsscandal #operationvarsityblues 💰Check out https://t.co/JtbQcJtGGp  and get started! https://t.co/9VEZ8TB5c1	Retweet		
1111383616674643969	2019-03-28 21:44:37	http://twitter.com/MrsB_Chem/status/1111383616674643969	b'rt @scholarships360 need to earn #money for #college the old fashioned way? apply for all the #scholarships you even minimally qualify for! #collegeadmissionsscandal #operationvarsityblues check out   and get started!'	@MrsB_Chem	Mrs Boulanger	United States of America	Michigan	Lansing	Neutral	Neutral	Twitter	F	3353	149	205	RT @scholarships360 Need to earn #money for #college the old fashioned way? Apply for all the #scholarships you even minimally qualify for! #collegeadmissionsscandal #operationvarsityblues 💰Check out https://t.co/JtbQcJtGGp  and get started! https://t.co/9VEZ8TB5c1	Retweet		
1111367386651856897	2019-03-28 20:40:07	http://twitter.com/TheBertShow/status/1111367386651856897	b'ironically, #oliviajade, who is at the center of the #operationvarsityblues college admissions scandal, may lose a trademark application...due to poor punctuation.'	@TheBertShow	The Bert Show				Neutral	Sadness	Twitter		63133	76054	12071	Ironically, #OliviaJade, who is at the center of the #OperationVarsityBlues college admissions scandal, may lose a trademark application...due to poor punctuation. https://t.co/ORxGB7yMVB	Tweet		
1111285109712392192	2019-03-28 15:13:11	http://twitter.com/_sidmehta/status/1111285109712392192	b'@senwhitehouse thank you for exposing the corrosive & poisonous non-profits the #federalistsociety & its associates. there is a nexus between this organized syndicate & the #plutocracy @anandwrites exposes in @winnerstakeall. @fedsoc is more harmful than #operationvarsityblues.'	@_sidmehta	Sid Mehta	United States of America	New York	New York	Negative	Joy	Twitter	M	18868	489	1932	@SenWhitehouse Thank you for exposing the corrosive & poisonous non-profits the #FederalistSociety & its associates. There's a nexus between this organized syndicate & the #Plutocracy @AnandWrites exposes in @winnerstakeall. @FedSoc is more harmful than #OperationVarsityBlues.	Tweet		
