GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1096140896838537218	2019-02-14 20:15:29	http://twitter.com/GeorgetownLatAm/status/1096140896838537218	"b'rt @georgetown president @ivanduque of @infopresidencia to speak at georgetown today as part of @georgetownlatam & @georgetownclas\'s event ""the policy agenda for latin america"":'"	@GeorgetownLatAm	Georgetown LatAm	United States of America	District of Columbia	Washington, D.C.	Neutral	Neutral	Twitter		1658	2170	399	"RT @Georgetown President @IvanDuque of @infopresidencia to speak at Georgetown today as part of @GeorgetownLatAm & @GeorgetownCLAS's  event ""The Policy Agenda for Latin America"": https://t.co/RB36NgH2nl"	Retweet		
1096184261361745920	2019-02-14 23:07:48	http://twitter.com/LafeMartinson/status/1096184261361745920	b'rt @georgetown what rocks? you. you rock. hoya saxa and happy #valentines, hoyas.'	@LafeMartinson	Lafe Martinson	United States of America	District of Columbia	Washington, D.C.	Neutral	Joy	Twitter		1322	276	359	RT @Georgetown What rocks? You. You rock. Hoya Saxa and happy #Valentines, Hoyas. https://t.co/4ZpyREakOk	Retweet		
1096092181117444097	2019-02-14 17:01:55	http://twitter.com/MCarnesSJ/status/1096092181117444097	"b'rt @georgetown president @ivanduque of @infopresidencia to speak at georgetown today as part of @georgetownlatam & @georgetownclas\'s event ""the policy agenda for latin america"":'"	@MCarnesSJ	Matthew Carnes, SJ				Neutral	Neutral	Twitter	M	748	1475	130	"RT @Georgetown President @IvanDuque of @infopresidencia to speak at Georgetown today as part of @GeorgetownLatAm & @GeorgetownCLAS's  event ""The Policy Agenda for Latin America"": https://t.co/RB36NgH2nl"	Retweet		
1096175410935750659	2019-02-14 22:32:38	http://twitter.com/OFHoya/status/1096175410935750659	b'rt @georgetown what rocks? you. you rock. hoya saxa and happy #valentines, hoyas.'	@OFHoya	Old Fashioned Hoya	United States of America	District of Columbia	Washington, D.C.	Neutral	Joy	Twitter		7592	368	227	RT @Georgetown What rocks? You. You rock. Hoya Saxa and happy #Valentines, Hoyas. https://t.co/4ZpyREakOk	Retweet		
1096177491016863745	2019-02-14 22:40:54	http://twitter.com/kmulls17/status/1096177491016863745	b'rt @georgetown what rocks? you. you rock. hoya saxa and happy #valentines, hoyas.'	@kmulls17	Kristin Muller				Neutral	Joy	Twitter	F	176	35	103	RT @Georgetown What rocks? You. You rock. Hoya Saxa and happy #Valentines, Hoyas. https://t.co/4ZpyREakOk	Retweet		
1096161891129413632	2019-02-14 21:38:55	http://twitter.com/GabyGaona/status/1096161891129413632	"b'rt @georgetown president @ivanduque of @infopresidencia to speak at georgetown today as part of @georgetownlatam & @georgetownclas\'s event ""the policy agenda for latin america"":'"	@GabyGaona	Gaby Gaona	Paraguay	Asunción	Asuncion	Neutral	Neutral	Twitter	F	6717	847	721	"RT @Georgetown President @IvanDuque of @infopresidencia to speak at Georgetown today as part of @GeorgetownLatAm & @GeorgetownCLAS's  event ""The Policy Agenda for Latin America"": https://t.co/RB36NgH2nl"	Retweet		
1096112238539259909	2019-02-14 18:21:37	http://twitter.com/FPamplonab/status/1096112238539259909	"b'rt @georgetown president @ivanduque of @infopresidencia to speak at georgetown today as part of @georgetownlatam & @georgetownclas\'s event ""the policy agenda for latin america"":'"	@FPamplonab	Francisco Pamplona				Neutral	Neutral	Twitter	M	3500	199	486	"RT @Georgetown President @IvanDuque of @infopresidencia to speak at Georgetown today as part of @GeorgetownLatAm & @GeorgetownCLAS's  event ""The Policy Agenda for Latin America"": https://t.co/RB36NgH2nl"	Retweet		
1096168924410974213	2019-02-14 22:06:52	http://twitter.com/GUWSA/status/1096168924410974213	b'rt @georgetown what rocks? you. you rock. hoya saxa and happy #valentines, hoyas.'	@GUWSA	Georgetown Alliances				Neutral	Joy	Twitter		1552	569	215	RT @Georgetown What rocks? You. You rock. Hoya Saxa and happy #Valentines, Hoyas. https://t.co/4ZpyREakOk	Retweet		
1096160821065994241	2019-02-14 21:34:40	http://twitter.com/cutter_xiv/status/1096160821065994241	b'rt @georgetown what rocks? you. you rock. hoya saxa and happy #valentines, hoyas.'	@cutter_xiv	emme🍊				Neutral	Joy	Twitter		929	1417	1405	RT @Georgetown What rocks? You. You rock. Hoya Saxa and happy #Valentines, Hoyas. https://t.co/4ZpyREakOk	Retweet		
1096160952288980992	2019-02-14 21:35:11	http://twitter.com/anupamtree/status/1096160952288980992	b'rt @georgetown what rocks? you. you rock. hoya saxa and happy #valentines, hoyas.'	@anupamtree	Anupam Chakravarty	United States of America	District of Columbia	Washington, D.C.	Neutral	Joy	Twitter	M	9405	1057	1307	RT @Georgetown What rocks? You. You rock. Hoya Saxa and happy #Valentines, Hoyas. https://t.co/4ZpyREakOk	Retweet		
