GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1097580147652345864	2019-02-18 19:34:33	http://twitter.com/GUAlumni/status/1097580147652345864	"b""rt @georgetown to learn more about the presidential visits at georgetown, read @gtownlibrary's latest feature:   #presidentsday"""	@GUAlumni	Georgetown Alumni	United States of America	District of Columbia	Washington, D.C.	Neutral	Neutral	Twitter		14323	12445	537	RT @Georgetown To learn more about the presidential visits at Georgetown, read @Gtownlibrary's latest feature: https://t.co/RicmddTshD #PresidentsDay	Retweet		
1097621376314368002	2019-02-18 22:18:23	http://twitter.com/HemalKVaidya/status/1097621376314368002	"b""rt @georgetown president bill clinton (f'68) returned to his alma mater to speak from the steps of old north during pre-inauguration activities in the district. #presidentsday"""	@HemalKVaidya	Hemal K Vaidya				Neutral	Neutral	Twitter		216	25	207	RT @Georgetown President Bill Clinton (F'68) returned to his alma mater to speak from the steps of Old North during pre-inauguration activities in the District. #PresidentsDay https://t.co/BuJhebnXFQ	Retweet		
1097580040781484033	2019-02-18 19:34:08	http://twitter.com/GUAlumni/status/1097580040781484033	b'rt @georgetown in 1918, then senator warren g. harding visited campus to inspect the georgetowns students army training corps (s.a.t.c.) during world war i. here he is pictured standing with georgetown university president alphonsus j. donlon, s.j., on the steps of healy hall. #presidentsday'	@GUAlumni	Georgetown Alumni	United States of America	District of Columbia	Washington, D.C.	Neutral	Neutral	Twitter		14318	12445	537	RT @Georgetown In 1918, then Senator Warren G. Harding visited campus to inspect the Georgetown’s Students’ Army Training Corps (S.A.T.C.) during World War I. Here he is pictured standing with Georgetown University President Alphonsus J. Donlon, S.J., on the steps of Healy Hall. #PresidentsDay https://t.co/CDMmaFd9Tf	Retweet		
1097569555440959488	2019-02-18 18:52:28	http://twitter.com/GKZorbas_PhD/status/1097569555440959488	b'rt @georgetown being located in washington, d.c., georgetown has often had the honor of hosting a variety of presidents on campus. for #presidentsday, we are digging into our archives to take a look back at those who have visited the hilltop.'	@GKZorbas_PhD	GKostrzewa-ZorbasPhD	Poland	Masovian	Warsaw	Neutral	Joy	Twitter		40100	11305	391	RT @Georgetown Being located in Washington, D.C., Georgetown has often had the honor of hosting a variety of presidents on campus. For #PresidentsDay, we're digging into our archives to take a look back at those who have visited the Hilltop. https://t.co/MXLzJsiwfm	Retweet		
1097565167599185920	2019-02-18 18:35:02	http://twitter.com/Georgetown/status/1097565167599185920	b'in 1924, president calvin coolidge presented an honorary degree to governor william s. flynn of rhode island at the georgetown university commencement ceremony. to the left of president coolidge stands pierce butler, associate justice of the supreme court. #presidentsday'	@Georgetown	Georgetown Univ.	United States of America	District of Columbia	Washington, D.C.	Neutral	Neutral	Twitter		8115	61477	2428	In 1924, President Calvin Coolidge presented an honorary degree to Governor William S. Flynn of Rhode Island at the Georgetown University commencement ceremony. To the left of President Coolidge stands Pierce Butler, Associate Justice of the Supreme Court. #PresidentsDay https://t.co/IppFoZB6mo	Reply		
1097565970346979328	2019-02-18 18:38:13	http://twitter.com/Georgetown/status/1097565970346979328	"b""beginning with george washington, many you.s. presidents have been received at old north and that tradition continued when former president gerald ford participated in the building's rededication ceremony in 1983. #presidentsday"""	@Georgetown	Georgetown Univ.	United States of America	District of Columbia	Washington, D.C.	Neutral	Neutral	Twitter		8118	61477	2428	Beginning with George Washington, many U.S. presidents have been received at Old North and that tradition continued when former President Gerald Ford participated in the building's rededication ceremony in 1983. #PresidentsDay https://t.co/5VvqBX6NPz	Reply		
1097572966068617216	2019-02-18 19:06:01	http://twitter.com/jessgawrych/status/1097572966068617216	b'rt @georgetown being located in washington, d.c., georgetown has often had the honor of hosting a variety of presidents on campus. for #presidentsday, we are digging into our archives to take a look back at those who have visited the hilltop.'	@jessgawrych	Jess Gawrych	United States of America	District of Columbia	Washington, D.C.	Neutral	Joy	Twitter		10187	837	2690	RT @Georgetown Being located in Washington, D.C., Georgetown has often had the honor of hosting a variety of presidents on campus. For #PresidentsDay, we're digging into our archives to take a look back at those who have visited the Hilltop. https://t.co/MXLzJsiwfm	Retweet		
1097583924618936320	2019-02-18 19:49:34	http://twitter.com/GKZorbas_PhD/status/1097583924618936320	b'rt @georgetown in 1958, president eisenhower received an honorary degree and spoke at the dedication ceremonies of the edmund a. walsh memorial building. he and edmund a. walsh, s.j., for whom the building and @georgetownsfs are named, were friends. #presidentsday'	@GKZorbas_PhD	GKostrzewa-ZorbasPhD	Poland	Masovian	Warsaw	Neutral	Joy	Twitter		40102	11305	391	RT @Georgetown In 1958, President Eisenhower received an honorary degree and spoke at the dedication ceremonies of the Edmund A. Walsh Memorial Building. He and Edmund A. Walsh, S.J., for whom the building and @georgetownsfs are named, were friends. #PresidentsDay https://t.co/GB9a8aIzpq	Retweet		
1097593091287142401	2019-02-18 20:25:59	http://twitter.com/GeorgetownPRCC/status/1097593091287142401	b'rt @georgetown being located in washington, d.c., georgetown has often had the honor of hosting a variety of presidents on campus. for #presidentsday, we are digging into our archives to take a look back at those who have visited the hilltop.'	@GeorgetownPRCC	GeorgetownPRCC	United States of America	District of Columbia	Washington, D.C.	Neutral	Joy	Twitter		7577	2809	1337	RT @Georgetown Being located in Washington, D.C., Georgetown has often had the honor of hosting a variety of presidents on campus. For #PresidentsDay, we're digging into our archives to take a look back at those who have visited the Hilltop. https://t.co/MXLzJsiwfm	Retweet		
1097580066572328962	2019-02-18 19:34:14	http://twitter.com/GUAlumni/status/1097580066572328962	b'rt @georgetown in 1958, president eisenhower received an honorary degree and spoke at the dedication ceremonies of the edmund a. walsh memorial building. he and edmund a. walsh, s.j., for whom the building and @georgetownsfs are named, were friends. #presidentsday'	@GUAlumni	Georgetown Alumni	United States of America	District of Columbia	Washington, D.C.	Neutral	Joy	Twitter		14320	12445	537	RT @Georgetown In 1958, President Eisenhower received an honorary degree and spoke at the dedication ceremonies of the Edmund A. Walsh Memorial Building. He and Edmund A. Walsh, S.J., for whom the building and @georgetownsfs are named, were friends. #PresidentsDay https://t.co/GB9a8aIzpq	Retweet		
