GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1110919107086413825	2019-03-27 14:58:49	http://twitter.com/Papaya_possibly/status/1110919107086413825	b'rt @harvard the newest restaurant on campus is the heights, located on the top floor of the recently renovated smith campus center'	@Papaya_possibly	Tata Nana				Neutral	Neutral	Twitter		7572	67	88	RT @Harvard The newest restaurant on campus is The Heights, located on the top floor of the recently renovated Smith Campus Center https://t.co/2ejGNSSVH8 https://t.co/NOBK9AwXCH	Retweet		
1110864679801372673	2019-03-27 11:22:33	http://twitter.com/HarvardUPLondon/status/1110864679801372673	"b'rt @harvard professor @tony_jack talks about his new book, ""the privileged poor,"" which addresses the struggles of disadvantaged students at elite schools'"	@HarvardUPLondon	Harvard University Press International	United Kingdom	Greater London	London	Negative	Neutral	Twitter		902	1530	1599	"RT @Harvard Professor @tony_jack talks about his new book, ""The Privileged Poor,"" which addresses the struggles of disadvantaged students at elite schools https://t.co/iwhmZKUmg6"	Retweet		
1110728582769360897	2019-03-27 02:21:45	http://twitter.com/rsatyak/status/1110728582769360897	b'@harvard the new world ...'	@rsatyak	Krish Ramachandran	United States of America	Massachusetts	Boston	Neutral	Unclassified	Twitter		131	86	236	@Harvard The new world ...	Reply		
1110894986940297218	2019-03-27 13:22:58	http://twitter.com/gutman_library/status/1110894986940297218	b'@harvard @arnoldarboretum beautiful photos!'	@gutman_library	Monroe C. Gutman	United States of America	Massachusetts	Boston	Positive	Joy	Twitter	M	961	218	155	@Harvard @ArnoldArboretum Beautiful photos! 📸	Reply		
1110797821362343936	2019-03-27 06:56:52	http://twitter.com/nxiaqingraoming/status/1110797821362343936	b'rt @harvard harvard student talia gillis is undertaking two doctoral programs with newborn twins and a toddler'	@nxiaqingraoming	陈冲之				Neutral	Neutral	Twitter	M	359	14	32	RT @Harvard Harvard student Talia Gillis is undertaking two doctoral programs with newborn twins and a toddler https://t.co/BW2baHpL1l https://t.co/wi3uOZOAqY	Retweet		
1110744822778863616	2019-03-27 03:26:17	http://twitter.com/AshishBohora/status/1110744822778863616	"b'rt @harvard these inventions give us the tools to create treatments and cures for a host of conditions that have few, if any, effective treatments today.""'"	@AshishBohora	Ashish Bohora	India	Delhi	Delhi	Neutral	Neutral	Twitter	M	17513	93	70	"RT @Harvard “These inventions give us the tools to create treatments and cures for a host of conditions that have few, if any, effective treatments today."" https://t.co/5wInAS24ph"	Retweet		
1110721515727843328	2019-03-27 01:53:40	http://twitter.com/emilyjodell/status/1110721515727843328	b'rt @harvard how to feed the 10 billion people expected on earth by midcentury? new technology, more seafood, more efficient small farms, less food waste, less red meat, and  perhaps  insects.'	@emilyjodell	Dr. EJ O'Dell				Negative	Neutral	Twitter		102100	13045	11504	RT @Harvard How to feed the 10 billion people expected on Earth by midcentury? New technology, more seafood, more efficient small farms, less food waste, less red meat, and — perhaps — insects. https://t.co/vIlqp4nZ78	Retweet		
1110854963272413184	2019-03-27 10:43:56	http://twitter.com/ITProfess_Actor/status/1110854963272413184	b'@harvard @harvardhbs yes brother/sister......my tweets are no way related to the current tweet but i would kindly request you to read it and focus on all these major issues in this world and do some root because analysis.'	@ITProfess_Actor	Jay				Negative	Sadness	Twitter	M	164189	40	65	@Harvard @HarvardHBS Yes Brother/Sister......My tweets are no way related to the current tweet but I would kindly request you to read it and focus on all these major issues in this World and Do some Root Cause Analysis.	Reply		
1110962069761736704	2019-03-27 17:49:32	http://twitter.com/MBockarova/status/1110962069761736704	b'rt @harvard harvard researchers propose 5 ways to help students tap into their inner motivation to learn'	@MBockarova	Mariana Bockarova	Canada	Ontario	Toronto	Neutral	Joy	Twitter	F	473	183	31	RT @Harvard Harvard researchers propose 5 ways to help students tap into their inner motivation to learn https://t.co/CJ3a7jL6K0	Retweet		
1110824703608799232	2019-03-27 08:43:42	http://twitter.com/KeithShorrocks/status/1110824703608799232	b'@harvard a poem to complement the findings - best keith shorrocks johnson'	@KeithShorrocks	Keith Johnson				Positive	Neutral	Twitter	M	540	1	3	@Harvard A poem to complement the findings - Best Keith Shorrocks Johnson https://t.co/IKkM7gvyao	Reply		
1110923704773554177	2019-03-27 15:17:05	http://twitter.com/ranjana_misra/status/1110923704773554177	b'rt @harvard those who listen to music or browse social media between home and work are not as happy about their jobs as those who use the time to shift gears, according to @harvardhbs research'	@ranjana_misra	Ranjana Misra	India			Neutral	Joy	Twitter	F	658	52	70	RT @Harvard Those who listen to music or browse social media between home and work aren't as happy about their jobs as those who use the time to shift gears, according to @HarvardHBS research https://t.co/r5pFUs1YVC	Retweet		
1110851658244775936	2019-03-27 10:30:48	http://twitter.com/dewihujin/status/1110851658244775936	b'rt @harvard those who listen to music or browse social media between home and work are not as happy about their jobs as those who use the time to shift gears, according to @harvardhbs research'	@dewihujin	天才ギャグマシーン宮本教授				Neutral	Joy	Twitter	M	92327	389	373	RT @Harvard Those who listen to music or browse social media between home and work aren't as happy about their jobs as those who use the time to shift gears, according to @HarvardHBS research https://t.co/r5pFUs1YVC	Retweet		
1110807927777083392	2019-03-27 07:37:02	http://twitter.com/MarcelTo/status/1110807927777083392	b'rt @harvard how to feed the 10 billion people expected on earth by midcentury? new technology, more seafood, more efficient small farms, less food waste, less red meat, and  perhaps  insects.'	@MarcelTo	BigM				Negative	Neutral	Twitter		11338	588	2384	RT @Harvard How to feed the 10 billion people expected on Earth by midcentury? New technology, more seafood, more efficient small farms, less food waste, less red meat, and — perhaps — insects. https://t.co/vIlqp4nZ78	Retweet		
1110704596807225344	2019-03-27 00:46:26	http://twitter.com/tarundsnaol/status/1110704596807225344	b'rt @harvard this new large-scale digital photography exhibit at @arnoldarboretum brings nature to life'	@tarundsnaol	tarun kaushik				Neutral	Joy	Twitter	M	19160	115	1522	RT @Harvard This new large-scale digital photography exhibit at @ArnoldArboretum brings nature to life https://t.co/AFnDXXZh3f https://t.co/5EiqjenqYO	Retweet		
1110746741056262144	2019-03-27 03:33:54	http://twitter.com/caya_co/status/1110746741056262144	b'rt @harvard a new @metmuseum exhibition, the tale of genji: a japanese classic illuminated, is co-curated by harvard professor melissa mccormick'	@caya_co	かやこ🐾	Japan			Neutral	Neutral	Twitter		116539	589	210	RT @Harvard A new @metmuseum exhibition, “The Tale of Genji: A Japanese Classic Illuminated,” is co-curated by Harvard Professor Melissa McCormick https://t.co/u2n0U5aTN6	Retweet		
1110932663123279872	2019-03-27 15:52:41	http://twitter.com/madhurikaraja/status/1110932663123279872	b'rt @harvard those who listen to music or browse social media between home and work are not as happy about their jobs as those who use the time to shift gears, according to @harvardhbs research'	@madhurikaraja	Ryan Slow Pace	United States of America	Illinois	Chicago	Neutral	Joy	Twitter	M	78610	419	707	RT @Harvard Those who listen to music or browse social media between home and work aren't as happy about their jobs as those who use the time to shift gears, according to @HarvardHBS research https://t.co/r5pFUs1YVC	Retweet		
1110815574433693696	2019-03-27 08:07:25	http://twitter.com/HubAnalysis1/status/1110815574433693696	"b'rt @harvard these inventions give us the tools to create treatments and cures for a host of conditions that have few, if any, effective treatments today.""'"	@HubAnalysis1	HubAnalysis | HubBucket Computational Biophysics	United States of America	New York	New York	Neutral	Neutral	Twitter		2293	112	308	"RT @Harvard “These inventions give us the tools to create treatments and cures for a host of conditions that have few, if any, effective treatments today."" https://t.co/5wInAS24ph"	Retweet		
1110797217021849600	2019-03-27 06:54:28	http://twitter.com/Tigerlily874/status/1110797217021849600	"b'rt @harvard professor @dziblatt, co-author of ""how democracies die,"" discusses the current state of you.s. politics'"	@Tigerlily874	Heather	Canada	British Columbia		Neutral	Neutral	Twitter	F	70110	848	2033	"RT @Harvard Professor @dziblatt, co-author of ""How Democracies Die,"" discusses the current state of U.S. politics https://t.co/WzgrD4k3GL"	Retweet		
1110854597587820545	2019-03-27 10:42:29	http://twitter.com/ITProfess_Actor/status/1110854597587820545	"b""@harvard @harvardhbs if gov't is not interested to do so then ask them not to cry for several crimes and not to blame police dept. one police per person is impossible and furthermore police is also one among us.ask them not to live in fool's paradise."""	@ITProfess_Actor	Jay				Negative	Sadness	Twitter	M	164182	40	65	@Harvard @HarvardHBS If Gov't is not interested to do so then ask them Not to CRY for several Crimes and Not to blame Police Dept. One Police per person is impossible and furthermore Police is also One among us.Ask them Not to live in Fool's paradise.	Reply		
1110919283083636741	2019-03-27 14:59:31	http://twitter.com/ikraMania_12/status/1110919283083636741	b'rt @harvard those who listen to music or browse social media between home and work are not as happy about their jobs as those who use the time to shift gears, according to @harvardhbs research'	@ikraMania_12	Ralik	United Kingdom	Greater London	London	Neutral	Joy	Twitter		4213	284	109	RT @Harvard Those who listen to music or browse social media between home and work aren't as happy about their jobs as those who use the time to shift gears, according to @HarvardHBS research https://t.co/r5pFUs1YVC	Retweet		
1110853362206064641	2019-03-27 10:37:34	http://twitter.com/EleniAngel3/status/1110853362206064641	b'rt @harvard those who listen to music or browse social media between home and work are not as happy about their jobs as those who use the time to shift gears, according to @harvardhbs research'	@EleniAngel3	Eleni Angelopoulou	United Kingdom	South Western	Glasgow	Neutral	Joy	Twitter	F	2824	325	383	RT @Harvard Those who listen to music or browse social media between home and work aren't as happy about their jobs as those who use the time to shift gears, according to @HarvardHBS research https://t.co/r5pFUs1YVC	Retweet		
1110817037570531328	2019-03-27 08:13:14	http://twitter.com/HubAnalysis1/status/1110817037570531328	b'rt @harvard a new study finds adult cells keep a record of which genes were activated during their early development. even more surprisingly, the memory is retrievable, which may be a game-changer for cancer and regenerative medicine.'	@HubAnalysis1	HubAnalysis | HubBucket Computational Biophysics	United States of America	New York	New York	Neutral	Neutral	Twitter		2312	112	315	RT @Harvard A new study finds adult cells keep a record of which genes were activated during their early development. Even more surprisingly, the memory is retrievable, which may be a game-changer for cancer and regenerative medicine. https://t.co/22M7g2VDmp	Retweet		
1110755901034639360	2019-03-27 04:10:18	http://twitter.com/KyleDMacy/status/1110755901034639360	"b'rt @harvard professor @tony_jack talks about his new book, ""the privileged poor,"" which addresses the struggles of disadvantaged students at elite schools'"	@KyleDMacy	Kyle D Macy	United States of America			Negative	Neutral	Twitter	M	22	8	11	"RT @Harvard Professor @tony_jack talks about his new book, ""The Privileged Poor,"" which addresses the struggles of disadvantaged students at elite schools https://t.co/iwhmZKUmg6"	Retweet		
1110721495162978304	2019-03-27 01:53:35	http://twitter.com/okebrays/status/1110721495162978304	b'rt @harvard how to feed the 10 billion people expected on earth by midcentury? new technology, more seafood, more efficient small farms, less food waste, less red meat, and  perhaps  insects.'	@okebrays	Nursabilillah				Negative	Neutral	Twitter		25	15	572	RT @Harvard How to feed the 10 billion people expected on Earth by midcentury? New technology, more seafood, more efficient small farms, less food waste, less red meat, and — perhaps — insects. https://t.co/vIlqp4nZ78	Retweet		
1110745129915027457	2019-03-27 03:27:30	http://twitter.com/tanakayasuyasu/status/1110745129915027457	"b'rt @harvard these inventions give us the tools to create treatments and cures for a host of conditions that have few, if any, effective treatments today.""'"	@tanakayasuyasu	タナカ　ヤスコ	Japan	Tokyo	Tokyo	Neutral	Neutral	Twitter		45215	83	303	"RT @Harvard “These inventions give us the tools to create treatments and cures for a host of conditions that have few, if any, effective treatments today."" https://t.co/5wInAS24ph"	Retweet		
1110928561035194370	2019-03-27 15:36:23	http://twitter.com/HarvardHBS/status/1110928561035194370	b'rt @harvard those who listen to music or browse social media between home and work are not as happy about their jobs as those who use the time to shift gears, according to @harvardhbs research'	@HarvardHBS	Harvard Business	United States of America	Massachusetts	Boston	Neutral	Joy	Twitter		13527	453733	2073	RT @Harvard Those who listen to music or browse social media between home and work aren't as happy about their jobs as those who use the time to shift gears, according to @HarvardHBS research https://t.co/r5pFUs1YVC	Retweet		
1110859480349229056	2019-03-27 11:01:53	http://twitter.com/shyduroff/status/1110859480349229056	b'@harvard @harvardhbs ... some bottom lines from this commuter: operating a ground vehicle? pay maximum fucking attention to the road & other drivers! on a bus, train, or plane? maintain 1/3 your attention on other travelers. be aware of bad actors, including frustrated commuters on their edges ...'	@shyduroff	shyduroff				Negative	Anger	Twitter		295917	1794	5001	@Harvard @HarvardHBS ... some bottom lines from this commuter: operating a ground vehicle? pay maximum fucking attention to the road & other drivers! on a bus, train, or plane? maintain 1/3 your attention on other travelers.  be aware of bad actors, including frustrated commuters on their ‘edges’ ...	Reply		
1110933817756450816	2019-03-27 15:57:16	http://twitter.com/EnfluxEDU/status/1110933817756450816	b'rt @harvard a new study finds adult cells keep a record of which genes were activated during their early development. even more surprisingly, the memory is retrievable, which may be a game-changer for cancer and regenerative medicine.'	@EnfluxEDU	Enflux	United States of America	Texas	San Antonio	Neutral	Neutral	Twitter		585	93	330	RT @Harvard A new study finds adult cells keep a record of which genes were activated during their early development. Even more surprisingly, the memory is retrievable, which may be a game-changer for cancer and regenerative medicine. https://t.co/22M7g2VDmp	Retweet		
1111001968636387328	2019-03-27 20:28:05	http://twitter.com/ITProfess_Actor/status/1111001968636387328	b'@harvard @radinstitute dear harvard, you are not fulfilling your social responsibility properly. you are king. you can serve our america better than any politician. please do the root because analysis of all the major issues once again.'	@ITProfess_Actor	Jay				Neutral	Anger	Twitter	M	164359	40	65	@Harvard @RadInstitute Dear Harvard, You are not fulfilling your social responsibility properly. You're KING. You can serve our AMERICA better than any Politician. Please do the Root Cause Analysis of all the major Issues once AGAIN.	Reply		
