GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1105569247344951296	2019-03-12 20:40:23	http://twitter.com/ShaniquaRischer/status/1105569247344951296	b'i hope somewhere abigail fisher is mad at the real people that took her spot. tried to tell her it was not us. #abbystillmadsomewhere #collegecheatingscandal #collegescam'	@ShaniquaRischer	Shaniqua Rischer				Negative	Anger	Twitter	F	2039	190	214	I hope somewhere Abigail Fisher is mad at the real people that took her spot. Tried to tell her it wasn’t us. #AbbyStillMadSomewhere #CollegeCheatingScandal #collegescam	Tweet		
1105500384288751616	2019-03-12 16:06:45	http://twitter.com/SilverBlossom4/status/1105500384288751616	b'rt @lantonmay glad they all got caught in this ugly scandal. shame on you!!! #collegecheatingscandal'	@SilverBlossom4	Blossom	United States of America	New York	New York	Negative	Disgust	Twitter	F	6895	691	680	RT @lantonmay Glad they ALL got caught in this ugly scandal. Shame on you!!! #CollegeCheatingScandal https://t.co/AU6uJ4m9RQ	Retweet		
1105519606201044995	2019-03-12 17:23:08	http://twitter.com/airbornesailor/status/1105519606201044995	"b""rt @tonykatz the biggest question from the #collegecheatingscandal: how is this trump's fault?"""	@airbornesailor	AirborneBubblehead⭐️⭐️⭐️	United States of America			Negative	Neutral	Twitter		28622	2696	2791	RT @tonykatz The biggest question from the #CollegeCheatingScandal: How Is This Trump's Fault?	Retweet		
1105580766199717889	2019-03-12 21:26:10	http://twitter.com/pmbakerygirl/status/1105580766199717889	b'@cmclymer this would be funnier if my daughter was not waiting on her 1st choice college. never mind still funny. but wtf folks. #collegecheatingscandal'	@pmbakerygirl	Paulette McCarron	United States of America	New York	New York	Negative	Anger	Twitter	F	9166	329	1209	@cmclymer This would be funnier if my daughter wasn’t waiting on her 1st choice college. Never mind still funny. But wtf folks. #CollegeCheatingScandal	Reply		
1105585965307961345	2019-03-12 21:46:49	http://twitter.com/RyanAnthonyB_/status/1105585965307961345	b'waiting now for the lifetime original movie college scam, a mothers intent starring #loriloughlin and #felicityhuffman. #collegecheatingscandal #collegescam'	@RyanAnthonyB_	Ryan	United States of America	New York	New York	Negative	Neutral	Twitter	M	2069	134	299	"Waiting now for the lifetime original movie “College Scam, a mother’s intent” Starring #LoriLoughlin and #FelicityHuffman. 
#CollegeCheatingScandal 
#collegescam"	Tweet		
1105582196021174272	2019-03-12 21:31:50	http://twitter.com/ExpressionsbyC/status/1105582196021174272	b'rt @dontbethedouche so, i am guessing #oliviajade knew about the scam since well she thought it was cool her dad did it. #cheater #loriloughlin #whiteprivilege #collegescam #collegeadmissionsscandal #collegecheatingscandal #tuesdaythoughts #usc #collegio'	@ExpressionsbyC	christine🌷				Negative	Neutral	Twitter	F	20033	451	315	RT @DontBeTheDouche So, I'm guessing #oliviajade knew about the scam since well she thought it was cool her dad did it.  #Cheater #LoriLoughlin #WhitePrivilege #collegescam #collegeadmissionsscandal #CollegeCheatingScandal #TuesdayThoughts #usc #collegio https://t.co/PtolhT8RxD	Retweet		
1105562018109710337	2019-03-12 20:11:40	http://twitter.com/RobynSunshine12/status/1105562018109710337	b'man  fuck college!!!! no wonder i never got the financial aid i needed! #cheaters #collegeadmissionsscandal #collegecheatingscandal'	@RobynSunshine12	яσвуη	United States of America	Pennsylvania		Negative	Anger	Twitter		5111	156	515	"Man – fuck college!!!! 

No wonder I never got the financial aid i needed! 

#CHEATERS

#CollegeAdmissionsScandal 
#CollegeCheatingScandal"	Tweet		
1105602544963907584	2019-03-12 22:52:42	http://twitter.com/AdamK87500975/status/1105602544963907584	b'rt @ddjoy4trump my kids: parents paid half a million $$ for their kids to get into college? how dumb are their kids? answer: not as dumb as their parents! #collegecheatingscandal'	@AdamK87500975	Rider On The Storm....	United States of America	Wisconsin		Negative	Anger	Twitter		6324	426	534	RT @DDJOY4TRUMP My kids: parents paid HALF A MILLION $$ for their kids to get into college? How dumb are their kids? ANSWER: Not as dumb as their parents! #CollegeCheatingScandal	Retweet		
1105597380152446978	2019-03-12 22:32:11	http://twitter.com/crysluvvs/status/1105597380152446978	b'affirmative action is the practice or policy of favoring individuals belonging to groups known to have been discriminated against! we have got the grades, the brains , but not the money (they just got caught). #collegecheatingscandal #collegeadmissionsscandal #affirmativeaction'	@crysluvvs	C r y s • T A L 🎬	United States of America	Texas		Negative	Unclassified	Twitter		948	149	252	Affirmative action is the practice or policy of favoring individuals belonging to groups KNOWN TO HAVE BEEN DISCRIMINATED AGAINST! We’ve got the grades, the brains 🧠, but not the money (they just got caught). #CollegeCheatingScandal #collegeadmissionsscandal #AffirmativeAction	Tweet		
1105569773214150656	2019-03-12 20:42:29	http://twitter.com/_Richard_A_King/status/1105569773214150656	b'rt @anncoulter it is okay. they were only competing with other kids whose parents bought their way in. #collegecheatingscandal'	@_Richard_A_King	Richard King				Neutral	Neutral	Twitter	M	96812	1076	70	RT @AnnCoulter It’s okay.  They were only competing with other kids whose parents bought their way in. #CollegeCheatingScandal https://t.co/sRHPHHSx5J	Retweet		
1105598967365029888	2019-03-12 22:38:29	http://twitter.com/AmericanCMR/status/1105598967365029888	b'rt @allensoped ultimate #whiteprivilege on display with the #collegecheatingscandal.'	@AmericanCMR	American Butterfly 🇺🇸🦋	United States of America	Pennsylvania	Philadelphia	Positive	Neutral	Twitter		168147	1856	1508	RT @AllensOpEd Ultimate #WhitePrivilege on display with the #CollegeCheatingScandal.	Retweet		
1105530756229533697	2019-03-12 18:07:26	http://twitter.com/NicoletteSahar/status/1105530756229533697	b'why did not these celebrities use their bribing money on super expensive tutors? or are their kids really that far gone #cheatingscandal #collegecheatingscandal #collegescam'	@NicoletteSahar	Sahar Nicolette	United States of America	California	Los Angeles	Neutral	Sadness	Twitter	F	50	10	56	Why didn’t these celebrities use their bribing money on super expensive tutors? Or are their kids really that far gone #cheatingscandal #CollegeCheatingScandal #collegescam https://t.co/FAQPTMZiwf	Tweet		
1105499534329815040	2019-03-12 16:03:22	http://twitter.com/SilverBlossom4/status/1105499534329815040	b'you got that right. this really pisses me off. all of the stress & worry & stress & worry it takes to get into to college and others are just breezing thru cuz their parents can pay people off. #collegecheatingscandal'	@SilverBlossom4	Blossom	United States of America	New York	New York	Negative	Fear	Twitter	F	6894	691	680	U got that right. This REALLY pisses me off. All of the stress & worry & stress & worry it takes to get into to college and others are just breezing thru cuz their parents can pay people off. #CollegeCheatingScandal	Tweet		
1105610479043571712	2019-03-12 23:24:14	http://twitter.com/Jersey_Craig/status/1105610479043571712	b'rt @allensoped ultimate #whiteprivilege on display with the #collegecheatingscandal.'	@Jersey_Craig	JerseyCraig  #𝙿𝚎𝚕𝚘𝚜𝚒𝙿𝚘𝚠𝚎𝚛	United States of America			Positive	Neutral	Twitter		224767	30580	29776	RT @AllensOpEd Ultimate #WhitePrivilege on display with the #CollegeCheatingScandal.	Retweet		
1105608352921354240	2019-03-12 23:15:47	http://twitter.com/LpgibsonMaxwell/status/1105608352921354240	b'@marthamaccallum regarding the #collegecheating will past grads lose their degree? i am sure there are many more #collegescam #collegecheatingscandal #actorsarefake #collegeexamscam #cheating #fox #constitution #fakenewsmedia #fakenews #sameassmolette #smollethoax #allfake'	@LpgibsonMaxwell	deplorable grinch	United States of America	Oregon	Portland	Neutral	Sadness	Twitter		1176	17	150	@marthamaccallum regarding the #CollegeCheating will past grads lose their degree? I’m sure there are many more #collegescam #CollegeCheatingScandal #actorsarefake #CollegeExamScam #cheating #FOX #Constitution #FakeNewsMedia #FakeNews #sameasSmolette #smollethoax #allfake	Tweet		
1105560511112978433	2019-03-12 20:05:40	http://twitter.com/SquarePegDem/status/1105560511112978433	b'rt @anncoulter it is okay. they were only competing with other kids whose parents bought their way in. #collegecheatingscandal'	@SquarePegDem	Michael Benjamin	United States of America	New York	New York	Neutral	Neutral	Twitter	M	90335	4857	3389	RT @AnnCoulter It’s okay.  They were only competing with other kids whose parents bought their way in. #CollegeCheatingScandal https://t.co/sRHPHHSx5J	Retweet		
1105597751180578816	2019-03-12 22:33:39	http://twitter.com/latinhottie320/status/1105597751180578816	b'#collegecheatingscandal what a shame hollywood!!!'	@latinhottie320	Jessica G.	United States of America	Texas		Negative	Sadness	Twitter	F	1013	54	118	#CollegeCheatingScandal What a shame Hollywood!!!	Tweet		
1105571819363467270	2019-03-12 20:50:36	http://twitter.com/Dappercannon/status/1105571819363467270	"b""i grew up so poor my parents could not even bribe me into mcdonald's university!  #collegeexamscam #collegecheatingscandal"""	@Dappercannon	DanO LaRusso	United States of America	Massachusetts		Positive	Sadness	Twitter		10558	72	218	"I grew up so poor my parents couldn't even bribe me into McDonald's University! 😂😂😂😂😂😂😂😂😂😂😂 #CollegeExamScam 
#CollegeCheatingScandal https://t.co/oO9Otn8xCK"	Tweet		
