GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1107078397686149120	2019-03-17 00:37:13	http://twitter.com/1UNITEDSTATES1/status/1107078397686149120	b'@ucla @forbes @swipehunger  cure all disease & virus   cure all virus   strengthen resiliency of mitochondria   telomere lengthening     respectfully ajmc'	@1UNITEDSTATES1	ARTHUR JM CHARTIER	United States of America			Positive	Joy	Twitter	M	52403	242	1389	@UCLA @Forbes @SwipeHunger 🇺🇸🌹🌹🌹🙏🌎🙏🌹🌹🌹🇺🇸 Cure all disease & virus https://t.co/4DjnwrOPim  Cure all virus https://t.co/f8x872Pyac Strengthen resiliency of mitochondria https://t.co/e8yV08xxJn Telomere lengthening https://t.co/0ToNNBFc3k https://t.co/AdaWsofea1 Respectfully AJMC🇺🇸🙏🇺🇸	Reply		
1107421438347112448	2019-03-17 23:20:20	http://twitter.com/KasoKim/status/1107421438347112448	"b""rt @ucla happy st. patrick's day!  #sceneatucla :"""	@KasoKim	Kim Kaso	United States of America	California		Neutral	Neutral	Twitter	F	67704	1751	2364	RT @UCLA Happy St. Patrick's Day! 🍀🌈 #SceneatUCLA 📷: https://t.co/UjPpYP6BQi https://t.co/akPRH79lQM	Retweet		
1107336545097256960	2019-03-17 17:43:00	http://twitter.com/KeelineTaylor/status/1107336545097256960	"b""rt @ucla happy st. patrick's day!  #sceneatucla :"""	@KeelineTaylor	Taylor Keeline	United States of America	California	Los Angeles	Neutral	Neutral	Twitter	M	6044	399	194	RT @UCLA Happy St. Patrick's Day! 🍀🌈 #SceneatUCLA 📷: https://t.co/UjPpYP6BQi https://t.co/akPRH79lQM	Retweet		
1107343724487426049	2019-03-17 18:11:32	http://twitter.com/shaunaperigo/status/1107343724487426049	"b""rt @ucla happy st. patrick's day!  #sceneatucla :"""	@shaunaperigo	shaunaperigo	United States of America	California	Los Angeles	Neutral	Neutral	Twitter		374	54	112	RT @UCLA Happy St. Patrick's Day! 🍀🌈 #SceneatUCLA 📷: https://t.co/UjPpYP6BQi https://t.co/akPRH79lQM	Retweet		
1107291908043345921	2019-03-17 14:45:38	http://twitter.com/mikywhite21/status/1107291908043345921	"b""rt @ucla happy st. patrick's day!  #sceneatucla :"""	@mikywhite21	Michele Bianchi	United States of America	California	Los Angeles	Neutral	Neutral	Twitter	F	580	138	154	RT @UCLA Happy St. Patrick's Day! 🍀🌈 #SceneatUCLA 📷: https://t.co/UjPpYP6BQi https://t.co/akPRH79lQM	Retweet		
1107368998331711488	2019-03-17 19:51:57	http://twitter.com/UCLA_Library/status/1107368998331711488	"b""rt @ucla happy st. patrick's day!  #sceneatucla :"""	@UCLA_Library	UCLA Library	United States of America	California	Los Angeles	Neutral	Neutral	Twitter		624	454	337	RT @UCLA Happy St. Patrick's Day! 🍀🌈 #SceneatUCLA 📷: https://t.co/UjPpYP6BQi https://t.co/akPRH79lQM	Retweet		
1107311301104025601	2019-03-17 16:02:41	http://twitter.com/JustinDSullivan/status/1107311301104025601	"b""rt @ucla happy st. patrick's day!  #sceneatucla :"""	@JustinDSullivan	Justin Sullivan	United States of America	California		Neutral	Neutral	Twitter	M	5979	725	879	RT @UCLA Happy St. Patrick's Day! 🍀🌈 #SceneatUCLA 📷: https://t.co/UjPpYP6BQi https://t.co/akPRH79lQM	Retweet		
1107390600028905472	2019-03-17 21:17:48	http://twitter.com/patrici22690450/status/1107390600028905472	"b""rt @ucla happy st. patrick's day!  #sceneatucla :"""	@patrici22690450	patriciafranklin1111	United States of America	California	Los Angeles	Neutral	Neutral	Twitter		46	12	150	RT @UCLA Happy St. Patrick's Day! 🍀🌈 #SceneatUCLA 📷: https://t.co/UjPpYP6BQi https://t.co/akPRH79lQM	Retweet		
1107291167417221120	2019-03-17 14:42:41	http://twitter.com/vatititech/status/1107291167417221120	"b""rt @ucla happy st. patrick's day!  #sceneatucla :"""	@vatititech	Val 🍑__🍑	United States of America	California	Los Angeles	Neutral	Neutral	Twitter		206841	857	208	RT @UCLA Happy St. Patrick's Day! 🍀🌈 #SceneatUCLA 📷: https://t.co/UjPpYP6BQi https://t.co/akPRH79lQM	Retweet		
1107310974854270976	2019-03-17 16:01:23	http://twitter.com/Jahanvis6/status/1107310974854270976	"b""rt @ucla happy st. patrick's day!  #sceneatucla :"""	@Jahanvis6	Jahanvi S	India			Neutral	Neutral	Twitter		92	24	60	RT @UCLA Happy St. Patrick's Day! 🍀🌈 #SceneatUCLA 📷: https://t.co/UjPpYP6BQi https://t.co/akPRH79lQM	Retweet		
1107411212957114368	2019-03-17 22:39:42	http://twitter.com/_Jxstin_/status/1107411212957114368	"b""rt @ucla happy st. patrick's day!  #sceneatucla :"""	@_Jxstin_	justin	United States of America	Florida	Miami	Neutral	Neutral	Twitter	M	18352	368	537	RT @UCLA Happy St. Patrick's Day! 🍀🌈 #SceneatUCLA 📷: https://t.co/UjPpYP6BQi https://t.co/akPRH79lQM	Retweet		
1107420648060534784	2019-03-17 23:17:12	http://twitter.com/GoJoeBruinUCLA/status/1107420648060534784	"b""rt @ucla happy st. patrick's day!  #sceneatucla :"""	@GoJoeBruinUCLA	Go Joe Bruin	United States of America	California	Los Angeles	Neutral	Neutral	Twitter	M	97071	9451	1593	RT @UCLA Happy St. Patrick's Day! 🍀🌈 #SceneatUCLA 📷: https://t.co/UjPpYP6BQi https://t.co/akPRH79lQM	Retweet		
1107078284611911681	2019-03-17 00:36:46	http://twitter.com/1UNITEDSTATES1/status/1107078284611911681	b'@ucla @hammer_museum  cure all disease & virus   cure all virus   strengthen resiliency of mitochondria   telomere lengthening     respectfully ajmc'	@1UNITEDSTATES1	ARTHUR JM CHARTIER	United States of America			Positive	Joy	Twitter	M	52400	242	1389	@UCLA @hammer_museum 🇺🇸🌹🌹🌹🙏🌎🙏🌹🌹🌹🇺🇸 Cure all disease & virus https://t.co/4DjnwrOPim  Cure all virus https://t.co/f8x872Pyac Strengthen resiliency of mitochondria https://t.co/e8yV08xxJn Telomere lengthening https://t.co/0ToNNBFc3k https://t.co/AdaWsofea1 Respectfully AJMC🇺🇸🙏🇺🇸	Reply		
