GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1101152175416328192	2019-02-28 16:08:31	http://twitter.com/FineArtsUT/status/1101152175416328192	RT @UTAustin A UT professor is working on creating one of the richest, most in-depth resources of African American dance available: https://t.co/prN7HYPCxG	@FineArtsUT	UT Fine Arts	United States of America	Texas	Austin	Neutral	Neutral	Twitter		4564	2287	472	RT @UTAustin A UT professor is working on creating one of the richest, most in-depth resources of African American dance available: https://t.co/prN7HYPCxG	Retweet		
1101210806912458753	2019-02-28 20:01:30	http://twitter.com/kasturibando/status/1101210806912458753	RT @UTAustin Tower Girl, the Peregrine Falcon that lives atop the #UTTower, has laid her first 🥚 of the year: https://t.co/ZEtT6bRS86 via @KXAN https://t.co/tiANnNveGx	@kasturibando	Kasturi	United States of America	Texas	Austin	Neutral	Neutral	Twitter	F	6578	222	301	RT @UTAustin Tower Girl, the Peregrine Falcon that lives atop the #UTTower, has laid her first 🥚 of the year: https://t.co/ZEtT6bRS86 via @KXAN https://t.co/tiANnNveGx	Retweet		
1101154167110987776	2019-02-28 16:16:26	http://twitter.com/TheGraphicHD/status/1101154167110987776	RT @UTAustin Of course he didn’t put beans in it… #NationalChiliDay #Texas https://t.co/8Jhvlmlw6z	@TheGraphicHD	Matthew Hernandez🔱❄️				Neutral	Neutral	Twitter	M	8502	202	347	RT @UTAustin Of course he didn’t put beans in it… #NationalChiliDay #Texas https://t.co/8Jhvlmlw6z	Retweet		
1101150721444061184	2019-02-28 16:02:45	http://twitter.com/TexasConnect2/status/1101150721444061184	RT @UTAustin Of course he didn’t put beans in it… #NationalChiliDay #Texas https://t.co/8Jhvlmlw6z	@TexasConnect2	Texas Connect	United States of America	Texas	Austin	Neutral	Neutral	Twitter		789	292	313	RT @UTAustin Of course he didn’t put beans in it… #NationalChiliDay #Texas https://t.co/8Jhvlmlw6z	Retweet		
1101163593662377985	2019-02-28 16:53:54	http://twitter.com/TexyMandy/status/1101163593662377985	RT @UTAustin Of course he didn’t put beans in it… #NationalChiliDay #Texas https://t.co/8Jhvlmlw6z	@TexyMandy	Mandy Pandy	United States of America	Texas		Neutral	Neutral	Twitter	F	95	6	56	RT @UTAustin Of course he didn’t put beans in it… #NationalChiliDay #Texas https://t.co/8Jhvlmlw6z	Retweet		
1101266788015312896	2019-02-28 23:43:57	http://twitter.com/elise_hare/status/1101266788015312896	@UTAustin sorry y’all, beans add a certain bulk to chili that you just can’t understand	@elise_hare	kristianna	United States of America	District of Columbia	Washington, D.C.	Neutral	Anger	Twitter		21	8	38	@UTAustin sorry y’all, beans add a certain bulk to chili that you just can’t understand	Reply		
1101165886344491016	2019-02-28 17:03:00	http://twitter.com/UTHousing/status/1101165886344491016	RT @UTAustin In case you were looking for something to do in Austin on Saturday: https://t.co/KslZym3Fk8 #ExploreUT https://t.co/6NdEv5rLHl	@UTHousing	UT Housing	United States of America	Texas	Austin	Neutral	Neutral	Twitter		6112	5399	574	RT @UTAustin In case you were looking for something to do in Austin on Saturday: https://t.co/KslZym3Fk8  #ExploreUT https://t.co/6NdEv5rLHl	Retweet		
1101114193019846656	2019-02-28 13:37:35	http://twitter.com/AbbiMoraless/status/1101114193019846656	RT @UTAustin For the past 82 years, the #UTTower has served as symbol of academic excellence and personal opportunity 🤘 https://t.co/Riu4XNUEWE	@AbbiMoraless	abbi.moraless	United States of America	Texas	Houston	Neutral	Joy	Twitter		9	7	20	RT @UTAustin For the past 82 years, the #UTTower has served as symbol of academic excellence and personal opportunity 🤘 https://t.co/Riu4XNUEWE	Retweet		
1100964458854318080	2019-02-28 03:42:36	http://twitter.com/highonflowerz/status/1100964458854318080	RT @UTAustin Tower Girl, the Peregrine Falcon that lives atop the #UTTower, has laid her first 🥚 of the year: https://t.co/ZEtT6bRS86 via @KXAN https://t.co/tiANnNveGx	@highonflowerz	chonk 🌿				Neutral	Neutral	Twitter		6907	497	398	RT @UTAustin Tower Girl, the Peregrine Falcon that lives atop the #UTTower, has laid her first 🥚 of the year: https://t.co/ZEtT6bRS86 via @KXAN https://t.co/tiANnNveGx	Retweet		
1100936038455873536	2019-02-28 01:49:40	http://twitter.com/laurabjenkins/status/1100936038455873536	RT @UTAustin For the past 82 years, the #UTTower has served as symbol of academic excellence and personal opportunity 🤘 https://t.co/Riu4XNUEWE	@laurabjenkins	Laura J	United States of America	Texas		Neutral	Joy	Twitter	F	66193	1091	713	RT @UTAustin For the past 82 years, the #UTTower has served as symbol of academic excellence and personal opportunity 🤘 https://t.co/Riu4XNUEWE	Retweet		
1100968741003804672	2019-02-28 03:59:37	http://twitter.com/HubBucket/status/1100968741003804672	RT @UTAustin They say the best things in life come in pairs… https://t.co/xkidthc7HA	@HubBucket	HubBucket	United States of America	New York	New York	Positive	Joy	Twitter		182164	4629	2220	RT @UTAustin They say the best things in life come in pairs… https://t.co/xkidthc7HA	Retweet		
1101161755412172800	2019-02-28 16:46:35	http://twitter.com/UT_Flags/status/1101161755412172800	RT @UTAustin A UT professor is working on creating one of the richest, most in-depth resources of African American dance available: https://t.co/prN7HYPCxG	@UT_Flags	UT Austin Flags	United States of America	Texas	Austin	Neutral	Neutral	Twitter	M	319	176	481	RT @UTAustin A UT professor is working on creating one of the richest, most in-depth resources of African American dance available: https://t.co/prN7HYPCxG	Retweet		
1100964486884790273	2019-02-28 03:42:43	http://twitter.com/_victoriacarter/status/1100964486884790273	RT @UTAustin Tower Girl, the Peregrine Falcon that lives atop the #UTTower, has laid her first 🥚 of the year: https://t.co/ZEtT6bRS86 via @KXAN https://t.co/tiANnNveGx	@_victoriacarter	victoria carter	United States of America			Neutral	Neutral	Twitter	F	5449	628	659	RT @UTAustin Tower Girl, the Peregrine Falcon that lives atop the #UTTower, has laid her first 🥚 of the year: https://t.co/ZEtT6bRS86 via @KXAN https://t.co/tiANnNveGx	Retweet		
