GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1106704727142653952	2019-03-15 23:52:23	http://twitter.com/TestPrepNY/status/1106704727142653952	Complicity is trending since the election. You don't need it for your child's future. Top Test Scores. Zero Complicity # parenting #SNL #SaturdayNightLive #ComplicitGOP #complicit #citytestprep #OPERATIONVarsityBlue #SATPractice #Testing #SATScam #FullPotential @CityTestPrep https://t.co/URHa4glGdV	@TestPrepNY	Test Prep New York	United States of America	New York	New York	Neutral	Unclassified	Twitter		1930	983	1271	Complicity is trending since the election. You don't need it for your child's future. Top Test Scores. Zero Complicity # parenting #SNL #SaturdayNightLive #ComplicitGOP #complicit  #citytestprep #OPERATIONVarsityBlue #SATPractice #Testing  #SATScam #FullPotential @CityTestPrep https://t.co/URHa4glGdV	Tweet		
1106695587527680000	2019-03-15 23:16:04	http://twitter.com/CityTestPrep/status/1106695587527680000	Ok. we can take the highroad (though snarky is fun) #citytestprep #OPERATIONVarsityBlue #SATPractice #Testing #SATScam #FullPotential #yogaforyourmind Earn success and you know it's yours and that you can do it again! https://t.co/ic5JxRdDSn	@CityTestPrep	CityTestPrep				Positive	Joy	Twitter		339	4	29	Ok. we can take the highroad (though snarky is fun)  #citytestprep #OPERATIONVarsityBlue #SATPractice #Testing  #SATScam #FullPotential #yogaforyourmind Earn success and you know it's yours and that you can do it again! https://t.co/ic5JxRdDSn	Tweet		
1106695977337905153	2019-03-15 23:17:37	http://twitter.com/CityTestPrep/status/1106695977337905153	It's a sale we never imagined we'd pitch. #100PercentBribeFreeSAT, also zero corruption or scam. Learn content mastery, test-taking strategy, and optimal mindset techniques to own your top score and your future! #citytestprep #OPERATIONVarsityBlue #SATPractice #Testing #SATScam https://t.co/YDrr8oCptJ	@CityTestPrep	CityTestPrep				Negative	Unclassified	Twitter		340	4	29	It's a sale we never imagined we'd pitch. #100PercentBribeFreeSAT, also zero corruption or scam. Learn content mastery, test-taking strategy, and optimal mindset techniques to own your top score and your future! #citytestprep #OPERATIONVarsityBlue #SATPractice #Testing  #SATScam https://t.co/YDrr8oCptJ	Tweet		
1106479806911254533	2019-03-15 08:58:38	http://twitter.com/FairyCrumble/status/1106479806911254533	@TMZ She was complicit in the lies (posing for fake photos) and deserves to be punished like her stupid mother. Her attitude towards college and the opportunity she was given is appalling. #operationvarsityblue	@FairyCrumble	🦄Cookie Crumble🍪				Negative	Disgust	Twitter		4091	52	84	@TMZ She was complicit in the lies (posing for fake photos) and deserves to be punished like her stupid mother. Her attitude towards college and the opportunity she was given is appalling. #operationvarsityblue	Reply		
1106705973962403840	2019-03-15 23:57:20	http://twitter.com/TestPrepNY/status/1106705973962403840	Getting a Leg Up is Mastering Test Content. No side doors here!! #sidedoor #citytestprep #OPERATIONVarsityBlue #SATPractice #Testing #SATScam #FullPotential #yogaforyourmind @CitTestPrep https://t.co/MnFlwfw1YH	@TestPrepNY	Test Prep New York	United States of America	New York	New York	Neutral	Fear	Twitter		1939	983	1271	Getting a Leg Up is Mastering Test Content. No side doors here!!  #sidedoor #citytestprep #OPERATIONVarsityBlue #SATPractice #Testing  #SATScam #FullPotential #yogaforyourmind @CitTestPrep https://t.co/MnFlwfw1YH	Tweet		
1106524329439830017	2019-03-15 11:55:33	http://twitter.com/TomasettiPatty/status/1106524329439830017	RT @TonyFly You knew it was coming... #AuntBecky #OPERATIONVarsityBlue https://t.co/Asht90ZMuX	@TomasettiPatty	Patty Tomasetti				Neutral	Neutral	Twitter	F	258	38	134	RT @TonyFly You knew it was coming... #AuntBecky #OPERATIONVarsityBlue https://t.co/Asht90ZMuX	Retweet		
1106705206891282432	2019-03-15 23:54:17	http://twitter.com/TestPrepNY/status/1106705206891282432	Support your child to succeed in school, on high-stakes tests, and in life. Bribe Free! #citytestprep #OPERATIONVarsityBlue #SATPractice #Testing #SATScam #FullPotential #yogaforyourmind https://t.co/vaPwpuibA6	@TestPrepNY	Test Prep New York	United States of America	New York	New York	Positive	Joy	Twitter		1933	983	1271	Support your child to succeed in school, on high-stakes tests, and in life. Bribe Free! #citytestprep #OPERATIONVarsityBlue #SATPractice #Testing  #SATScam #FullPotential #yogaforyourmind https://t.co/vaPwpuibA6	Tweet		
1106700267993481216	2019-03-15 23:34:40	http://twitter.com/CityTestPrep/status/1106700267993481216	#emolumentsclause #kleptocrat #vocabulary How good is your SAT vocabulary? #citytestprep #OPERATIONVarsityBlue #SATPractice #Testing #SATScam #FullPotential #yogaforyourmind https://t.co/MkO5Ui1E2x	@CityTestPrep	CityTestPrep				Positive	Joy	Twitter		345	4	29	#emolumentsclause #kleptocrat  #vocabulary  How good is your SAT vocabulary?  #citytestprep #OPERATIONVarsityBlue #SATPractice #Testing  #SATScam #FullPotential #yogaforyourmind https://t.co/MkO5Ui1E2x	Tweet		
1106390178602668033	2019-03-15 03:02:28	http://twitter.com/Hope6359/status/1106390178602668033	RT @prissy68457874 I'm getting locked out now..just for looking at: #OperationVarsityBlues #operationvarsityblue #auntbeckywiththebadgrades #cheatingscandal https://t.co/9POQdQdQxs	@Hope6359	Hope Hughes				Neutral	Neutral	Twitter	F	15411	97	69	"RT @prissy68457874 I'm getting locked out now..just for looking at:
#OperationVarsityBlues
#operationvarsityblue 
#auntbeckywiththebadgrades
#cheatingscandal https://t.co/9POQdQdQxs"	Retweet		
1106430131768299520	2019-03-15 05:41:14	http://twitter.com/LoriChilders/status/1106430131768299520	RT @janewells If you’re running a company or a fund, and you’re dumb enough to pay bribes to get your kid into college, what else are you dumb enough to do? #OPERATIONVarsityBlue	@LoriChilders	Lori Childers				Negative	Anger	Twitter	F	784	40	201	RT @janewells If you’re running a company or a fund, and you’re dumb enough to pay bribes to get your kid into college, what else are you dumb enough to do? #OPERATIONVarsityBlue	Retweet		
