GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1116082176196513793	2019-04-10 20:55:01	http://twitter.com/TrumpAndTheGE/status/1116082176196513793	RT @ShockExchange Shock Exchange Predicted The College Admissions Scandal https://t.co/GdtwvGTpnX @DillardVicki @ProfBlacktruth @TheBlackChannel #OperationVarsityBlues #AdmissionsScandal	@TrumpAndTheGE	Trump And The Global Economy	United States of America	New York	New York	Neutral	Neutral	Twitter		287	8	17	RT @ShockExchange Shock Exchange Predicted The College Admissions Scandal https://t.co/GdtwvGTpnX   @DillardVicki @ProfBlacktruth @TheBlackChannel #OperationVarsityBlues #AdmissionsScandal	Retweet		
1116020336007491584	2019-04-10 16:49:17	http://twitter.com/lisakashinsky/status/1116020336007491584	Could Lori Loughlin and Felicity Huffman end up behind bars? I talked to prison coaches about what #operationvarsityblues defendants could face, from toilet scrubbing to sneaky paparazzi https://t.co/oC5ttH0y5v @bostonherald	@lisakashinsky	Lisa Kashinsky	United States of America	Massachusetts	Boston	Neutral	Disgust	Twitter	F	9536	1563	910	Could Lori Loughlin and Felicity Huffman end up behind bars? I talked to prison coaches about what #operationvarsityblues defendants could face, from toilet scrubbing to sneaky paparazzi https://t.co/oC5ttH0y5v @bostonherald	Tweet		
1116020446615486464	2019-04-10 16:49:43	http://twitter.com/FriasJ88/status/1116020446615486464	RT @lisakashinsky Could Lori Loughlin and Felicity Huffman end up behind bars? I talked to prison coaches about what #operationvarsityblues defendants could face, from toilet scrubbing to sneaky paparazzi https://t.co/oC5ttH0y5v @bostonherald	@FriasJ88	Jordan Frias	United States of America	Massachusetts	Boston	Neutral	Neutral	Twitter	M	8683	1164	2369	RT @lisakashinsky Could Lori Loughlin and Felicity Huffman end up behind bars? I talked to prison coaches about what #operationvarsityblues defendants could face, from toilet scrubbing to sneaky paparazzi https://t.co/oC5ttH0y5v @bostonherald	Retweet		
1115843466263703558	2019-04-10 05:06:28	http://twitter.com/SamusAran2020/status/1115843466263703558	@Anaridis @wbz If this gets them in more trouble...good. #CollegeAdmissionsScandal #CollegeCheatingScandal #CollegeScam #CollegeScandal #CollegeExamScam #CollegeGate #AdmissionsScandal #OperationVarsityBlues	@SamusAran2020	Samus Aran ⭐ (Miley)	United States of America	California	Irvine	Positive	Unclassified	Twitter		129505	7225	6870	"@Anaridis @wbz If this gets them in more trouble...good. #CollegeAdmissionsScandal #CollegeCheatingScandal #CollegeScam #CollegeScandal #CollegeExamScam #CollegeGate #AdmissionsScandal #OperationVarsityBlues"	Reply		
1116105279781986310	2019-04-10 22:26:49	http://twitter.com/MakeNoteofM/status/1116105279781986310	Has she asked any underprivileged folks 2 join her & fast track their way to lawyering too or is this slightly different version of the privilege paying their way 2 success? Asking 4 a friend. #OperationVarsityBlues #KimKardashian #KimKardashianWest #LoriLoughlin #FelicityHuffman	@MakeNoteofM	DanaMichele				Positive	Unclassified	Twitter		1161	40	7	Has she asked any underprivileged folks 2 join her & fast track their way to lawyering too or is this slightly different version of the privilege paying their way 2 success? Asking 4 a friend. #OperationVarsityBlues #KimKardashian #KimKardashianWest #LoriLoughlin #FelicityHuffman	Tweet		
1116047597406490624	2019-04-10 18:37:37	http://twitter.com/alexandra_lap/status/1116047597406490624	"RT @HollywoodLife Lori Loughlin is feeling ""confident"" about fighting all #OperationVarsityBlues charges despite facing 20+ years behind bars. https://t.co/eXCDKuVgj8 https://t.co/PwlIsL03YY"	@alexandra_lap	Alexandra				Neutral	Unclassified	Twitter	F	89	31	72	"RT @HollywoodLife Lori Loughlin is feeling ""confident"" about fighting all #OperationVarsityBlues charges despite facing 20+ years behind bars. https://t.co/eXCDKuVgj8 https://t.co/PwlIsL03YY"	Retweet		
1116119370537820161	2019-04-10 23:22:49	http://twitter.com/T_Prussman/status/1116119370537820161	RT @lisakashinsky Could Lori Loughlin and Felicity Huffman end up behind bars? I talked to prison coaches about what #operationvarsityblues defendants could face, from toilet scrubbing to sneaky paparazzi https://t.co/oC5ttH0y5v @bostonherald	@T_Prussman	Todd Prussman				Neutral	Neutral	Twitter	M	4148	833	2324	RT @lisakashinsky Could Lori Loughlin and Felicity Huffman end up behind bars? I talked to prison coaches about what #operationvarsityblues defendants could face, from toilet scrubbing to sneaky paparazzi https://t.co/oC5ttH0y5v @bostonherald	Retweet		
1116056273060093953	2019-04-10 19:12:05	http://twitter.com/CPaine10/status/1116056273060093953	@GeorgeTakei @lionessmom76 The road map is #OperationVarsityBlues	@CPaine10	C Paine				Neutral	Fear	Twitter		21926	257	560	@GeorgeTakei @lionessmom76 The road map is #OperationVarsityBlues	Reply		
1115977735602622464	2019-04-10 14:00:00	http://twitter.com/995QYK/status/1115977735602622464	Now the actress and her husband could spend a minimum of 5 years in prison! https://t.co/RFTyVdmzZH Prosecutors aren't playing around! #LoriLoughlin #operationvarsityblues #MossimoGiannulli	@995QYK	99.5 QYK	United States of America	Florida	Tampa	Neutral	Sadness	Twitter		45460	16740	11980	Now the actress and her husband could spend a minimum of 5 years in prison! https://t.co/RFTyVdmzZH Prosecutors aren't playing around! #LoriLoughlin #operationvarsityblues #MossimoGiannulli	Tweet		
1115841885774467075	2019-04-10 05:00:11	http://twitter.com/HollywoodLife/status/1115841885774467075	William H. Macy is looking distraught after Felicity Huffman pleaded guilty in #OperationVarsityBlues https://t.co/kwQWgGcXp1 https://t.co/3QRBXFGuEc	@HollywoodLife	HollywoodLife	United States of America	New York	New York	Neutral	Neutral	Twitter		178388	333090	4415	William H. Macy is looking distraught after Felicity Huffman pleaded guilty in #OperationVarsityBlues https://t.co/kwQWgGcXp1 https://t.co/3QRBXFGuEc	Tweet		
