GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Influence Score	Post Title	Post Type	Image URL	Brand
1120431378800226308		http://twitter.com/mingjackxadu/status/1120431378800226308	RT @KellyColligan Dear editors, bail and bond are not the same thing. The words are not interchangeable. #CollegeCheatingScandal https://t.co/CPGKUWadQ3	@mingjackxadu	Fleur J. Kendall				Neutral	Unclassified	Twitter	F					RT @KellyColligan Dear editors, bail and bond are not the same thing. The words are not interchangeable. #CollegeCheatingScandal https://t.co/CPGKUWadQ3	Retweet		
1120184355350036480		http://twitter.com/KelliePriceless/status/1120184355350036480	RT @TalbertSwan Remember Kelley Williams-Bolar? She was was convicted of using the wrong residence to get her daughters into a better school district in Ohio than underperforming Akron. She was sentenced to 3 years & ordered to pay $30,000 to the school district. But, #CollegeCheatingScandal https://t.co/yJ1pj1FWOF	@KelliePriceless	K E L L I E				Negative	Sadness	Twitter						"RT @TalbertSwan Remember Kelley Williams-Bolar?

She was was convicted of using the wrong residence to get her daughters into a better school district in Ohio than underperforming Akron.

She was sentenced to 3 years & ordered to pay $30,000 to the school district.

But, #CollegeCheatingScandal https://t.co/yJ1pj1FWOF"	Retweet		
1120418589004173312		http://twitter.com/sandraa81474788/status/1120418589004173312	RT @AlexWil69576876 Hi Y'all I'm willing to spoil some baby's With $9000 weekly allowance Text and follow up asap 6148590267 Cashapp and PayPal #sugarbabyserious #Cashappblessing #PayPal #SugarDaddySerious #CollegeCheatingScandal #SugarBabyTwitter #babyshower #OhioState #sugardaddydating https://t.co/rw9qlSI6DP	@sandraa81474788	sandraa				Positive	Neutral	Twitter						"RT @AlexWil69576876 Hi Y'all
I'm willing to spoil some baby's With $9000 weekly allowance
Text and follow up asap 6148590267 Cashapp and PayPal 
#sugarbabyserious #Cashappblessing #PayPal #SugarDaddySerious #CollegeCheatingScandal #SugarBabyTwitter #babyshower #OhioState #sugardaddydating https://t.co/rw9qlSI6DP"	Retweet		
1120221283554295810		http://twitter.com/TheIotWarehouse/status/1120221283554295810	Mystery parent paid $6.5 million to get kids into top universities as part of admissions scandal - Los Angeles Times https://t.co/plMTra1dqG #CollegeCheatingScandal https://t.co/j2ZKHjcqbD	@TheIotWarehouse	The IoT Warehouse	United States of America	New York	Utica	Neutral	Neutral	Twitter						Mystery parent paid $6.5 million to get kids into top universities as part of admissions scandal - Los Angeles Times https://t.co/plMTra1dqG #CollegeCheatingScandal https://t.co/j2ZKHjcqbD	Tweet		
1120438924936122369		http://twitter.com/DownatthePound/status/1120438924936122369	RT @ThePerezHilton Do U think Felicity Huffman should get off with just home confinement??? https://t.co/V3ZAwG2CRF #LoriLoughlin #CollegeCheatingScandal #OliviaJade #USC	@DownatthePound	The Dawg				Neutral	Neutral	Twitter						RT @ThePerezHilton Do U think Felicity Huffman should get off with just home confinement??? https://t.co/V3ZAwG2CRF #LoriLoughlin #CollegeCheatingScandal #OliviaJade #USC	Retweet		
1120466058496724992		http://twitter.com/Hot957CR/status/1120466058496724992	@KimKardashian keepin it real...#CollegeCheatingScandal #collegeadmissionsscandal #KeepingUpWithTheKardashians https://t.co/VYpXKlXzSj	@Hot957CR	Hot957CR	United States of America	Iowa	Cedar Rapids	Neutral	Neutral	Twitter						"@KimKardashian keepin it real...#CollegeCheatingScandal
#collegeadmissionsscandal #KeepingUpWithTheKardashians

https://t.co/VYpXKlXzSj"	Tweet		
1120416862070890501		http://twitter.com/Adinoadonai/status/1120416862070890501	Besides how well ppl like #FelicityHuffman get her kids into places that expect students on grades alone? #CollegeCheatingScandal	@Adinoadonai	Adino Adonai	United States of America	California	Los Angeles	Negative	Unclassified	Twitter	M					"Besides how well ppl like #FelicityHuffman get her kids into places that expect students on grades alone? 
#CollegeCheatingScandal"	Tweet		
1120378868605571074		http://twitter.com/AliBHamed/status/1120378868605571074	RT @Amitch5903 College in the United States is broken. Here's what I think college in the United States will look like in a decade: https://t.co/mhhICvrxcZ #edtech #tech #startup #education #CollegeAdmissionsScandal #CollegeCheatingScandal @VemoEd @edXOnline @coursera @LambdaSchool https://t.co/9bPt9Qj4bD	@AliBHamed	Ali Hamed	United States of America	New York	New York	Neutral	Neutral	Twitter	M					"RT @Amitch5903 College in the United States is broken. 

Here's what I think college in the United States will look like in a decade:  https://t.co/mhhICvrxcZ

#edtech #tech #startup #education #CollegeAdmissionsScandal
#CollegeCheatingScandal

@VemoEd @edXOnline @coursera @LambdaSchool https://t.co/9bPt9Qj4bD"	Retweet		
1120406667634651138		http://twitter.com/Mix1041/status/1120406667634651138	"The source revealed that ""everyone feels bad for her...they think the situation was something concocted by her husband."" 👀 Lori Loughlin's friends are speaking out, and it's not pretty. #CollegeCheatingScandal https://t.co/JkE4pJ3iSx"	@Mix1041	Mix 104.1	United States of America	Massachusetts	Boston	Neutral	Sadness	Twitter						"The source revealed that ""everyone feels bad for her...they think the situation was something concocted by her husband."" 👀

Lori Loughlin's friends are speaking out, and it's not pretty. #CollegeCheatingScandal
https://t.co/JkE4pJ3iSx"	Tweet		
1120273488672108545		http://twitter.com/GenCoinz/status/1120273488672108545	RT @DIFS2019 Fucking a freshman in the dorm after a party 🍆🍆😎😎😎 #difs2019 #difs #CollegeCheatingScandal #CollegeStudent #bbcslut #sex https://t.co/YlJ2ICrJ53	@GenCoinz	John				Positive	Joy	Twitter	M					"RT @DIFS2019 Fucking a freshman in the dorm after a party 🍆🍆😎😎😎

#difs2019 #difs #CollegeCheatingScandal #CollegeStudent #bbcslut #sex https://t.co/YlJ2ICrJ53"	Retweet		
1120296241936642050		http://twitter.com/guru_writer/status/1120296241936642050	RT @guru_writer If you need essays or writing assignments services send me ur topic,i'll do it for @ a cost. $10 per page. Preferably to be given 3-5 days in advance. Extra $15 for anything asked 2 days or less before due date. #essay #CollegeCheatingScandal #Memes #universitylife #payessay	@guru_writer	A+nthony Writer	United States of America			Positive	Anger	Twitter	M					"RT @guru_writer If you need essays or writing assignments services send me ur topic,i'll do it for @ a cost. $10 per page. Preferably to be given 3-5 days in advance. Extra $15 for anything asked 2 days or less before due date.
#essay #CollegeCheatingScandal #Memes #universitylife #payessay"	Retweet		
1120117198306119685		http://twitter.com/JaySmit53867525/status/1120117198306119685	RT @RenuBakshi My father drove a forklift at a lumber mill. At times, he worked multiple jobs to feed his family and put his 5 daughters through university. The #CollegeAdmissionsScandal makes me sick and angry on so many levels. #CollegeCheatingScandal	@JaySmit53867525	Jay Smith				Negative	Disgust	Twitter	M					"RT @RenuBakshi My father drove a forklift at a lumber mill. At times, he worked multiple jobs to feed his family and put his 5 daughters through university. The #CollegeAdmissionsScandal makes me sick and angry on so many levels. 
#CollegeCheatingScandal"	Retweet		
1120417982243643394		http://twitter.com/osophreaci/status/1120417982243643394	RT @BLUENEWSUSA New Charges: https://t.co/SUA0moETW7 #LoriLoughlin #CollegeCheatingScandal	@osophreaci	Isla Kaycee				Neutral	Neutral	Twitter	F					RT @BLUENEWSUSA New Charges: https://t.co/SUA0moETW7 #LoriLoughlin #CollegeCheatingScandal	Retweet		
1120362732073771008		http://twitter.com/E_Sheninger/status/1120362732073771008	RT @Wes_Kieschnick LISTEN NOW! Episode 44 of #TeachingKeating is live! Using Old School to tackle the #CollegeCheatingScandal and lawnmower parenting/educating! #edchat #MondayMorning #podcastedu #BoldSchool #KidsDeserveIt #leadered #MondayMotivaton #parenting #TeacherLife https://t.co/xegcVOxPjQ https://t.co/KJO5XVXFJW	@E_Sheninger	Eric Sheninger	United States of America	Texas	Houston	Positive	Joy	Twitter	M					"RT @Wes_Kieschnick LISTEN NOW!
Episode 44 of #TeachingKeating is live! Using Old School to tackle the #CollegeCheatingScandal and lawnmower parenting/educating! #edchat #MondayMorning #podcastedu #BoldSchool #KidsDeserveIt #leadered #MondayMotivaton #parenting #TeacherLife https://t.co/xegcVOxPjQ https://t.co/KJO5XVXFJW"	Retweet		
1120309353318273026		http://twitter.com/taiyonoibiki/status/1120309353318273026	RT @ManilaChan What I think of the whole #CollegeCheatingScandal #CollegeAdmissionScandal A bunch of rich parents throwing money at the problem, I mean kid, they failed to raise better. If the parent is an A-hole, chances are their kid is an A-hole #LoriLoughlin #FelicityHuffman #richprivilege https://t.co/voHxUDAe9J	@taiyonoibiki	The Sun Snorer Press				Negative	Unclassified	Twitter						RT @ManilaChan What I think of the whole #CollegeCheatingScandal #CollegeAdmissionScandal A bunch of rich parents throwing money at the problem, I mean kid, they failed to raise better. If the parent is an A-hole, chances are their kid is an A-hole #LoriLoughlin #FelicityHuffman #richprivilege https://t.co/voHxUDAe9J	Retweet		
1120364780349472771		http://twitter.com/butterybib/status/1120364780349472771	RT @DIFS2019 Fucking a freshman in the dorm after a party 🍆🍆😎😎😎 #difs2019 #difs #CollegeCheatingScandal #CollegeStudent #bbcslut #sex https://t.co/YlJ2ICrJ53	@butterybib	Sugar babyyy				Positive	Joy	Twitter						"RT @DIFS2019 Fucking a freshman in the dorm after a party 🍆🍆😎😎😎

#difs2019 #difs #CollegeCheatingScandal #CollegeStudent #bbcslut #sex https://t.co/YlJ2ICrJ53"	Retweet		
1120259944949919750		http://twitter.com/amadeus456/status/1120259944949919750	RT @DIFS2019 Fucking a freshman in the dorm after a party 🍆🍆😎😎😎 #difs2019 #difs #CollegeCheatingScandal #CollegeStudent #bbcslut #sex https://t.co/YlJ2ICrJ53	@amadeus456	michael	United States of America			Positive	Joy	Twitter	M					"RT @DIFS2019 Fucking a freshman in the dorm after a party 🍆🍆😎😎😎

#difs2019 #difs #CollegeCheatingScandal #CollegeStudent #bbcslut #sex https://t.co/YlJ2ICrJ53"	Retweet		
1120363928482086912		http://twitter.com/loser21701/status/1120363928482086912	RT @TalbertSwan Remember Tanya McDowell? She got 12 yrs for sending her 6 yr old son to Norwalk CT’s Brookside Elementary School while she ‘lived’ in Bridgeport, even though she was homeless. She was convicted of 1st-degree larceny for “stealing“ an education. But, #CollegeCheatingScandal https://t.co/sDnGLHlxwk	@loser21701	loser21701				Neutral	Sadness	Twitter						"RT @TalbertSwan Remember Tanya McDowell?

She got 12 yrs for sending her 6 yr old son to Norwalk CT’s Brookside Elementary School while she ‘lived’ in Bridgeport, even though she was homeless. 

She was convicted of 1st-degree larceny for “stealing“ an education.

But, #CollegeCheatingScandal https://t.co/sDnGLHlxwk"	Retweet		
1120169557988118528		http://twitter.com/guru_writer/status/1120169557988118528	If you need essays or writing assignments services send me ur topic,i'll do it for @ a cost. $10 per page. Preferably to be given 3-5 days in advance. Extra $15 for anything asked 2 days or less before due date. #essay #CollegeCheatingScandal #Memes #universitylife #payessay	@guru_writer	A+nthony Writer	United States of America			Positive	Anger	Twitter	M					"If you need essays or writing assignments services send me ur topic,i'll do it for @ a cost. $10 per page. Preferably to be given 3-5 days in advance. Extra $15 for anything asked 2 days or less before due date.
#essay #CollegeCheatingScandal #Memes #universitylife #payessay"	Tweet		
1120423247051464704		http://twitter.com/aer_attorney/status/1120423247051464704	Thank you @HLNTV for having me on to discuss #CollegeCheatingScandal https://t.co/VHYDDQU10q	@aer_attorney	Ambrosio E Rodriguez	United States of America			Neutral	Joy	Twitter	M					Thank you @HLNTV for having me on to discuss #CollegeCheatingScandal https://t.co/VHYDDQU10q	Tweet		
1120449087675912193		http://twitter.com/BeyondTheBantr/status/1120449087675912193	@philipaklein Those who actually did the work and played the sports unlike those photo shopped #CollegeCheatingScandal	@BeyondTheBantr	BeyondTheBanter				Neutral	Unclassified	Twitter						@philipaklein Those who actually did the work and played the sports unlike those photo shopped #CollegeCheatingScandal	Reply		
1120266473031831552		http://twitter.com/JohnBri93182969/status/1120266473031831552	Good Day your sugar daddy is here No nude, No sex needed. My shopping day is near dm me now on hangout Brighton840@gmail.com. I just want to help financially💰24 hours give away #sugarmommy #sugardaddy #sugarbaby #sugarbabywanted #sugarbabyneeded #paypa #CollegeCheatingScandal	@JohnBri93182969	John Brighton	United States of America			Positive	Joy	Twitter	M					Good Day your sugar daddy is here No nude, No sex needed. My shopping day is near dm me now on hangout Brighton840@gmail.com. I just want to help financially💰24 hours give away #sugarmommy #sugardaddy #sugarbaby #sugarbabywanted #sugarbabyneeded #paypa #CollegeCheatingScandal	Tweet		
1120323909851734016		http://twitter.com/derswesriepat/status/1120323909851734016	RT @sheridan_cass Rewatching @TheSopranosShow and I'm starting to wonder. Did Meadow Soprano actually get into Columbia?? #CollegeCheatingScandal #thesopranos	@derswesriepat	Helena				Neutral	Unclassified	Twitter	F					RT @sheridan_cass Rewatching @TheSopranosShow and I'm starting to wonder. Did Meadow Soprano actually get into Columbia?? #CollegeCheatingScandal #thesopranos	Retweet		
1120325145707544576		http://twitter.com/Lesliemelani10/status/1120325145707544576	#seekingarrangements Hello college people your rich mummy is here to take care of you all babies.Come up to me I am here to take care of you all. #creditcard #Swifties #sugarbabies #usagirls #sugarbabyneededI #loyalbabies #honestbabies #hinge #GoodFriday #CollegeCheatingScandal	@Lesliemelani10	Leslie melani				Positive	Joy	Twitter	F					"#seekingarrangements 
Hello college people your rich mummy is here to take care of you all babies.Come up to me I am here to take care of you all. #creditcard
#Swifties
#sugarbabies
#usagirls #sugarbabyneededI #loyalbabies #honestbabies #hinge
#GoodFriday #CollegeCheatingScandal"	Tweet		
1120421271353929728		http://twitter.com/terryirving/status/1120421271353929728	They Had It Coming https://t.co/X34aL1L7nP A wonderful evisceration of the college admission scandal and the arrogant white people who bought in. #CollegeCheatingScandal #CollegeAdmissionsScandalWebinar #wealth https://t.co/LueMbWa8PJ	@terryirving	Terry Irving	United States of America	District of Columbia	Washington, D.C.	Neutral	Neutral	Twitter	M					They Had It Coming https://t.co/X34aL1L7nP A wonderful evisceration of the college admission scandal and the arrogant white people who bought in. #CollegeCheatingScandal #CollegeAdmissionsScandalWebinar #wealth https://t.co/LueMbWa8PJ	Tweet		
1120135407495254019		http://twitter.com/1043MYfm/status/1120135407495254019	#KimKardashian would never use her privilege to get her children into college! See her comments! #KUWTK #CollegeCheatingScandal https://t.co/W1X6cADTvP	@1043MYfm	1043 MYfm	United States of America	California	Los Angeles	Positive	Disgust	Twitter						"#KimKardashian would never use her privilege to get her children into college!

See her comments! #KUWTK #CollegeCheatingScandal https://t.co/W1X6cADTvP"	Tweet		
1120296435264651265		http://twitter.com/mOppenheimTV/status/1120296435264651265	#NEWS: Community #colleges receive more support following the #CollegeCheatingScandal https://t.co/ivjJAKvLfe	@mOppenheimTV	m/OppenheimTV	United States of America	California	San Francisco	Neutral	Neutral	Twitter						#NEWS:  Community #colleges receive more support following the #CollegeCheatingScandal https://t.co/ivjJAKvLfe	Tweet		
1120318870219214848		http://twitter.com/osmanalvarezo24/status/1120318870219214848	RT @1027KIISFM #KimKardashian revealed she's never use 'privilege' to get her kids into college! #KUWTK #CollegeCheatingScandal https://t.co/Z4itCgRl9D	@osmanalvarezo24	Osman Alvarez	United States of America	California	Irvine	Neutral	Neutral	Twitter	M					"RT @1027KIISFM #KimKardashian revealed she's never use 'privilege' to get her kids into college!

#KUWTK #CollegeCheatingScandal  https://t.co/Z4itCgRl9D"	Retweet		
1120375432325541889		http://twitter.com/laurenlogi/status/1120375432325541889	#WithoutRulesWe would have a #CollegeCheatingScandal on our hands. Oh wait.....we already do. If only people would take the advice of #marypoppins and hire better ghost writers! #collegeadmissionsscandal #CollegeSigningDay #Cheaters https://t.co/ZCXpDt2rnm	@laurenlogi	Lauren LoGiudice	United States of America	Pennsylvania		Neutral	Fear	Twitter	F					"#WithoutRulesWe would have a #CollegeCheatingScandal  on our hands.  Oh wait.....we already do.  If only people would take the advice of #marypoppins and hire better ghost writers!

#collegeadmissionsscandal #CollegeSigningDay #Cheaters https://t.co/ZCXpDt2rnm"	Tweet		
1120300348583731200		http://twitter.com/Wes_Kieschnick/status/1120300348583731200	LISTEN NOW! Episode 44 of #TeachingKeating is live! Using Old School to tackle the #CollegeCheatingScandal and lawnmower parenting/educating! #edchat #MondayMorning #podcastedu #BoldSchool #KidsDeserveIt #leadered #MondayMotivaton #parenting #TeacherLife https://t.co/xegcVOxPjQ https://t.co/KJO5XVXFJW	@Wes_Kieschnick	Weston Kieschnick	United States of America	Colorado	Denver	Positive	Joy	Twitter	M					"LISTEN NOW!
Episode 44 of #TeachingKeating is live! Using Old School to tackle the #CollegeCheatingScandal and lawnmower parenting/educating! #edchat #MondayMorning #podcastedu #BoldSchool #KidsDeserveIt #leadered #MondayMotivaton #parenting #TeacherLife https://t.co/xegcVOxPjQ https://t.co/KJO5XVXFJW"	Tweet		
1120222413508284417		http://twitter.com/PriceBlacko/status/1120222413508284417	RT @DIFS2019 Wow! This college hottie really knows how to work that dick. What do you think of her technique 😉😉🍆🍆 #DIFS2019 #blowjob #headjob #suck #CollegeCheatingScandal #college #Girlfriend #cumslut https://t.co/Sc3qztqr8c	@PriceBlacko	DAMN				Positive	Unclassified	Twitter						"RT @DIFS2019 Wow! This college hottie really knows how to work that dick. 
What do you think of her technique 😉😉🍆🍆

#DIFS2019 #blowjob  #headjob #suck #CollegeCheatingScandal #college #Girlfriend #cumslut https://t.co/Sc3qztqr8c"	Retweet		
1120367955269902341		http://twitter.com/countznews/status/1120367955269902341	How a Yale Dad Kickstarted the Entire College Admissions Bribery Scandal https://t.co/fXzRrzb5pW #collegecheatingscandal #collegeadmissionscandal #USC #loriloughlin #collegebribary #gossip #entertainmentnews #scandal #news	@countznews	Countz News	United States of America			Neutral	Neutral	Twitter						"How a Yale Dad Kickstarted the Entire College Admissions Bribery Scandal

https://t.co/fXzRrzb5pW
#collegecheatingscandal #collegeadmissionscandal #USC #loriloughlin #collegebribary #gossip #entertainmentnews #scandal #news"	Tweet		
1120389596536295425		http://twitter.com/AnaPuigRES/status/1120389596536295425	@ewarren scammed her #Harvard application criticizing the current #CollegeCheatingScandal how is she running for #President? #idict warren make her pay stop the lies. #Hypocrisy #MondayMotivation #maga2020 #BLEXIT	@AnaPuigRES	Ana Puig	United States of America	Florida	Miami	Negative	Unclassified	Twitter	F					@ewarren scammed her #Harvard application criticizing the current #CollegeCheatingScandal how is she running for #President?  #idict warren make her pay stop the lies. #Hypocrisy #MondayMotivation #maga2020 #BLEXIT	Tweet		
1120291549491945474		http://twitter.com/MarkMor43570830/status/1120291549491945474	RT @JohnBri93182969 Good Day your sugar daddy is here No nude, No sex needed. My shopping day is near dm me now on hangout Brighton840@gmail.com. I just want to help financially💰24 hours give away #sugarmommy #sugardaddy #sugarbaby #sugarbabywanted #sugarbabyneeded #paypa #CollegeCheatingScandal	@MarkMor43570830	Mark Morrison				Positive	Joy	Twitter	M					RT @JohnBri93182969 Good Day your sugar daddy is here No nude, No sex needed. My shopping day is near dm me now on hangout Brighton840@gmail.com. I just want to help financially💰24 hours give away #sugarmommy #sugardaddy #sugarbaby #sugarbabywanted #sugarbabyneeded #paypa #CollegeCheatingScandal	Retweet		
