GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1125863520996691968	2019-05-07 20:42:35	http://twitter.com/laurelsalexis/status/1125863520996691968	RT @THR College admissions scandal series in the works from @AnnapurnaPics TV https://t.co/ib7VvJiHtq #CollegeCheatingScandal https://t.co/LbkevzFHjD	@laurelsalexis	michelle. 🇲🇽				Neutral	Neutral	Twitter	F	40233	502	295	RT @THR College admissions scandal series in the works from @AnnapurnaPics TV https://t.co/ib7VvJiHtq  #CollegeCheatingScandal https://t.co/LbkevzFHjD	Retweet		
1125640691835592704	2019-05-07 05:57:08	http://twitter.com/JackSullivan838/status/1125640691835592704	#CollegeCheatingScandal I will never look upon graduates of Ivy League schools with admiration again ...instead, I will wonder if they scammed their way to a prestigious degree https://t.co/DfNmVQ59wh @Stanford	@JackSullivan838	Jack's 2 Cents				Neutral	Sadness	Twitter		1698	1217	1966	"#CollegeCheatingScandal  I will never look upon graduates of Ivy League schools with admiration again ...instead, I will wonder if they scammed their way to a prestigious degree https://t.co/DfNmVQ59wh @Stanford"	Tweet		
1125875569080487936	2019-05-07 21:30:28	http://twitter.com/CMargaronis/status/1125875569080487936	RT @THR College admissions scandal series in the works from @AnnapurnaPics TV https://t.co/ib7VvJiHtq #CollegeCheatingScandal https://t.co/LbkevzFHjD	@CMargaronis	Snitty Staffer Catherine	United States of America	Oregon		Neutral	Neutral	Twitter	F	81116	4919	4966	RT @THR College admissions scandal series in the works from @AnnapurnaPics TV https://t.co/ib7VvJiHtq  #CollegeCheatingScandal https://t.co/LbkevzFHjD	Retweet		
1125881723865010180	2019-05-07 21:54:55	http://twitter.com/mikethewriter1/status/1125881723865010180	I kinda hope they go meta and actually hire Huffman and Loughlin to play themselves... #collegeadmissionsscandal #CollegeCheatingScandal https://t.co/vlZjI5ebiL	@mikethewriter1	Michael Marcelin	United States of America	California		Neutral	Unclassified	Twitter	M	4582	308	315	"I kinda hope they go meta and actually hire Huffman and Loughlin to play themselves... #collegeadmissionsscandal #CollegeCheatingScandal  https://t.co/vlZjI5ebiL"	Tweet		
1125721310359883782	2019-05-07 11:17:29	http://twitter.com/scotchbing/status/1125721310359883782	I feel like people are making way to big of a deal over the college scandal...undeserving minorities and rich kids get in colleges all the time #CollegeCheatingScandal	@scotchbing	scotch bindington	United States of America	Ohio	Akron	Negative	Anger	Twitter		1326	151	448	I feel like people are making way to big of a deal over the college scandal...undeserving minorities and rich kids get in colleges all the time #CollegeCheatingScandal	Tweet		
1125836837552050177	2019-05-07 18:56:33	http://twitter.com/EzraNBC/status/1125836837552050177	Stephen Semprevivo, who admits to paying a bribe of $400k to get his son into Georgetown University, is in court right now entering a plea of guilty. The agreement asks the judge to sentence him to 18 months in jail. #CollegeCheatingScandal	@EzraNBC	Ezra Kaplan	United States of America	Massachusetts	Boston	Neutral	Disgust	Twitter	M	2085	988	1418	Stephen Semprevivo, who admits to paying a bribe of $400k to get his son into Georgetown University, is in court right now entering a plea of guilty. The agreement asks the judge to sentence him to 18 months in jail. #CollegeCheatingScandal	Tweet		
1125760936684544000	2019-05-07 13:54:57	http://twitter.com/pendrarisys/status/1125760936684544000	RT @Enuff_Iz_Enuf #CollegeCheatingScandal here i am telling my son to study hard and try his best, in reality i just needed to hit the lotto	@pendrarisys	Destiny Corey				Positive	Joy	Twitter	F	446	21	97	RT @Enuff_Iz_Enuf #CollegeCheatingScandal here i am telling my son to study hard and try his best, in reality i just needed to hit the lotto	Retweet		
1125864789186613250	2019-05-07 20:47:37	http://twitter.com/biff725/status/1125864789186613250	RT @THR College admissions scandal series in the works from @AnnapurnaPics TV https://t.co/ib7VvJiHtq #CollegeCheatingScandal https://t.co/LbkevzFHjD	@biff725	Tony D	United States of America	Illinois	Chicago	Neutral	Neutral	Twitter	M	58040	174	119	RT @THR College admissions scandal series in the works from @AnnapurnaPics TV https://t.co/ib7VvJiHtq  #CollegeCheatingScandal https://t.co/LbkevzFHjD	Retweet		
1125820964464361473	2019-05-07 17:53:29	http://twitter.com/McNhlapo/status/1125820964464361473	RT @AsieduEdmund Why The College Bribery Scandal Hurts Students With Disabilities : NPR. #DisabilityRights #CollegeCheatingScandal ⁦@AndyAUCD⁩ ⁦@Lollardfish⁩ ⁦@McNhlapo⁩ ⁦@adrianegriffen⁩ ⁦@MgmAUCD⁩ ⁦@mccrenshaw⁩ https://t.co/QQWZ9ZFcJM	@McNhlapo	Charlotte McClain-Nhlapo	United States of America	District of Columbia	Washington, D.C.	Negative	Neutral	Twitter	F	8794	2651	881	RT @AsieduEdmund Why The College Bribery Scandal Hurts Students With Disabilities : NPR. #DisabilityRights #CollegeCheatingScandal ⁦@AndyAUCD⁩ ⁦@Lollardfish⁩ ⁦@McNhlapo⁩ ⁦@adrianegriffen⁩ ⁦@MgmAUCD⁩ ⁦@mccrenshaw⁩  https://t.co/QQWZ9ZFcJM	Retweet		
1125628724961894400	2019-05-07 05:09:35	http://twitter.com/MaxRottPsycho/status/1125628724961894400	RT @LNPServices Felicity Huffman and Lori Loughlin are two of at least 40 people charged in a nationwide college admissions exam scandal, according to court documents. … #CollegeCheatingScandal https://t.co/zIOKUrvEPb	@MaxRottPsycho	Max Pero				Neutral	Neutral	Twitter	M	295	186	1708	RT @LNPServices Felicity Huffman and Lori Loughlin are two of at least 40 people charged in a nationwide college admissions exam scandal, according to court documents. …   #CollegeCheatingScandal https://t.co/zIOKUrvEPb	Retweet		
