GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1115795976457994240	2019-04-10 01:57:45	http://twitter.com/BarbaraFair6/status/1115795976457994240	RT @shomaristone Lori Loughlin, 15 Other Parents Indicted in College Admissions Scandal. #CollegeAdmissionsScandal https://t.co/SDzg0HhT9e	@BarbaraFair6	Barbara Fair	United States of America	Pennsylvania	Philadelphia	Neutral	Neutral	Twitter	F	17622	185	180	"RT @shomaristone Lori Loughlin, 15 Other Parents Indicted in College Admissions Scandal. #CollegeAdmissionsScandal 
https://t.co/SDzg0HhT9e"	Retweet		
1115794418982838274	2019-04-10 01:51:34	http://twitter.com/Tea_Party_Chris/status/1115794418982838274	RT @Laurel_Sweet Of the 33 parents arrested last month in the FBI's nationwide #operationvarsityblues sweep, 19 are now under indictment and 13 have agreed to plead guilty, including film star Felicity Huffman.#CollegeAdmissionsScandal	@Tea_Party_Chris	🌵Nationalist of AZ 🌵🌟🌟🌟				Neutral	Neutral	Twitter		397556	14103	13328	RT @Laurel_Sweet Of the 33 parents arrested last month in the FBI's nationwide #operationvarsityblues sweep, 19 are now under indictment and 13 have agreed to plead guilty, including film star Felicity Huffman.#CollegeAdmissionsScandal	Retweet		
1115949019438768128	2019-04-10 12:05:54	http://twitter.com/KorvoMedia/status/1115949019438768128	Ohhhh to shop and laugh while going to court for shitting on America’s education system. Celebs laugh because they only do a week and pay a fine. #Hollywood #CollegeAdmissionsScandal #operationvarsityblues #AuntBecky	@KorvoMedia	lémonpapilion	United States of America	California		Positive	Unclassified	Twitter		1256	38	49	Ohhhh to shop and laugh while going to court for shitting on America’s education system. Celebs laugh because they only do a week and pay a fine. #Hollywood #CollegeAdmissionsScandal #operationvarsityblues #AuntBecky	Tweet		
1115842785016414208	2019-04-10 05:03:45	http://twitter.com/SamusAran2020/status/1115842785016414208	These terrible thoughtless parents deserve their indictments. I hope they get very harsh sentences. #CollegeAdmissionsScandal #CollegeCheatingScandal #CollegeScam #CollegeScandal #CollegeExamScam #CollegeGate #AdmissionsScandal #OperationVarsityBlues https://t.co/OEPO6ghRAy	@SamusAran2020	Samus Aran ⭐ (Miley)	United States of America	California	Irvine	Negative	Disgust	Twitter		129497	7225	6870	"These terrible thoughtless parents deserve their indictments. I hope they get very harsh sentences.
#CollegeAdmissionsScandal #CollegeCheatingScandal #CollegeScam #CollegeScandal #CollegeExamScam #CollegeGate #AdmissionsScandal #OperationVarsityBlues https://t.co/OEPO6ghRAy"	Tweet		
1115791901821734912	2019-04-10 01:41:34	http://twitter.com/Jewminatti/status/1115791901821734912	"✡🔮📖 #JewminattiSays 📖🔮✡. ✨"" GOOD EVENING! #FELICITYHUFFMAN #SCAMMERSBELIKE✨ "" #WeAreALLOne "" #LifestyleGuide.➡️#JewminattiEnterprisesWorldwide ⬅️ #Scammers #CollegeAdmissionsScandal… https://t.co/JgUxQoPkpQ"	@Jewminatti	Jewminatti	United States of America	California	Santa Barbara	Positive	Joy	Twitter		355377	987	223	"✡🔮📖 #JewminattiSays 📖🔮✡. ✨"" GOOD EVENING! #FELICITYHUFFMAN #SCAMMERSBELIKE✨ "" #WeAreALLOne "" #LifestyleGuide.➡️#JewminattiEnterprisesWorldwide ⬅️ #Scammers #CollegeAdmissionsScandal… https://t.co/JgUxQoPkpQ"	Tweet		
1115903478348566530	2019-04-10 09:04:56	http://twitter.com/aquarianqueen17/status/1115903478348566530	RT @DMAnews1 #BREAKING: 16 parents involved in #CollegeAdmissionsScandal indicted by federal grand jury in #Boston. Defendants will be arraigned in Boston at a date to be determined. https://t.co/eqMIN88P6q #CollegeCheatingScandal	@aquarianqueen17	aquafina				Neutral	Neutral	Twitter		304905	29032	308	RT @DMAnews1 #BREAKING: 16 parents involved in #CollegeAdmissionsScandal indicted by federal grand jury in #Boston. Defendants will be arraigned in Boston at a date to be determined. https://t.co/eqMIN88P6q #CollegeCheatingScandal	Retweet		
1115963632238698496	2019-04-10 13:03:58	http://twitter.com/Vocalo/status/1115963632238698496	RT @ClaudiaStellar Hey, Chicago! WED 9am CT I'll join @Vocalo's #CouncilOfFeministThought on @TheMorningAMp show to discuss Joe Biden's grossly inappropriate touchy-feely ways and the #CollegeAdmissionsScandal. Tune in & turn feminist. 91.1 FM or stream live at https://t.co/BNiFbAm7SU 💥💥💥 https://t.co/lh6zYzcn4e	@Vocalo	Vocalo Radio	United States of America			Neutral	Neutral	Twitter		32560	10764	4401	"RT @ClaudiaStellar Hey, Chicago! 

WED 9am CT I'll join @Vocalo's #CouncilOfFeministThought on @TheMorningAMp show to discuss Joe Biden's grossly inappropriate touchy-feely ways and the #CollegeAdmissionsScandal. 

Tune in & turn feminist. 91.1 FM or stream live at https://t.co/BNiFbAm7SU 💥💥💥 https://t.co/lh6zYzcn4e"	Retweet		
1115770286593462272	2019-04-10 00:15:40	http://twitter.com/sage_positano/status/1115770286593462272	@people She will be fine. #LoriLoughlin . Not so much. Examples will most likely be made of them. Lori's behavior in the press & in public seems inappropriate. #CollegeCheatingScandal #CollegeAdmissionsScandal	@sage_positano	Sage Advice				Negative	Disgust	Twitter		3959	200	442	"@people She will be fine.  #LoriLoughlin . Not so much. Examples will most likely be made of them.  Lori's behavior in the press & in public seems inappropriate. 

#CollegeCheatingScandal #CollegeAdmissionsScandal"	Reply		
1116064650636951553	2019-04-10 19:45:22	http://twitter.com/fullerhousewiki/status/1116064650636951553	RT @ShellIzWeird27 The remake! #collegescam #CollegeCheatingScandal #CollegeAdmissionsScandal #fullerhouse #oliviajade #LoriLoughlin #MossimoGiannulli #isabellagiannulli https://t.co/xDAeDaYvRN	@fullerhousewiki	Fuller House Wiki	United States of America	California	San Francisco	Positive	Neutral	Twitter		18777	562	26	RT @ShellIzWeird27 The remake! #collegescam #CollegeCheatingScandal #CollegeAdmissionsScandal #fullerhouse #oliviajade #LoriLoughlin #MossimoGiannulli #isabellagiannulli https://t.co/xDAeDaYvRN	Retweet		
1115789891088969728	2019-04-10 01:33:35	http://twitter.com/Katsumorimoto88/status/1115789891088969728	RT @DMAnews1 #BREAKING: 16 parents involved in #CollegeAdmissionsScandal indicted by federal grand jury in #Boston. Defendants will be arraigned in Boston at a date to be determined. https://t.co/eqMIN88P6q #CollegeCheatingScandal	@Katsumorimoto88	Kent Ly				Neutral	Neutral	Twitter	M	220	3	169	RT @DMAnews1 #BREAKING: 16 parents involved in #CollegeAdmissionsScandal indicted by federal grand jury in #Boston. Defendants will be arraigned in Boston at a date to be determined. https://t.co/eqMIN88P6q #CollegeCheatingScandal	Retweet		
