GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1108518663496318978	2019-03-21 00:00:19	http://twitter.com/sjanderson/status/1108518663496318978	RT @Georgetown We're blooming with joy over the fact that it's the #FirstDayofSpring, otherwise known as the start to the #CherryBlossom season here in DC. https://t.co/iQzwH2rQns	@sjanderson	sjanderson	United States of America			Neutral	Joy	Twitter		6648	865	2377	RT @Georgetown We're blooming with joy over the fact that it's the #FirstDayofSpring, otherwise known as the start to the #CherryBlossom season here in DC. https://t.co/iQzwH2rQns	Retweet		
1108730517141237760	2019-03-21 14:02:09	http://twitter.com/lmaytx13/status/1108730517141237760	RT @Georgetown We're blooming with joy over the fact that it's the #FirstDayofSpring, otherwise known as the start to the #CherryBlossom season here in DC. https://t.co/iQzwH2rQns	@lmaytx13	Lauren May				Neutral	Joy	Twitter	F	18	18	80	RT @Georgetown We're blooming with joy over the fact that it's the #FirstDayofSpring, otherwise known as the start to the #CherryBlossom season here in DC. https://t.co/iQzwH2rQns	Retweet		
1108826304508497933	2019-03-21 20:22:46	http://twitter.com/HoyasInEd/status/1108826304508497933	RT @Georgetown Rain on the Hilltop, a student rushes to class, umbrella in hand. #WorldPoetryDay https://t.co/Isw1OZTi6N	@HoyasInEd	ᴍᴀʀɪᴀɴɴᴇ ᴛ. ɢʀᴇᴇɴ	United States of America	District of Columbia	Washington, D.C.	Neutral	Joy	Twitter		5435	553	158	"RT @Georgetown Rain on the Hilltop, 
a student rushes to class,
umbrella in hand. 

#WorldPoetryDay https://t.co/Isw1OZTi6N"	Retweet		
1108722083893309442	2019-03-21 13:28:38	http://twitter.com/aleolea/status/1108722083893309442	RT @Georgetown We're blooming with joy over the fact that it's the #FirstDayofSpring, otherwise known as the start to the #CherryBlossom season here in DC. https://t.co/iQzwH2rQns	@aleolea	Alejandra Olea				Neutral	Joy	Twitter	F	4109	444	962	RT @Georgetown We're blooming with joy over the fact that it's the #FirstDayofSpring, otherwise known as the start to the #CherryBlossom season here in DC. https://t.co/iQzwH2rQns	Retweet		
1108797366746992641	2019-03-21 18:27:47	http://twitter.com/mattplourd/status/1108797366746992641	RT @Georgetown We're blooming with joy over the fact that it's the #FirstDayofSpring, otherwise known as the start to the #CherryBlossom season here in DC. https://t.co/iQzwH2rQns	@mattplourd	Matthew Plourd	United States of America			Neutral	Joy	Twitter	M	22296	708	831	RT @Georgetown We're blooming with joy over the fact that it's the #FirstDayofSpring, otherwise known as the start to the #CherryBlossom season here in DC. https://t.co/iQzwH2rQns	Retweet		
1108544555304009728	2019-03-21 01:43:12	http://twitter.com/mattheauflower/status/1108544555304009728	RT @Georgetown We're blooming with joy over the fact that it's the #FirstDayofSpring, otherwise known as the start to the #CherryBlossom season here in DC. https://t.co/iQzwH2rQns	@mattheauflower	mattmatt🌻				Neutral	Joy	Twitter		7961	172	299	RT @Georgetown We're blooming with joy over the fact that it's the #FirstDayofSpring, otherwise known as the start to the #CherryBlossom season here in DC. https://t.co/iQzwH2rQns	Retweet		
1108528019524800518	2019-03-21 00:37:29	http://twitter.com/JSno_Buni/status/1108528019524800518	RT @Georgetown We're blooming with joy over the fact that it's the #FirstDayofSpring, otherwise known as the start to the #CherryBlossom season here in DC. https://t.co/iQzwH2rQns	@JSno_Buni	JenniL				Neutral	Joy	Twitter		274799	1341	1227	RT @Georgetown We're blooming with joy over the fact that it's the #FirstDayofSpring, otherwise known as the start to the #CherryBlossom season here in DC. https://t.co/iQzwH2rQns	Retweet		
1108780872449310723	2019-03-21 17:22:14	http://twitter.com/CarlosGarciaM_/status/1108780872449310723	RT @Georgetown Rain on the Hilltop, a student rushes to class, umbrella in hand. #WorldPoetryDay https://t.co/Isw1OZTi6N	@CarlosGarciaM_	Carlos Garcia	Mexico	Hidalgo	Pachuca	Neutral	Joy	Twitter	M	4716	354	352	"RT @Georgetown Rain on the Hilltop, 
a student rushes to class,
umbrella in hand. 

#WorldPoetryDay https://t.co/Isw1OZTi6N"	Retweet		
1108544820732223488	2019-03-21 01:44:15	http://twitter.com/peruhoyas/status/1108544820732223488	RT @Georgetown We're blooming with joy over the fact that it's the #FirstDayofSpring, otherwise known as the start to the #CherryBlossom season here in DC. https://t.co/iQzwH2rQns	@peruhoyas	Peru Hoyas	Peru	Lima Province	Lima	Neutral	Joy	Twitter		128	60	65	RT @Georgetown We're blooming with joy over the fact that it's the #FirstDayofSpring, otherwise known as the start to the #CherryBlossom season here in DC. https://t.co/iQzwH2rQns	Retweet		
1108543364100706305	2019-03-21 01:38:28	http://twitter.com/FebinBellamy/status/1108543364100706305	RT @Georgetown We're blooming with joy over the fact that it's the #FirstDayofSpring, otherwise known as the start to the #CherryBlossom season here in DC. https://t.co/iQzwH2rQns	@FebinBellamy	Febin Bellamy	United States of America	New York	New York	Neutral	Joy	Twitter		509	403	276	RT @Georgetown We're blooming with joy over the fact that it's the #FirstDayofSpring, otherwise known as the start to the #CherryBlossom season here in DC. https://t.co/iQzwH2rQns	Retweet		
