GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1115749597589061633	2019-04-09 22:53:28	http://twitter.com/Ron_Christie/status/1115749597589061633	RT @Georgetown Our undergraduate, graduate, and professional degree programs are recognized as some of the best and most rigorous in their fields. Learn more about Georgetown’s world-class academic offerings in our new brochure: https://t.co/euy1uX1IVi https://t.co/jkCg9RCcnz	@Ron_Christie	Ron Christie	United States of America			Neutral	Joy	Twitter	M	24359	11724	2295	RT @Georgetown Our undergraduate, graduate, and professional degree programs are recognized as some of the best and most rigorous in their fields. Learn more about Georgetown’s world-class academic offerings in our new brochure: https://t.co/euy1uX1IVi https://t.co/jkCg9RCcnz	Retweet		
1115473608988610560	2019-04-09 04:36:47	http://twitter.com/arenda/status/1115473608988610560	RT @Georgetown At a symposium held at Georgetown, global leaders and policy makers, such as former Irish President Mary Robinson, gathered to explore the intersection of climate change, conflict and gender: https://t.co/TKRugx9Ljm	@arenda	Anthony Clark Arend	United States of America	District of Columbia	Washington, D.C.	Neutral	Neutral	Twitter	M	27010	6080	6677	RT @Georgetown At a symposium held at Georgetown, global leaders and policy makers, such as former Irish President Mary Robinson, gathered to explore the intersection of climate change, conflict and gender: https://t.co/TKRugx9Ljm	Retweet		
1115688820639457282	2019-04-09 18:51:57	http://twitter.com/GUIntelligence/status/1115688820639457282	"RT @Georgetown On April 16, @FreeSpeechGU and the @guprisonjustice will host ""Inside Voice: The Free Speech Rights of Incarcerated Americans"" to explore the implications of censorship in prison libraries and restrictions on mail. The event is free and open to the public: https://t.co/WONnl3B60H https://t.co/X1jgQCCVKq"	@GUIntelligence	GU Applied Intel	United States of America	District of Columbia	Washington, D.C.	Neutral	Neutral	Twitter		221	39	30	"RT @Georgetown On April 16, @FreeSpeechGU and the @guprisonjustice will host ""Inside Voice: The Free Speech Rights of Incarcerated Americans"" to explore the implications of censorship in prison libraries and restrictions on mail. The event is free and open to the public: https://t.co/WONnl3B60H https://t.co/X1jgQCCVKq"	Retweet		
1115758948609679362	2019-04-09 23:30:37	http://twitter.com/SustainHonduras/status/1115758948609679362	RT @Georgetown Our undergraduate, graduate, and professional degree programs are recognized as some of the best and most rigorous in their fields. Learn more about Georgetown’s world-class academic offerings in our new brochure: https://t.co/euy1uX1IVi https://t.co/jkCg9RCcnz	@SustainHonduras	Sustainable Honduras	Honduras			Neutral	Joy	Twitter		1285	139	418	RT @Georgetown Our undergraduate, graduate, and professional degree programs are recognized as some of the best and most rigorous in their fields. Learn more about Georgetown’s world-class academic offerings in our new brochure: https://t.co/euy1uX1IVi https://t.co/jkCg9RCcnz	Retweet		
1115606527572873217	2019-04-09 13:24:57	http://twitter.com/GUGovt/status/1115606527572873217	RT @Georgetown At a symposium held at Georgetown, global leaders and policy makers, such as former Irish President Mary Robinson, gathered to explore the intersection of climate change, conflict and gender: https://t.co/TKRugx9Ljm	@GUGovt	Georgetown GovtDept	United States of America	District of Columbia	Washington, D.C.	Neutral	Neutral	Twitter		1043	1632	1851	RT @Georgetown At a symposium held at Georgetown, global leaders and policy makers, such as former Irish President Mary Robinson, gathered to explore the intersection of climate change, conflict and gender: https://t.co/TKRugx9Ljm	Retweet		
1115537706178699264	2019-04-09 08:51:29	http://twitter.com/ctribeleaders/status/1115537706178699264	RT @Georgetown This week, @GeorgetownEship celebrated the Grand Opening of the Venture Lab, a co-working facility for Hoyas located at @WeWork White House. Supported by a gift from the Leonsis Family, the Venture Lab fosters the growth of new ventures for #Hoyapreneurs: https://t.co/Nho86fpTJ0	@ctribeleaders	C-Tribe Leaders				Neutral	Neutral	Twitter		3478	59	12	RT @Georgetown This week, @GeorgetownEship celebrated the Grand Opening of the Venture Lab, a co-working facility for Hoyas located at @WeWork White House. Supported by a gift from the Leonsis Family, the Venture Lab fosters the growth of new ventures for #Hoyapreneurs: https://t.co/Nho86fpTJ0	Retweet		
1115590026631483393	2019-04-09 12:19:23	http://twitter.com/GUConflictRes/status/1115590026631483393	RT @Georgetown At a symposium held at Georgetown, global leaders and policy makers, such as former Irish President Mary Robinson, gathered to explore the intersection of climate change, conflict and gender: https://t.co/TKRugx9Ljm	@GUConflictRes	GU Conflict Resolution	United States of America	District of Columbia	Washington, D.C.	Neutral	Neutral	Twitter		4325	2910	415	RT @Georgetown At a symposium held at Georgetown, global leaders and policy makers, such as former Irish President Mary Robinson, gathered to explore the intersection of climate change, conflict and gender: https://t.co/TKRugx9Ljm	Retweet		
1115717327478239232	2019-04-09 20:45:14	http://twitter.com/GUAlumni/status/1115717327478239232	RT @Georgetown Through his work as a Luce Scholar, Adam Barton (C'16) plans to research the challenges faced by countries celebrated as academic performers – such as Japan, Singapore, and Vietnam – as they rethink schooling for the 21st century: https://t.co/Vzrk4rxodE	@GUAlumni	Georgetown Alumni	United States of America	District of Columbia	Washington, D.C.	Neutral	Neutral	Twitter		14520	12608	546	RT @Georgetown Through his work as a Luce Scholar, Adam Barton (C'16) plans to research the challenges faced by countries celebrated as academic performers – such as Japan, Singapore, and Vietnam – as they rethink schooling for the 21st century: https://t.co/Vzrk4rxodE	Retweet		
1115750582277550080	2019-04-09 22:57:23	http://twitter.com/ianconyers/status/1115750582277550080	RT @Georgetown Our undergraduate, graduate, and professional degree programs are recognized as some of the best and most rigorous in their fields. Learn more about Georgetown’s world-class academic offerings in our new brochure: https://t.co/euy1uX1IVi https://t.co/jkCg9RCcnz	@ianconyers	Ian Conyers	United States of America	Michigan	Detroit	Neutral	Joy	Twitter	M	3471	3902	3591	RT @Georgetown Our undergraduate, graduate, and professional degree programs are recognized as some of the best and most rigorous in their fields. Learn more about Georgetown’s world-class academic offerings in our new brochure: https://t.co/euy1uX1IVi https://t.co/jkCg9RCcnz	Retweet		
1115677821911724032	2019-04-09 18:08:15	http://twitter.com/candyforkeeps/status/1115677821911724032	"RT @Georgetown On April 16, @FreeSpeechGU and the @guprisonjustice will host ""Inside Voice: The Free Speech Rights of Incarcerated Americans"" to explore the implications of censorship in prison libraries and restrictions on mail. The event is free and open to the public: https://t.co/WONnl3B60H https://t.co/X1jgQCCVKq"	@candyforkeeps	Natalie Dunn	United States of America	California	Los Angeles	Neutral	Neutral	Twitter	F	55211	135	439	"RT @Georgetown On April 16, @FreeSpeechGU and the @guprisonjustice will host ""Inside Voice: The Free Speech Rights of Incarcerated Americans"" to explore the implications of censorship in prison libraries and restrictions on mail. The event is free and open to the public: https://t.co/WONnl3B60H https://t.co/X1jgQCCVKq"	Retweet		
