GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1106447786373976064	2019-03-15 06:51:23	http://twitter.com/MartaSolerUB/status/1106447786373976064	RT @Harvard Why is pi a magical number? Physics lecturer Jacob Barandes breaks it down for us, with a little help from his 9-year-old daughter Sadie. #PiDay https://t.co/g4MlXqMHjb	@MartaSolerUB	MartaSoler				Neutral	Unclassified	Twitter		253	1087	114	RT @Harvard Why is pi a magical number? Physics lecturer Jacob Barandes breaks it down for us, with a little help from his 9-year-old daughter Sadie. #PiDay https://t.co/g4MlXqMHjb	Retweet		
1106388414591451136	2019-03-15 02:55:28	http://twitter.com/cjremoroza14/status/1106388414591451136	RT @Harvard Even the greatest legal thinkers have to change their minds sometimes. At a @Harvard_Law panel, “Why I Changed My Mind,” four faculty shared times they had to re-examine some of their most closely held ideas about issues ranging from gun laws to brownies. https://t.co/XeOH46bCFo	@cjremoroza14	cj				Neutral	Unclassified	Twitter	M	2	1	10	RT @Harvard Even the greatest legal thinkers have to change their minds sometimes. At a @Harvard_Law panel, “Why I Changed My Mind,” four faculty shared times they had to re-examine some of their most closely held ideas about issues ranging from gun laws to brownies. https://t.co/XeOH46bCFo	Retweet		
1106392047462875137	2019-03-15 03:09:54	http://twitter.com/MSUrdan/status/1106392047462875137	RT @Harvard Why is pi a magical number? Physics lecturer Jacob Barandes breaks it down for us, with a little help from his 9-year-old daughter Sadie. #PiDay https://t.co/g4MlXqMHjb	@MSUrdan	Matthew S. Urdan MBA	United States of America	Massachusetts	Boston	Neutral	Unclassified	Twitter	M	12782	1322	2532	RT @Harvard Why is pi a magical number? Physics lecturer Jacob Barandes breaks it down for us, with a little help from his 9-year-old daughter Sadie. #PiDay https://t.co/g4MlXqMHjb	Retweet		
1106370745020698624	2019-03-15 01:45:15	http://twitter.com/FaysolSayfur/status/1106370745020698624	RT @Harvard Even the greatest legal thinkers have to change their minds sometimes. At a @Harvard_Law panel, “Why I Changed My Mind,” four faculty shared times they had to re-examine some of their most closely held ideas about issues ranging from gun laws to brownies. https://t.co/XeOH46bCFo	@FaysolSayfur	Sayfur Rahman Faysol	Bangladesh			Neutral	Unclassified	Twitter		1131	21	259	RT @Harvard Even the greatest legal thinkers have to change their minds sometimes. At a @Harvard_Law panel, “Why I Changed My Mind,” four faculty shared times they had to re-examine some of their most closely held ideas about issues ranging from gun laws to brownies. https://t.co/XeOH46bCFo	Retweet		
1106368923098853376	2019-03-15 01:38:01	http://twitter.com/Pavehawk62/status/1106368923098853376	@Harvard @Harvard_Law Critical thinking is a good thing.	@Pavehawk62	PAVEHAWK				Positive	Unclassified	Twitter		12176	260	645	@Harvard @Harvard_Law Critical thinking is a good thing.	Reply		
1106536064968208386	2019-03-15 12:42:10	http://twitter.com/worldcitizen1st/status/1106536064968208386	RT @Harvard Even the greatest legal thinkers have to change their minds sometimes. At a @Harvard_Law panel, “Why I Changed My Mind,” four faculty shared times they had to re-examine some of their most closely held ideas about issues ranging from gun laws to brownies. https://t.co/XeOH46bCFo	@worldcitizen1st	Yily foote				Neutral	Unclassified	Twitter		85853	311	330	RT @Harvard Even the greatest legal thinkers have to change their minds sometimes. At a @Harvard_Law panel, “Why I Changed My Mind,” four faculty shared times they had to re-examine some of their most closely held ideas about issues ranging from gun laws to brownies. https://t.co/XeOH46bCFo	Retweet		
1106351468456497152	2019-03-15 00:28:39	http://twitter.com/Peterlongny/status/1106351468456497152	@Harvard  The foundation of every state is the education of its youth.	@Peterlongny	Peter Longny	Taiwan	Taipei City	Taipei	Positive	Joy	Twitter	M	44	2	98	@Harvard <AWESOME> The foundation of every state is the education of its youth.	Reply		
1106427436705574912	2019-03-15 05:30:31	http://twitter.com/Kashvi_Gandhi/status/1106427436705574912	RT @Harvard Happy #PiDay! Meet nine-year-old Sadie, daughter of Lecturer Jacob Barandes, who can recite pi to 100 digits. #PiDay2019 https://t.co/LR6zr9nQjv	@Kashvi_Gandhi	Kashvi Gandhi	United States of America			Positive	Joy	Twitter		604	347	326	RT @Harvard Happy #PiDay! Meet nine-year-old Sadie, daughter of Lecturer Jacob Barandes, who can recite pi to 100 digits. #PiDay2019 https://t.co/LR6zr9nQjv	Retweet		
1106581191027613696	2019-03-15 15:41:29	http://twitter.com/officialamirkha/status/1106581191027613696	RT @Harvard Astronaut and @HarvardAlumni Stephanie D. Wilson SB ’88 was the second African American woman in space. #WomensHistoryMonth https://t.co/4oSZfbTveS	@officialamirkha	Amir Khan official	India	Maharashtra	Mumbai	Neutral	Neutral	Twitter	M	1340	15	21	RT @Harvard Astronaut and @HarvardAlumni Stephanie D. Wilson SB ’88 was the second African American woman in space. #WomensHistoryMonth https://t.co/4oSZfbTveS	Retweet		
1106382082631176192	2019-03-15 02:30:18	http://twitter.com/JooCarlosPrado6/status/1106382082631176192	RT @Harvard Even the greatest legal thinkers have to change their minds sometimes. At a @Harvard_Law panel, “Why I Changed My Mind,” four faculty shared times they had to re-examine some of their most closely held ideas about issues ranging from gun laws to brownies. https://t.co/XeOH46bCFo	@JooCarlosPrado6	João Carlos Prados				Neutral	Unclassified	Twitter	M	35168	390	5001	RT @Harvard Even the greatest legal thinkers have to change their minds sometimes. At a @Harvard_Law panel, “Why I Changed My Mind,” four faculty shared times they had to re-examine some of their most closely held ideas about issues ranging from gun laws to brownies. https://t.co/XeOH46bCFo	Retweet		
