GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1095779891730092032	2019-02-13 20:20:59	http://twitter.com/teresakwoodruff/status/1095779891730092032	RT @NorthwesternU Congrats to @NorthwesternEng Prof. Linda Broadbelt and Prof. Wei Chen for being elected to @theNAEng, one of engineering's highest honors, for their significant contributions to the field. https://t.co/SceL50Par4 https://t.co/DKo1Ppb76i	@teresakwoodruff	Teresa K Woodruff	United States of America	Illinois	Chicago	Positive	Joy	Twitter	F	686	1539	2013	RT @NorthwesternU Congrats to @NorthwesternEng Prof. Linda Broadbelt and Prof. Wei Chen for being elected to @theNAEng, one of engineering's highest honors, for their significant contributions to the field. https://t.co/SceL50Par4 https://t.co/DKo1Ppb76i	Retweet		
1095735994920460288	2019-02-13 17:26:33	http://twitter.com/ISENatNU/status/1095735994920460288	RT @NorthwesternU By studying tiny insects in lake sediment cores, scientists determined that Greenland went through a localized warming period during the #Vikings settlement and climate instability may have played a role in their collapse, via @CNN. https://t.co/rpyyaSUiYQ https://t.co/7YXLxcxtf9	@ISENatNU	ISEN	United States of America	Illinois	Chicago	Neutral	Neutral	Twitter		6692	1731	2324	RT @NorthwesternU By studying tiny insects in lake sediment cores, scientists determined that Greenland went through a localized warming period during the #Vikings settlement and climate instability may have played a role in their collapse, via @CNN. https://t.co/rpyyaSUiYQ https://t.co/7YXLxcxtf9	Retweet		
1095696644950147073	2019-02-13 14:50:11	http://twitter.com/nu_digitallearn/status/1095696644950147073	RT @NorthwesternU Students, do you have ideas to improve campus life? Apply for the 'Shark Tank'-style annual competition for $10,000 in implementation funds and pitch your ideas directly to University administrators. https://t.co/GN1Mo85pFO https://t.co/dqjC5w3O59	@nu_digitallearn	NU Digital Learning	United States of America	Illinois	Chicago	Neutral	Neutral	Twitter		2272	473	632	RT @NorthwesternU Students, do you have ideas to improve campus life? Apply for the 'Shark Tank'-style annual competition for $10,000 in implementation funds and pitch your ideas directly to University administrators. https://t.co/GN1Mo85pFO https://t.co/dqjC5w3O59	Retweet		
1095819796418101250	2019-02-13 22:59:33	http://twitter.com/tracysefl/status/1095819796418101250	RT @NorthwesternU Prof. Darius Tandon, who leads the @NUFeinbergMed 'Mothers and Babies' program, and task force member @DrMelissaSimon were instrumental in developing these new guidelines to prevent depression during and after pregnancy. https://t.co/yUUuJq42i4	@tracysefl	Tracy Sefl	United States of America			Neutral	Neutral	Twitter	F	23231	5005	3287	RT @NorthwesternU Prof. Darius Tandon, who leads the @NUFeinbergMed 'Mothers and Babies' program, and task force member @DrMelissaSimon were instrumental in developing these new guidelines to prevent depression during and after pregnancy. https://t.co/yUUuJq42i4	Retweet		
1095798524170641409	2019-02-13 21:35:01	http://twitter.com/OrderofTheDimen/status/1095798524170641409	RT @NorthwesternU Prof. Darius Tandon, who leads the @NUFeinbergMed 'Mothers and Babies' program, and task force member @DrMelissaSimon were instrumental in developing these new guidelines to prevent depression during and after pregnancy. https://t.co/yUUuJq42i4	@OrderofTheDimen	Irene Helenowski	United States of America	Illinois	Chicago	Neutral	Neutral	Twitter	F	28722	3997	4675	RT @NorthwesternU Prof. Darius Tandon, who leads the @NUFeinbergMed 'Mothers and Babies' program, and task force member @DrMelissaSimon were instrumental in developing these new guidelines to prevent depression during and after pregnancy. https://t.co/yUUuJq42i4	Retweet		
1095500358938513408	2019-02-13 01:50:13	http://twitter.com/sesp_nu/status/1095500358938513408	RT @NorthwesternU .@sesp_nu prof. Terri Sabol rethinks early childhood education and examines how classroom quality, family engagement and school neighborhoods impact a child’s development. https://t.co/ptbVLKg19f https://t.co/YCfpW17T70	@sesp_nu	Northwestern SESP	United States of America	Illinois	Chicago	Neutral	Joy	Twitter		4715	2056	1796	RT @NorthwesternU .@sesp_nu prof. Terri Sabol rethinks early childhood education and examines how classroom quality, family engagement and school neighborhoods impact a child’s development. https://t.co/ptbVLKg19f https://t.co/YCfpW17T70	Retweet		
1095800313095880710	2019-02-13 21:42:08	http://twitter.com/NUFeinbergMed/status/1095800313095880710	RT @NorthwesternU Prof. Darius Tandon, who leads the @NUFeinbergMed 'Mothers and Babies' program, and task force member @DrMelissaSimon were instrumental in developing these new guidelines to prevent depression during and after pregnancy. https://t.co/yUUuJq42i4	@NUFeinbergMed	Northwestern Feinberg School of Medicine	United States of America	Illinois	Chicago	Neutral	Neutral	Twitter		8510	9896	1689	RT @NorthwesternU Prof. Darius Tandon, who leads the @NUFeinbergMed 'Mothers and Babies' program, and task force member @DrMelissaSimon were instrumental in developing these new guidelines to prevent depression during and after pregnancy. https://t.co/yUUuJq42i4	Retweet		
1095796093055582208	2019-02-13 21:25:22	http://twitter.com/everettlasher/status/1095796093055582208	RT @NorthwesternU By studying tiny insects in lake sediment cores, scientists determined that Greenland went through a localized warming period during the #Vikings settlement and climate instability may have played a role in their collapse, via @CNN. https://t.co/rpyyaSUiYQ https://t.co/7YXLxcxtf9	@everettlasher	G. Everett Lasher	United States of America	Illinois	Chicago	Neutral	Neutral	Twitter		1261	309	429	RT @NorthwesternU By studying tiny insects in lake sediment cores, scientists determined that Greenland went through a localized warming period during the #Vikings settlement and climate instability may have played a role in their collapse, via @CNN. https://t.co/rpyyaSUiYQ https://t.co/7YXLxcxtf9	Retweet		
1095770488108916742	2019-02-13 19:43:37	http://twitter.com/segaldesign/status/1095770488108916742	RT @NorthwesternU Students, do you have ideas to improve campus life? Apply for the 'Shark Tank'-style annual competition for $10,000 in implementation funds and pitch your ideas directly to University administrators. https://t.co/GN1Mo85pFO https://t.co/dqjC5w3O59	@segaldesign	Design Innovation	United States of America	Illinois	Chicago	Neutral	Neutral	Twitter		2225	1391	482	RT @NorthwesternU Students, do you have ideas to improve campus life? Apply for the 'Shark Tank'-style annual competition for $10,000 in implementation funds and pitch your ideas directly to University administrators. https://t.co/GN1Mo85pFO https://t.co/dqjC5w3O59	Retweet		
1095741494311485440	2019-02-13 17:48:24	http://twitter.com/NU_DevSci/status/1095741494311485440	RT @NorthwesternU .@sesp_nu prof. Terri Sabol rethinks early childhood education and examines how classroom quality, family engagement and school neighborhoods impact a child’s development. https://t.co/ptbVLKg19f https://t.co/YCfpW17T70	@NU_DevSci	NU DevSci	United States of America	Illinois	Chicago	Neutral	Joy	Twitter		256	94	129	RT @NorthwesternU .@sesp_nu prof. Terri Sabol rethinks early childhood education and examines how classroom quality, family engagement and school neighborhoods impact a child’s development. https://t.co/ptbVLKg19f https://t.co/YCfpW17T70	Retweet		
