GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1096219142439485440	2019-02-15 01:26:24	http://twitter.com/ruedaj2003/status/1096219142439485440	RT @Stanford Twelve firms have together pledged $19.5 million in free legal services to support #sustainability startups and non-profits through a Stanford-led initiative launched at @GCAS2018. https://t.co/HMcfaDVcWx	@ruedaj2003	jaime rueda				Neutral	Neutral	Twitter	M	2037	33	85	RT @Stanford Twelve firms have together pledged $19.5 million in free legal services to support #sustainability startups and non-profits through a Stanford-led initiative launched at @GCAS2018. https://t.co/HMcfaDVcWx	Retweet		
1096474687033487361	2019-02-15 18:21:51	http://twitter.com/RPKumpf/status/1096474687033487361	RT @Stanford Gender equality in research isn’t only about fairness, Londa Schiebinger says; it’s about producing better outcomes. Tune in to a live taping of The Future of Everything, a @StanfordEng podcast, to hear her discuss: https://t.co/dUhR6YJIOk https://t.co/pvtP4fnSHZ	@RPKumpf	Dr. Robert P. Kumpf				Neutral	Joy	Twitter	M	314	129	581	RT @Stanford Gender equality in research isn’t only about fairness, Londa Schiebinger says; it’s about producing better outcomes. Tune in to a live taping of The Future of Everything, a @StanfordEng podcast, to hear her discuss: https://t.co/dUhR6YJIOk https://t.co/pvtP4fnSHZ	Retweet		
1096208871734026240	2019-02-15 00:45:36	http://twitter.com/nofearingthemo1/status/1096208871734026240	RT @Stanford Women will continue to be underrepresented in #STEM as long as research institutions are designed around the lives of men, Londa Schiebinger says. More from The Future of Everything, a Stanford Radio podcast: https://t.co/PAn2OQY0fa #WomenInScience https://t.co/f8Gepb28tB	@nofearingthemo1	Annie 🌞				Neutral	Joy	Twitter	F	34484	270	198	RT @Stanford Women will continue to be underrepresented in #STEM as long as research institutions are designed around the lives of men, Londa Schiebinger says. More from The Future of Everything, a Stanford Radio podcast: https://t.co/PAn2OQY0fa #WomenInScience https://t.co/f8Gepb28tB	Retweet		
1096205720754614272	2019-02-15 00:33:05	http://twitter.com/JAdP/status/1096205720754614272	RT @Stanford Women will continue to be underrepresented in #STEM as long as research institutions are designed around the lives of men, Londa Schiebinger says. More from The Future of Everything, a Stanford Radio podcast: https://t.co/PAn2OQY0fa #WomenInScience https://t.co/f8Gepb28tB	@JAdP	Joseph A. di Paolantonio	Norway	Østfold	Tdnsberg	Neutral	Joy	Twitter	M	45328	6644	7229	RT @Stanford Women will continue to be underrepresented in #STEM as long as research institutions are designed around the lives of men, Londa Schiebinger says. More from The Future of Everything, a Stanford Radio podcast: https://t.co/PAn2OQY0fa #WomenInScience https://t.co/f8Gepb28tB	Retweet		
1096529554875641856	2019-02-15 21:59:53	http://twitter.com/akberzins/status/1096529554875641856	"RT @Stanford ""You can't bat .900 in life. All you've got to do is bat .350 and don't be afraid to get in there and swing."" https://t.co/21Hl77tZd6"	@akberzins	Andris K. Berzins	Latvia	Riga	Riga	Neutral	Fear	Twitter	M	27296	4255	1087	"RT @Stanford ""You can't bat .900 in life. All you've got to do is bat .350 and don't be afraid to get in there and swing."" https://t.co/21Hl77tZd6"	Retweet		
1096258276885450753	2019-02-15 04:01:55	http://twitter.com/Only1JolieBokeh/status/1096258276885450753	RT @Stanford Women will continue to be underrepresented in #STEM as long as research institutions are designed around the lives of men, Londa Schiebinger says. More from The Future of Everything, a Stanford Radio podcast: https://t.co/PAn2OQY0fa #WomenInScience https://t.co/f8Gepb28tB	@Only1JolieBokeh	💜🐾JolieBokeh🐾💜				Neutral	Joy	Twitter		10483	5367	327	RT @Stanford Women will continue to be underrepresented in #STEM as long as research institutions are designed around the lives of men, Londa Schiebinger says. More from The Future of Everything, a Stanford Radio podcast: https://t.co/PAn2OQY0fa #WomenInScience https://t.co/f8Gepb28tB	Retweet		
1096282967108931584	2019-02-15 05:40:01	http://twitter.com/MsrKiran/status/1096282967108931584	RT @Stanford Delegating the responsibility of hiring to machines, at least in the near future, is likely to undermine its strategic potential, Adina Sterling says. https://t.co/wVQ94E7eHh	@MsrKiran	MSRKiran				Neutral	Neutral	Twitter		263	7	106	RT @Stanford Delegating the responsibility of hiring to machines, at least in the near future, is likely to undermine its strategic potential, Adina Sterling says. https://t.co/wVQ94E7eHh	Retweet		
1096518342410612736	2019-02-15 21:15:19	http://twitter.com/GiantSoundLLC/status/1096518342410612736	@Stanford What's your flood risk like? As far as I can tell, @ucdavis is having tax payers build housing for them and nobody in the community understands how Houston keeps flooding, now, due to developing ag lands. More students was never the business model for sustainable private college	@GiantSoundLLC	somanymatts	United States of America	California	Sacramento	Negative	Sadness	Twitter		2601	8	20	@Stanford What's your flood risk like?  As far as I can tell, @ucdavis is having tax payers build housing for them and nobody in the community understands how Houston keeps flooding, now, due to developing ag lands. More students was never the business model for sustainable private college	Reply		
1096541697130070018	2019-02-15 22:48:08	http://twitter.com/TimWatsonExplo/status/1096541697130070018	"RT @Stanford ""You can't bat .900 in life. All you've got to do is bat .350 and don't be afraid to get in there and swing."" https://t.co/21Hl77tZd6"	@TimWatsonExplo	Tim Watson				Neutral	Fear	Twitter	M	361	94	159	"RT @Stanford ""You can't bat .900 in life. All you've got to do is bat .350 and don't be afraid to get in there and swing."" https://t.co/21Hl77tZd6"	Retweet		
1096384701768650753	2019-02-15 12:24:17	http://twitter.com/christianfpg1/status/1096384701768650753	"RT @Stanford In 2013, @StanfordMed's Sean Mackey designed a study to examine brain images of people in the first stage of intense love. ""We posted fliers around Stanford and within hours we had undergrads banging on our door."" https://t.co/O1F5u5m47G https://t.co/3z6YSR3KmY"	@christianfpg1	Chrisy Genetista	Mexico	Distrito Federal	Mexico City	Neutral	Neutral	Twitter		1336	59	220	"RT @Stanford In 2013, @StanfordMed's Sean Mackey designed a study to examine brain images of people in the first stage of intense love. ""We posted fliers around Stanford and within hours we had undergrads banging on our door."" https://t.co/O1F5u5m47G https://t.co/3z6YSR3KmY"	Retweet		
1096290432848322560	2019-02-15 06:09:41	http://twitter.com/DrSeanMackey/status/1096290432848322560	"RT @Stanford In 2013, @StanfordMed's Sean Mackey designed a study to examine brain images of people in the first stage of intense love. ""We posted fliers around Stanford and within hours we had undergrads banging on our door."" https://t.co/O1F5u5m47G https://t.co/3z6YSR3KmY"	@DrSeanMackey	Sean Mackey, MD, PhD	United States of America			Neutral	Neutral	Twitter	M	2174	4059	465	"RT @Stanford In 2013, @StanfordMed's Sean Mackey designed a study to examine brain images of people in the first stage of intense love. ""We posted fliers around Stanford and within hours we had undergrads banging on our door."" https://t.co/O1F5u5m47G https://t.co/3z6YSR3KmY"	Retweet		
1096260774731890688	2019-02-15 04:11:50	http://twitter.com/KTyrky1/status/1096260774731890688	RT @Stanford Stanford researchers are making important advances as they address Alzheimer's, cancer, cybersecurity, climate change and more. The university’s proposed General Use Permit will provide them academic facilities that adapt to meet the challenges they face.	@KTyrky1	Opal James	United States of America	Tennessee	Knoxville	Neutral	Neutral	Twitter		128912	1800	370	RT @Stanford Stanford researchers are making important advances as they address Alzheimer's, cancer, cybersecurity, climate change and more. The university’s proposed General Use Permit will provide them academic facilities that adapt to meet the challenges they face.	Retweet		
1096522569815977984	2019-02-15 21:32:07	http://twitter.com/llyon/status/1096522569815977984	"RT @Stanford In 2013, @StanfordMed's Sean Mackey designed a study to examine brain images of people in the first stage of intense love. ""We posted fliers around Stanford and within hours we had undergrads banging on our door."" https://t.co/O1F5u5m47G https://t.co/3z6YSR3KmY"	@llyon	Larry Lyon				Neutral	Neutral	Twitter	M	8638	671	3511	"RT @Stanford In 2013, @StanfordMed's Sean Mackey designed a study to examine brain images of people in the first stage of intense love. ""We posted fliers around Stanford and within hours we had undergrads banging on our door."" https://t.co/O1F5u5m47G https://t.co/3z6YSR3KmY"	Retweet		
1096217124425543680	2019-02-15 01:18:23	http://twitter.com/Zuniariar/status/1096217124425543680	"RT @Stanford In 2013, @StanfordMed's Sean Mackey designed a study to examine brain images of people in the first stage of intense love. ""We posted fliers around Stanford and within hours we had undergrads banging on our door."" https://t.co/O1F5u5m47G https://t.co/3z6YSR3KmY"	@Zuniariar	Zuniar ❄	Indonesia			Neutral	Neutral	Twitter		10053	321	431	"RT @Stanford In 2013, @StanfordMed's Sean Mackey designed a study to examine brain images of people in the first stage of intense love. ""We posted fliers around Stanford and within hours we had undergrads banging on our door."" https://t.co/O1F5u5m47G https://t.co/3z6YSR3KmY"	Retweet		
1096490041780637696	2019-02-15 19:22:52	http://twitter.com/vievararosel/status/1096490041780637696	"RT @Stanford In 2013, @StanfordMed's Sean Mackey designed a study to examine brain images of people in the first stage of intense love. ""We posted fliers around Stanford and within hours we had undergrads banging on our door."" https://t.co/O1F5u5m47G https://t.co/3z6YSR3KmY"	@vievararosel	Vievara Rosel				Neutral	Neutral	Twitter		183065	1334	4320	"RT @Stanford In 2013, @StanfordMed's Sean Mackey designed a study to examine brain images of people in the first stage of intense love. ""We posted fliers around Stanford and within hours we had undergrads banging on our door."" https://t.co/O1F5u5m47G https://t.co/3z6YSR3KmY"	Retweet		
1096292094220460032	2019-02-15 06:16:18	http://twitter.com/WorldUnivAndSch/status/1096292094220460032	"RT @Stanford In 2013, @StanfordMed's Sean Mackey designed a study to examine brain images of people in the first stage of intense love. ""We posted fliers around Stanford and within hours we had undergrads banging on our door."" https://t.co/O1F5u5m47G https://t.co/3z6YSR3KmY"	@WorldUnivAndSch	WorldUnivandSch				Neutral	Neutral	Twitter		25020	1140	5000	"RT @Stanford In 2013, @StanfordMed's Sean Mackey designed a study to examine brain images of people in the first stage of intense love. ""We posted fliers around Stanford and within hours we had undergrads banging on our door."" https://t.co/O1F5u5m47G https://t.co/3z6YSR3KmY"	Retweet		
1096551748993335297	2019-02-15 23:28:04	http://twitter.com/stanfordmag/status/1096551748993335297	RT @Stanford Stanford professor @allysonvhobbs was so blown away by @HamiltonMusical, she decided it deserved its own course. https://t.co/R2tXpu1DwB	@stanfordmag	Stanford Magazine				Positive	Joy	Twitter	M	1688	5024	412	RT @Stanford Stanford professor @allysonvhobbs was so blown away by @HamiltonMusical, she decided it deserved its own course. https://t.co/R2tXpu1DwB	Retweet		
1096519711108620292	2019-02-15 21:20:46	http://twitter.com/tyler_wp/status/1096519711108620292	RT @Stanford Delegating the responsibility of hiring to machines, at least in the near future, is likely to undermine its strategic potential, Adina Sterling says. https://t.co/wVQ94E7eHh	@tyler_wp	Tyler WP	Italy			Neutral	Neutral	Twitter	M	69	831	868	RT @Stanford Delegating the responsibility of hiring to machines, at least in the near future, is likely to undermine its strategic potential, Adina Sterling says. https://t.co/wVQ94E7eHh	Retweet		
1096539492008116224	2019-02-15 22:39:22	http://twitter.com/dmbower/status/1096539492008116224	"RT @Stanford ""You can't bat .900 in life. All you've got to do is bat .350 and don't be afraid to get in there and swing."" https://t.co/21Hl77tZd6"	@dmbower	Donna Bower	United States of America	California		Neutral	Fear	Twitter	F	20805	1040	2309	"RT @Stanford ""You can't bat .900 in life. All you've got to do is bat .350 and don't be afraid to get in there and swing."" https://t.co/21Hl77tZd6"	Retweet		
1096227718104936454	2019-02-15 02:00:29	http://twitter.com/littlenancypere/status/1096227718104936454	RT @Stanford Women will continue to be underrepresented in #STEM as long as research institutions are designed around the lives of men, Londa Schiebinger says. More from The Future of Everything, a Stanford Radio podcast: https://t.co/PAn2OQY0fa #WomenInScience https://t.co/f8Gepb28tB	@littlenancypere	Nancy Pérez Ojeda	Chile	Región Metropolitana de Santiago	Santiago	Neutral	Joy	Twitter	F	5794	723	857	RT @Stanford Women will continue to be underrepresented in #STEM as long as research institutions are designed around the lives of men, Londa Schiebinger says. More from The Future of Everything, a Stanford Radio podcast: https://t.co/PAn2OQY0fa #WomenInScience https://t.co/f8Gepb28tB	Retweet		
1096206150750498816	2019-02-15 00:34:47	http://twitter.com/CubbLib/status/1096206150750498816	RT @Stanford Women will continue to be underrepresented in #STEM as long as research institutions are designed around the lives of men, Londa Schiebinger says. More from The Future of Everything, a Stanford Radio podcast: https://t.co/PAn2OQY0fa #WomenInScience https://t.co/f8Gepb28tB	@CubbLib	Kathryn Kerns				Neutral	Joy	Twitter	F	4386	134	131	RT @Stanford Women will continue to be underrepresented in #STEM as long as research institutions are designed around the lives of men, Londa Schiebinger says. More from The Future of Everything, a Stanford Radio podcast: https://t.co/PAn2OQY0fa #WomenInScience https://t.co/f8Gepb28tB	Retweet		
1096498911227928577	2019-02-15 19:58:07	http://twitter.com/butthurt_mcgee/status/1096498911227928577	@Stanford Too bad you will never be a real university.	@butthurt_mcgee	Butthurt Mcgee				Negative	Sadness	Twitter		2625	18	398	@Stanford Too bad you will never be a real university.	Reply		
