GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1109041847903625218	2019-03-22 10:39:16	http://twitter.com/JAFF3/status/1109041847903625218	@bidatzi Rich parents can't buy you into Either 🙂 #Jail #CollegeCheatingScandal #collegescam	@JAFF3	TheJeff				Negative	Sadness	Twitter		38883	636	477	@bidatzi Rich parents can't buy you into Either 🙂 #Jail #CollegeCheatingScandal #collegescam	Reply		
1109120762122657792	2019-03-22 15:52:50	http://twitter.com/Alleanna14/status/1109120762122657792	RT @ClintEastwoodLA Hopefully, you will be sharing a jail cell with Crooked @HillaryClinton real soon, Felicity. How's it hanging, Bill? @WilliamHMacy Birds of a feather. #CollegeCheatingScandal #OperationVarsityBlues #collegeadmissionsscandal https://t.co/JSW6F5bBNe	@Alleanna14	All’e’anna				Neutral	Neutral	Twitter		9887	380	394	"RT @ClintEastwoodLA Hopefully, you will be sharing a jail cell with Crooked @HillaryClinton real soon, Felicity. 

How's it hanging, Bill? @WilliamHMacy

Birds of a feather. 

#CollegeCheatingScandal #OperationVarsityBlues #collegeadmissionsscandal https://t.co/JSW6F5bBNe"	Retweet		
1108883292894294016	2019-03-22 00:09:13	http://twitter.com/EvonneWrites/status/1108883292894294016	Don’t be too shocked about how some of them are raised. #CollegeCheatingScandal #CollegeAdmissionsScandal #OperationVarsityBlues #CollegeScam #CollegeScandal #CollegeExamScam #CollegeGate #AdmissionsScandal #LoriLoughlin #OliviaJade https://t.co/btGEPMHAAt	@EvonneWrites	Evonne	United States of America	Arizona		Positive	Unclassified	Twitter		7	14	146	"Don’t be too shocked about how some of them are raised. #CollegeCheatingScandal
#CollegeAdmissionsScandal
#OperationVarsityBlues
#CollegeScam
#CollegeScandal
#CollegeExamScam
#CollegeGate
#AdmissionsScandal
#LoriLoughlin
#OliviaJade
https://t.co/btGEPMHAAt"	Tweet		
1109072417484345345	2019-03-22 12:40:44	http://twitter.com/kilonpop/status/1109072417484345345	RT @urbandata The average nonwhite school district receives $2,226 less per student than the average white school district gets per student, after adjusting for different costs of living. Total difference = $23,000,000,000 https://t.co/0sO716UX2q #edreform #inequality #CollegeCheatingScandal https://t.co/jmBgbqR1O0	@kilonpop	Cherie-Coco	Nigeria	Federal Capital Territory	Abuja	Neutral	Neutral	Twitter	F	79308	1673	1230	"RT @urbandata The average nonwhite school district receives $2,226 less per student than the average white school district gets per student, after adjusting for different costs of living. Total difference = $23,000,000,000
https://t.co/0sO716UX2q #edreform #inequality #CollegeCheatingScandal https://t.co/jmBgbqR1O0"	Retweet		
1109073696818376704	2019-03-22 12:45:49	http://twitter.com/edncaroline/status/1109073696818376704	@YoungboyCallum @KyleKashuv Hogg may not be there much longer... #CollegeCheatingScandal	@edncaroline	Ed Johnson	United States of America			Neutral	Sadness	Twitter	M	12231	4295	4997	"@YoungboyCallum @KyleKashuv Hogg may not be there much longer...
#CollegeCheatingScandal"	Reply		
1108934593124548610	2019-03-22 03:33:04	http://twitter.com/paolacrxz/status/1108934593124548610	RT @tweetsby_nicole When white women scam their children into ivy leagues vs black women who sent their kids to better school districts get jailed...#CollegeCheatingScandal https://t.co/tVJqdy0ZmK	@paolacrxz	Paola Cruz				Neutral	Disgust	Twitter	F	185	41	56	RT @tweetsby_nicole When white women scam their children into ivy leagues vs black women who sent their kids to better school districts get jailed...#CollegeCheatingScandal https://t.co/tVJqdy0ZmK	Retweet		
1109218811238969344	2019-03-22 22:22:27	http://twitter.com/BikinIt/status/1109218811238969344	@LisaMei62 For starters, there is the obligatory parroting of guns = bad/let's ban all the guns by occasional cortex & pocahantos followed up with the 'suicide' of #Parkland shooting survivor that gave a completely different account of what #CollegeCheatingScandal Hogg & co. provided-	@BikinIt	Greensleeves	United States of America	California	Los Angeles	Neutral	Sadness	Twitter		2465	231	975	@LisaMei62 For starters, there is the obligatory parroting of guns = bad/let's ban all the guns by occasional cortex & pocahantos followed up with the 'suicide' of #Parkland shooting survivor that gave a completely different account of what #CollegeCheatingScandal  Hogg & co. provided-	Reply		
1108889195672559616	2019-03-22 00:32:41	http://twitter.com/catbirdsuite/status/1108889195672559616	RT @ThePerezHilton This guy knew he was going down and he wanted to take down others with him! He totally coerced these “confessions”! https://t.co/wpHqt7QZLw #AuntBecky #LoriLoughlin #CollegeCheatingScandal #Mossimo #OliviaJade #FelicityHuffman	@catbirdsuite	Lexa Caper				Positive	Unclassified	Twitter		10638	1699	4999	RT @ThePerezHilton This guy knew he was going down and he wanted to take down others with him! He totally coerced these “confessions”! https://t.co/wpHqt7QZLw #AuntBecky #LoriLoughlin #CollegeCheatingScandal #Mossimo #OliviaJade #FelicityHuffman	Retweet		
1109121850980921345	2019-03-22 15:57:10	http://twitter.com/Julia_Norris_/status/1109121850980921345	RT @alysemorgk more on what’s going on with Olivia Jade #CollegeCheatingScandal #CollegeAdmissionScandal https://t.co/r68X86cRL6	@Julia_Norris_	Julia Norris	United States of America	Missouri		Neutral	Neutral	Twitter	F	1013	136	805	RT @alysemorgk more on what’s going on with Olivia Jade #CollegeCheatingScandal #CollegeAdmissionScandal https://t.co/r68X86cRL6	Retweet		
1109195404711788544	2019-03-22 20:49:26	http://twitter.com/reggdar/status/1109195404711788544	RT @DrJasonJohnson Dr. Jason Johnson on Rigged #CollegeCheatingScandal https://t.co/6itwMkM9Lx https://t.co/1dl6XyttXc	@reggdar	Reggdar				Neutral	Neutral	Twitter		105	17	309	RT @DrJasonJohnson Dr. Jason Johnson on Rigged #CollegeCheatingScandal https://t.co/6itwMkM9Lx https://t.co/1dl6XyttXc	Retweet		
