GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1108948031120957440	2019-03-22 04:26:28	http://twitter.com/mightyoaks6/status/1108948031120957440	@UCBerkeley That’s hilarious! Nice to know you have a sense of humor. #Milo #Ann #Ben	@mightyoaks6	Make up Your Mind	United States of America			Positive	Joy	Twitter		4589	121	469	@UCBerkeley That’s hilarious! Nice to know you have a sense of humor. #Milo #Ann #Ben	Reply		
1108949439366914049	2019-03-22 04:32:04	http://twitter.com/sineatrix/status/1108949439366914049	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	@sineatrix	Dr. Sinéad Griffin	United States of America	California	San Francisco	Neutral	Neutral	Twitter		2683	501	671	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	Retweet		
1109140166394802176	2019-03-22 17:09:57	http://twitter.com/UCBLettersSci/status/1109140166394802176	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	@UCBLettersSci	Berkeley L&S	United States of America	California	San Francisco	Neutral	Neutral	Twitter		706	469	281	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	Retweet		
1108947220382908416	2019-03-22 04:23:15	http://twitter.com/aglimme/status/1108947220382908416	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	@aglimme	Aaron Glimme	United States of America			Neutral	Neutral	Twitter	M	10829	196	414	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	Retweet		
1108916227076956160	2019-03-22 02:20:05	http://twitter.com/carni_joe/status/1108916227076956160	@UCBerkeley BREAKING NEWS for Berkeley. President TRUMP has signed an executive order that will allow free speech at your university. Your leftist professors will not be allowed to stop free speech anymore	@carni_joe	Carni joe				Negative	Sadness	Twitter	M	14204	34	62	@UCBerkeley BREAKING NEWS for Berkeley.   President TRUMP has signed an executive order that will allow free speech at your university.  Your leftist professors will not be allowed to stop free speech anymore	Reply		
1109033693472083969	2019-03-22 10:06:52	http://twitter.com/marloncmanning/status/1109033693472083969	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	@marloncmanning	marlon c. manning	United States of America	Arizona	Phoenix	Neutral	Neutral	Twitter	M	1371	37	81	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	Retweet		
1108949420672847872	2019-03-22 04:31:59	http://twitter.com/SOBtweets/status/1108949420672847872	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	@SOBtweets	SOB	United States of America	California	San Francisco	Neutral	Neutral	Twitter		64	57	75	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	Retweet		
1108951141809704965	2019-03-22 04:38:50	http://twitter.com/jordanalipscomb/status/1108951141809704965	@UCBerkeley @JesseArreguin The best college ever!!!	@jordanalipscomb	Jordana Lipscomb	United States of America	California	San Diego	Positive	Joy	Twitter	F	34160	914	765	@UCBerkeley @JesseArreguin The best college ever!!!	Reply		
1108948603635011585	2019-03-22 04:28:45	http://twitter.com/JesseArreguin/status/1108948603635011585	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	@JesseArreguin	Jesse Arreguin	United States of America	California	San Francisco	Neutral	Neutral	Twitter	M	1921	3943	348	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	Retweet		
1108944547332055041	2019-03-22 04:12:37	http://twitter.com/ksimerly/status/1108944547332055041	RT @UCBerkeley UC Berkeley remains the nation’s all-time top producer of @PeaceCorps #volunteers. Since the program’s founding in 1961, a total of 3,685 @Cal alumni have been sent overseas. 🌎 ☮️ 🐻 🌟 #GoBears #FiatLux https://t.co/zxsJ4AjmF3	@ksimerly	Kyle Simerly	United States of America	California	San Francisco	Neutral	Neutral	Twitter	M	23689	350	391	RT @UCBerkeley UC Berkeley remains the nation’s all-time top producer of @PeaceCorps  #volunteers. Since the program’s founding in 1961, a total of 3,685 @Cal alumni have been sent overseas. 🌎 ☮️ 🐻 🌟 #GoBears #FiatLux https://t.co/zxsJ4AjmF3	Retweet		
1109181854597419008	2019-03-22 19:55:36	http://twitter.com/Wasfe/status/1109181854597419008	RT @UCBerkeley “Sugar-sweetened beverages, which are linked to obesity, diabetes & cardiovascular disease, cost our nation billions of $$ each year, but they are super-cheap.” #BerkeleyResearch #SodaTax https://t.co/lk9AITpN4q	@Wasfe	Wasfe Tahir Ali				Neutral	Neutral	Twitter	M	21858	279	2195	RT @UCBerkeley “Sugar-sweetened beverages, which are linked to obesity, diabetes & cardiovascular disease, cost our nation billions of $$ each year, but they are super-cheap.” #BerkeleyResearch #SodaTax https://t.co/lk9AITpN4q	Retweet		
1109026285332901889	2019-03-22 09:37:25	http://twitter.com/jdwynnyckyj/status/1109026285332901889	@UCBerkeley Let’s practice what we preach #fiatlux #FreedomOfSpeech	@jdwynnyckyj	Julian D Wynnyckyj	United States of America			Positive	Joy	Twitter	M	23674	441	376	@UCBerkeley Let’s practice what we preach #fiatlux #FreedomOfSpeech	Reply		
1109021900976480258	2019-03-22 09:20:00	http://twitter.com/LeFalconeus/status/1109021900976480258	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	@LeFalconeus	Eduardo Falcon	United States of America	California	Los Angeles	Neutral	Neutral	Twitter	M	233	11	276	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	Retweet		
1109058079168102400	2019-03-22 11:43:46	http://twitter.com/countryroads445/status/1109058079168102400	@UCBerkeley And punching people in the face who express conservative views	@countryroads445	Red White & Blue				Negative	Anger	Twitter		2160	517	1957	@UCBerkeley And punching people in the face who express conservative views	Reply		
1109099863860367363	2019-03-22 14:29:48	http://twitter.com/TheVillaLab/status/1109099863860367363	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	@TheVillaLab	Elizabeth Villa	United States of America	California	San Diego	Neutral	Neutral	Twitter	F	600	1064	356	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	Retweet		
1109078067115421696	2019-03-22 13:03:11	http://twitter.com/TrumpResults/status/1109078067115421696	@UCBerkeley Thank you, President Trump for the Free Speech bill and for fighting the Marxist Left Wingers at universities like @UCBerkeley !! #Freedom #FreeSpeech	@TrumpResults	Texans for Trump	United States of America			Positive	Joy	Twitter		40372	9236	9786	@UCBerkeley Thank you, President Trump for the Free Speech bill and for fighting the Marxist Left Wingers at universities like @UCBerkeley !!  #Freedom #FreeSpeech	Reply		
1109061227286650880	2019-03-22 11:56:16	http://twitter.com/klasy/status/1109061227286650880	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	@klasy	jo				Neutral	Neutral	Twitter	F	60524	298	1855	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	Retweet		
1109081631548030978	2019-03-22 13:17:21	http://twitter.com/Blum_Center/status/1109081631548030978	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	@Blum_Center	The Blum Center	United States of America	California	San Francisco	Neutral	Neutral	Twitter		3668	2585	678	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	Retweet		
1108947907405737984	2019-03-22 04:25:59	http://twitter.com/Krumsters/status/1108947907405737984	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	@Krumsters	Krumster	United States of America	Washington	Seattle	Neutral	Neutral	Twitter		911	101	325	"RT @UCBerkeley ""We do not need the federal government to mandate what already exists: our longstanding, unequivocal support for freedom of expression."" #FiatLux #FreeSpeech https://t.co/HlXAOybafK"	Retweet		
1109193731629043712	2019-03-22 20:42:48	http://twitter.com/Martinacuna1965/status/1109193731629043712	RT @UCBerkeley “Sugar-sweetened beverages, which are linked to obesity, diabetes & cardiovascular disease, cost our nation billions of $$ each year, but they are super-cheap.” #BerkeleyResearch #SodaTax https://t.co/lk9AITpN4q	@Martinacuna1965	Martín Acuña				Neutral	Neutral	Twitter	M	81638	722	464	RT @UCBerkeley “Sugar-sweetened beverages, which are linked to obesity, diabetes & cardiovascular disease, cost our nation billions of $$ each year, but they are super-cheap.” #BerkeleyResearch #SodaTax https://t.co/lk9AITpN4q	Retweet		
