GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Post Title	Post Type	Image URL	Brand
1116409231744360450	2019-04-11 18:34:37	http://twitter.com/UFUK89486848/status/1116409231744360450	RT @Yale Delivering on the promise of the Yale Africa Initiative https://t.co/CXYU4UXegF @YaleAfrica @Yale_OIA	@UFUK89486848	UFUK 🌎				Neutral	Neutral	Twitter	M	9475	506	609	RT @Yale Delivering on the promise of the Yale Africa Initiative https://t.co/CXYU4UXegF @YaleAfrica @Yale_OIA	Retweet		
1116333704148701184	2019-04-11 13:34:30	http://twitter.com/CraigClunas/status/1116333704148701184	RT @Yale “I am so pleased to be returning to the YCBA & to New Haven.” — Courtney J. Martin ’09 PhD, named new director of Yale Center for British Art https://t.co/LsDgqdo3XF @martinjcourtney @YaleBritishArt	@CraigClunas	Craig Clunas 柯律格	United Kingdom	South East	Oxford	Neutral	Neutral	Twitter	M	22928	5977	1450	"RT @Yale “I am so pleased to be returning to the YCBA & to New Haven.” — Courtney J. Martin ’09 PhD, named new director of Yale Center for British Art https://t.co/LsDgqdo3XF @martinjcourtney @YaleBritishArt"	Retweet		
1116336064090857472	2019-04-11 13:43:52	http://twitter.com/yaleism/status/1116336064090857472	RT @Yale “I am so pleased to be returning to the YCBA & to New Haven.” — Courtney J. Martin ’09 PhD, named new director of Yale Center for British Art https://t.co/LsDgqdo3XF @martinjcourtney @YaleBritishArt	@yaleism	Yale ISM	United States of America	Connecticut	New Haven	Neutral	Neutral	Twitter		2303	1419	261	"RT @Yale “I am so pleased to be returning to the YCBA & to New Haven.” — Courtney J. Martin ’09 PhD, named new director of Yale Center for British Art https://t.co/LsDgqdo3XF @martinjcourtney @YaleBritishArt"	Retweet		
1116146894810566656	2019-04-11 01:12:11	http://twitter.com/jonmanton/status/1116146894810566656	RT @Yale “I am so pleased to be returning to the YCBA & to New Haven.” — Courtney J. Martin ’09 PhD, named new director of Yale Center for British Art https://t.co/LsDgqdo3XF @martinjcourtney @YaleBritishArt	@jonmanton	Jonathan Manton	United States of America	Connecticut	New Haven	Neutral	Neutral	Twitter	M	2737	570	510	"RT @Yale “I am so pleased to be returning to the YCBA & to New Haven.” — Courtney J. Martin ’09 PhD, named new director of Yale Center for British Art https://t.co/LsDgqdo3XF @martinjcourtney @YaleBritishArt"	Retweet		
1116443674425077772	2019-04-11 20:51:29	http://twitter.com/ChrisBrey1/status/1116443674425077772	RT @Yale TODAY 6pm: Rachael Shackelford, former CNN producer & Emmy Award-winning journalist, on “Politics and the Press” https://t.co/CKx1ppH2mG @SKDKnick #YalePoynter	@ChrisBrey1	Christian Brey	Germany	Bayern	Munich	Neutral	Neutral	Twitter	M	642327	1503	2534	RT @Yale TODAY 6pm: Rachael Shackelford, former CNN producer & Emmy Award-winning journalist, on “Politics and the Press” https://t.co/CKx1ppH2mG @SKDKnick #YalePoynter	Retweet		
1116137788246831105	2019-04-11 00:36:00	http://twitter.com/driftinghouse/status/1116137788246831105	RT @Yale “I am so pleased to be returning to the YCBA & to New Haven.” — Courtney J. Martin ’09 PhD, named new director of Yale Center for British Art https://t.co/LsDgqdo3XF @martinjcourtney @YaleBritishArt	@driftinghouse	lisa lowe	United States of America	Connecticut	New Haven	Neutral	Neutral	Twitter	F	5283	3790	551	"RT @Yale “I am so pleased to be returning to the YCBA & to New Haven.” — Courtney J. Martin ’09 PhD, named new director of Yale Center for British Art https://t.co/LsDgqdo3XF @martinjcourtney @YaleBritishArt"	Retweet		
1116421921384607744	2019-04-11 19:25:02	http://twitter.com/ChubaEzeks/status/1116421921384607744	RT @Yale Delivering on the promise of the Yale Africa Initiative https://t.co/CXYU4UXegF @YaleAfrica @Yale_OIA	@ChubaEzeks	Chuba Ezekwesili	Nigeria	Federal Capital Territory	Abuja	Neutral	Neutral	Twitter		32033	17258	435	RT @Yale Delivering on the promise of the Yale Africa Initiative https://t.co/CXYU4UXegF @YaleAfrica @Yale_OIA	Retweet		
1116397976447004672	2019-04-11 17:49:53	http://twitter.com/YALEAFAMstudies/status/1116397976447004672	RT @Yale “I am so pleased to be returning to the YCBA & to New Haven.” — Courtney J. Martin ’09 PhD, named new director of Yale Center for British Art https://t.co/LsDgqdo3XF @martinjcourtney @YaleBritishArt	@YALEAFAMstudies	Af-Am Studies	United States of America	Connecticut	New Haven	Neutral	Neutral	Twitter		6354	8644	1451	"RT @Yale “I am so pleased to be returning to the YCBA & to New Haven.” — Courtney J. Martin ’09 PhD, named new director of Yale Center for British Art https://t.co/LsDgqdo3XF @martinjcourtney @YaleBritishArt"	Retweet		
1116414023128485888	2019-04-11 18:53:39	http://twitter.com/Chrisullivan210/status/1116414023128485888	RT @Yale FRI 1pm-5pm: Maple Fest at the Yale Landscape Lab at @YaleWestCampus — RSVP: https://t.co/qmiJuWUcoO	@Chrisullivan210	Christopher Sullivan	United States of America			Neutral	Neutral	Twitter	M	19658	616	494	RT @Yale FRI 1pm-5pm: Maple Fest at the Yale Landscape Lab at @YaleWestCampus — RSVP: https://t.co/qmiJuWUcoO	Retweet		
1116411923279622146	2019-04-11 18:45:19	http://twitter.com/SquiresRichmond/status/1116411923279622146	RT @Yale Delivering on the promise of the Yale Africa Initiative https://t.co/CXYU4UXegF @YaleAfrica @Yale_OIA	@SquiresRichmond	Squires Richmond	United States of America	Virginia	Richmond	Neutral	Neutral	Twitter		57282	1875	2153	RT @Yale Delivering on the promise of the Yale Africa Initiative https://t.co/CXYU4UXegF @YaleAfrica @Yale_OIA	Retweet		
