GUID	Date (GMT)	URL	Contents	Author	Name	Country	State/Region	City/Urban Area	Category	Emotion	Source	Gender	Posts	Followers	Following	Influence Score	Post Title	Post Type	Image URL	Brand
1125233872365600768		http://twitter.com/frogabel/status/1125233872365600768	RT @frogabel Motivated to start a blog but afraid to write? https://t.co/ABswnIgbyw • @frogabel #newblogger #startup #blogging https://t.co/IXouT8Ay0S	@frogabel	Eat That Frog	Sweden	Skåne	Kristianstad	Neutral	Joy	Twitter						RT @frogabel Motivated to start a blog but afraid to write? https://t.co/ABswnIgbyw • @frogabel #newblogger #startup #blogging https://t.co/IXouT8Ay0S	Retweet		
1125513811413405696		http://twitter.com/ShawnBalint/status/1125513811413405696	@kurt13warner @TomBrady @JoeMontana Especially considering you can still throw the football!!!	@ShawnBalint	Shawn Balint	United States of America	Illinois	St. Louis	Positive	Disgust	Twitter	M					@kurt13warner @TomBrady @JoeMontana Especially considering you can still throw the football!!!	Reply		
1125212276632342528		http://twitter.com/KeeniMaree/status/1125212276632342528	Dany wanting to keep the incest on the down low #GoT https://t.co/Zb44OLr6af	@KeeniMaree	Kee	Australia			Positive	Unclassified	Twitter						Dany wanting to keep the incest on the down low  #GoT https://t.co/Zb44OLr6af	Tweet		
1125306373309231105		http://twitter.com/sixofbros/status/1125306373309231105	RT @McNarnia I blew up the picture of Birdie being ready to be adopted tomorrow morning because we all need this https://t.co/UPi4wZTKx8	@sixofbros	Kat ✨ endgame spoilers				Neutral	Joy	Twitter	F					RT @McNarnia I blew up the picture of Birdie being ready to be adopted tomorrow morning because we all need this https://t.co/UPi4wZTKx8	Retweet		
1125383978159083520		http://twitter.com/venushorizon/status/1125383978159083520	RT @followm2followu: Essential Equipment for Making Great Bread at Home More here : https://t.co/HtQUt99ooU #Recipes https://t.co/ltfeOkKYv7	@venushorizon	COSMIC WORLD	Israel	Tel Aviv	Tel Aviv-Yafo	Neutral	Neutral	Twitter						"RT @followm2followu: Essential Equipment for Making Great Bread at Home   More here : https://t.co/HtQUt99ooU #Recipes https://t.co/ltfeOkKYv7"	Tweet		
1125464041047121920		http://twitter.com/ZAMalik_15/status/1125464041047121920	@Diwaan_e_Mann Yes please! 😌	@ZAMalik_15	Mr. Nobody 🇵🇰|🇦🇪	United Arab Emirates			Positive	Joy	Twitter	M					@Diwaan_e_Mann Yes please! 😌	Reply		
1125463250215137280		http://twitter.com/kijonesjags/status/1125463250215137280	Happy Teacher Appreciation Week to our wonderful staff @kijonesjags #amazingstaff #beststaff @schultz87 @HalfordChrista @kristanichols09 @5thwithMrsG @ChristineSWic @TimSmithfsusd https://t.co/N6L6lEIDmj	@kijonesjags	KI Jones Elementary	United States of America	California	Vallejo	Positive	Joy	Twitter						Happy Teacher Appreciation Week to our wonderful staff @kijonesjags #amazingstaff #beststaff @schultz87 @HalfordChrista @kristanichols09 @5thwithMrsG @ChristineSWic @TimSmithfsusd https://t.co/N6L6lEIDmj	Tweet		
1125395973126201345		http://twitter.com/UniquelyMe_KC/status/1125395973126201345	RT @iamwellandgood RT to spread all the positive vibes: ✨🦄💫🦋💕🌟	@UniquelyMe_KC	UniquelyMe_KC	United States of America			Positive	Joy	Twitter						RT @iamwellandgood RT to spread all the positive vibes: ✨🦄💫🦋💕🌟	Retweet		
1125505685377224704		http://twitter.com/FandomDreemurr/status/1125505685377224704	RT @ioririku 31 - CALLOUT FOR ME https://t.co/ebgEQQ3nu6	@FandomDreemurr	SHE-RA S2 SPOILERS GALORE				Neutral	Neutral	Twitter						RT @ioririku 31 - CALLOUT FOR ME https://t.co/ebgEQQ3nu6	Retweet		
1125197975100231681		http://twitter.com/_TiffanyBlake/status/1125197975100231681	Admittedly the MOST toxic relationship or friendship I've had.	@_TiffanyBlake	Tiffany Blake				Negative	Joy	Twitter	F					Admittedly the MOST toxic relationship or friendship I've had.	Tweet		
